1688428464,column,column,column,column,2956968,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,___xo_qc_30_xo_l85_18w1usb__microusb_white_xol85mwh,column,109,1,httpscomfyuasetevoezarjadnoeustrojstvoxoqc30xol8518w1usbmicrousbwhitexol85mwhhtml,column,05112025_1903,column,__42,Фастів,0
1688567600,6918162,ERGO,Гарнитура ERGO VM-730 Type-C Earphones Black (VM-730K),199,2955324,"Аудио, фото и видео >> Наушники >> Наушники Ergo",ergo,Навушники вкладиші дротові Ergo Type-C (VM-730K),,145,1,https://comfy.ua/naushniki-vkladyshi-provodnye-ergo-type-c-vm-730k.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1688567640,6918158,ERGO,Гарнитура ERGO BS-530 Twins Nano 2 Pink (BS-530P),599,2955328,"Аудио, фото и видео >> Наушники >> Наушники Ergo",ergo,Навушники вкладиші бездротові TWS Ergo Twins Nano 2 (BS-530P),,399,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-ergo-twins-nano-2-bs-530p.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1688567642,6918159,ERGO,Гарнитура ERGO BS-530 Twins Nano 2 Violet (BS-530V),599,2955329,"Аудио, фото и видео >> Наушники >> Наушники Ergo",ergo,Навушники вкладиші бездротові TWS Ergo Twins Nano 2 (BS-530V),,399,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-ergo-twins-nano-2-bs-530v.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1688599087,6972129,POLY,Гарнитура POLY TWS Voyager Free 60+ Earbuds + BT700C + TSCHC White (7Y8G6AA),11099,2966770,"Аудио, фото и видео >> Наушники >> Наушники Poly",poly,Навушники вкладиші бездротові TWS Poly Voyager Free 60+ Earbuds + BT700C + TSCHC White (7Y8G6AA),,10499,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-poly-voyager-free-60-earbuds-bt700c-tschc-white-7y8g6aa.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1688599445,,,,,2957009,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xo,Перехідник XO USB 2.0 to microUSB Black (XO-NB149G-BK),,49,1,https://comfy.ua/perehodnik-xo-usb-2-0-to-microusb-black-xo-nb149g-bk.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1688605925,,,,,2900817,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Xiaomi",xiaomi,Кабель синхронізації даних Xiaomi 6A Type-A to Type-C 1m (BHR6032GL),,515,1,https://comfy.ua/kabel-sinhronizacii-dannyh-xiaomi-6a-type-a-to-type-c-1m-bhr6032gl.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1688606234,,,,,2903031,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник PowerPlant Type-C - DisplayPort (CA914265),,899,1,https://comfy.ua/perehodnik-powerplant-type-c-displayport-ca914265.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1688606237,,,,,2903033,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник PowerPlant Type-C - VGA (CA914289),,899,1,https://comfy.ua/perehodnik-powerplant-type-c-vga-ca914289.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1688606607,,,,,2903035,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник PowerPlant Type-C - HDMI (CA914302),,899,1,https://comfy.ua/perehodnik-powerplant-type-c-hdmi-ca914302.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1688606609,,,,,2903034,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник PowerPlant Type-C - RJ-45 (CA914296),,1099,1,https://comfy.ua/perehodnik-powerplant-type-c-rj-45-ca914296.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
