917452206,column,column,column,column,1817370,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",zyxel,___switch_zyxel_xgs221052eu0101f,column,56529,1,httpscomfyuakommutatorlokalnojsetiswitchzyxelxgs221052eu0101fhtml,column,05112025_1814,column,__42,Фастів,0
917452206,,,,,.1817370,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",zyxel,Коммутатор локальної мережі (Switch) Zyxel XGS2210-52-EU0101F,,56529,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-zyxel-xgs2210-52-eu0101f.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
917787267,6703134,SAMSUNG,Пылесос SAMSUNG VC07M31A1HP/UK Merlot Purple,4599,1806893,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Samsung,samsung,Пилосос для сухого прибирання без мішка Samsung VC07M31A1HP/UK,,4599,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-samsung-vc07m31a1hp-uk.html,5299,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
917787363,6419648,TEFAL,Блендер TEFAL HB641138,1899,1817300,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Tefal,tefal,Блендер заглибний Tefal HB641138,,1899,1,https://comfy.ua/blender-pogruzhnoj-tefal-hb641138.html,2699,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
917787373,6690845,SAMSUNG,Встраиваемая микроволновая печь SAMSUNG MG22M8074AT/UA,10499,1792142,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Samsung,samsung,Мікрохвильова піч (НВЧ) вбудовувана Samsung MG22M8074AT/UA,,10499,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-samsung-mg22m8074at-ua.html,12399,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
917787377,,,,,1818681,Детские товары >> Игрушки для малышей,guidecraft,Сортер Guidecraft Manipulatives Дерево (G6740),,1105,1,https://comfy.ua/sorter-guidecraft-manipulatives-derevo-g6740.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
917787399,,,,,1818679,Детские товары >> Игрушки для малышей,guidecraft,Сортер Guidecraft Manipulatives Чергування і поєднання (G6735),,2329,1,https://comfy.ua/sorter-guidecraft-manipulatives-cheredovanie-i-sochetanie-g6735.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
917789606,,,,,1815344,Посуда >> Кухонные аксессуары,brabantia,Кухарський набір приладів Brabantia 4 шт. 260285,,2529,1,https://comfy.ua/catalog/product/view/id/2539523,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
917811056,,,,,1818267,Техника для кухни >> Крупная техника,borgio,Варильна поверхня газова Borgio 6190-17 FFD Black Glass,,7309,1,https://comfy.ua/catalog/product/view/id/2561673,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
917815689,,,,,1818271,Техника для кухни >> Крупная техника,borgio,Варильна поверхня газова Borgio 6192-17 FFD Ivory Glass,,8399,1,https://comfy.ua/catalog/product/view/id/2561983,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
917851118,,,,,1818273,Техника для кухни >> Крупная техника,borgio,Варильна поверхня газова Borgio 6940-17 FFD black Enamelled,,5779,1,https://comfy.ua/catalog/product/view/id/2562003,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
917851119,,,,,1818272,Техника для кухни >> Крупная техника,borgio,Варильна поверхня газова Borgio 6192-17 FFD White Glass,,8399,1,https://comfy.ua/catalog/product/view/id/2561993,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
917877561,,,,,1818274,Техника для кухни >> Крупная техника,borgio,Варильна поверхня газова Borgio 6940-17 FFD Inox,,6429,1,https://comfy.ua/catalog/product/view/id/2562053,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
917878506,6747566,MERCUSYS,Wi-Fi роутер MERCUSYS MW302R N300 (MW302R),399,1817316,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Mercusys",mercusys,Маршрутизатор інтернет WiFi4 Mercusys MW302R,,435,1,https://comfy.ua/marshrutizator-internet-wifi4-mercusys-mw302r.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
917878803,6717499,TP-LINK,IP-камера TP-LINK Tapo C310,1899,1817315,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры TP-Link",tp-link,IP-камера TP-Link Tapo C310,,1699,1,https://comfy.ua/ip-kamera-tp-link-tapo-c310.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
917878931,,,,,1818278,Техника для кухни >> Крупная техника,borgio,Варильна поверхня газова Borgio 6942-17 FFD Inox,,7429,1,https://comfy.ua/catalog/product/view/id/2562993,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
917878959,,,,,1818277,Техника для кухни >> Крупная техника,borgio,Варильна поверхня газова Borgio 6942-17 FFD Black Enamelled,,7429,1,https://comfy.ua/catalog/product/view/id/2562893,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
917880155,,,,,1818040,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson L110/L210/L300 140г Magenta (E664M),,209,1,https://comfy.ua/chernila-wwm-epson-l110-l210-l300-140g-magenta-e664m.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
917880157,,,,,1818280,Техника для кухни >> Крупная техника,borgio,Варильна поверхня газова Borgio 6942-17 FFD White Enamelled,,6309,1,https://comfy.ua/catalog/product/view/id/2563113,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
917880431,6711361,BERLINGER HAUS,Френч-пресс BERLINGER HAUS 800 мл (BH 1498),706,1815389,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные BerlingerHaus,berlingerhaus,Чайник заварювальний BerlingerHaus 800 мл (BH 1498),,706,1,https://comfy.ua/chajnik-zavarochnyj-berlingerhaus-800-ml-bh-1498.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
917881361,,,,,1817312,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG105-M2,,2399,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg105-m2.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
917919346,,,,,1331503,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Borgio,borgio,Витяжка декоративна Borgio RNT-SU 60 White,,5675,1,https://comfy.ua/vytjazhka-dekorativnaja-borgio-rnt-su-60-white.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
917962122,6717987,BORMIOLI ROCCO,Набор стаканов BORMIOLI ROCCO ELECTRA 6 x 380 мл (192344GRC021990),559,1816191,Посуда >> Для напитков >> Стаканы >> Стаканы Bormioli Rocco,bormioli-rocco,Набір склянок Bormioli Rocco Electra 6x380 мл (192344GRC021990),,559,1,https://comfy.ua/nabor-stakanov-bormioli-rocco-electra-6x380-ml-192344grc021990.html,1117,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
917962328,6717977,BORMIOLI ROCCO,Набор стаканов BORMIOLI ROCCO AMERICA'20s LONG DRINK 6x400 мл (122143BAU021990),1021,1816220,Посуда >> Для напитков >> Стаканы >> Стаканы Bormioli Rocco,bormioli-rocco,Набір склянок Bormioli Rocco America'20s LONG DRINK 6x400 мл (122143BAU021990),,801,1,https://comfy.ua/nabor-stakanov-bormioli-rocco-america-20s-long-drink-6x400-ml-122143bau021990.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
917962329,6717982,BORMIOLI ROCCO,Набор стаканов BORMIOLI ROCCO BARTENDER Novecento 6x405 мл (122115BAU021990),637,1816186,Посуда >> Для напитков >> Стаканы >> Стаканы Bormioli Rocco,bormioli-rocco,Набір склянок для віскі Bormioli Rocco Bartender Novecento 6x405 мл (122115BAU021990),,637,1,https://comfy.ua/nabor-stakanov-dlja-viski-bormioli-rocco-bartender-novecento-6x405-ml-122115bau021990.html,1273,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
917962331,,,,,1816218,Посуда >> Для напитков,bormioli-rocco,Набір склянок Bormioli Rocco America'20s  6x370 мл (122139BBC021990),,906,1,https://comfy.ua/nabor-stakanov-bormioli-rocco-america-20s-6x370-ml-122139bbc021990.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
917962928,,,,,.1815346,Посуда >> Для приготовления,ballarini,Сковорода ВОК Ballarini 30 см 1000252,,4795,1,https://comfy.ua/skovoroda-vok-ballarini-30-sm-1000252.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
917979193,6809795,BORGIO,Вытяжка BORGIO BIT-BOX full glass 60 ivory,14179,1818265,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Borgio,borgio,Витяжка вбудована Borgio BIT-BOX Full Glass 60 Ivory,,14345,1,https://comfy.ua/vytjazhka-vstraivaemaja-borgio-bit-box-full-glass-60-ivory.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
917986750,6703131,SAMSUNG,Пылесос SAMSUNG VC07M31C0HG/UK,4799,1806892,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Samsung,samsung,Пилосос для сухого прибирання без мішка Samsung VC07M31C0HG/UK,,4799,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-samsung-vc07m31c0hg-uk.html,5499,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
