1689065371,,,,,.2964440,Смарт-часы и гаджеты >> Аксессуары,powerplant,Зарядний пристрій для квадрокоптера PowerPlant DJI Mavic Air 2 для 4 акумуляторів (CH980451),,3999,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-kvadrokoptera-powerplant-dji-mavic-air-2-dlja-4-akkumuljatorov-ch980451.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1689065372,,,,,.2851941,Смарт-часы и гаджеты >> Аксессуары,powerplant,Акумулятор для квадрокоптера PowerPlant Parrot Disco 4050mAh (CB970629),,2999,1,https://comfy.ua/akkumuljator-dlja-kvadrokoptera-powerplant-parrot-disco-4050mah-cb970629.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1689067254,,,,,2966121,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Bebe Confort,bebe-confort,Стільчик для годування класичний Bebe Confort MEELY GRAPHITE,,1980,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-bebe-confort-meely-graphite.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1689067263,,,,,2966125,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Bebe Confort,bebe-confort,Стільчик для годування класичний Bebe Confort Olea Mineral Gray,,4200,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-bebe-confort-olea-mineral-gray.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1689067264,,,,,2966124,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Bebe Confort,bebe-confort,Стільчик для годування класичний Bebe Confort Olea Mineral Graphite,,4200,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-bebe-confort-olea-mineral-graphite.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1689067270,,,,,2955504,Бытовая химия >> Средства для стирки,persil,Капсули для прання Persil Колор 44 цикли,,560,1,https://comfy.ua/kapsuly-dlja-stirki-persil-kolor-44-cikla.html,1065,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,1
1689067271,,,,,2965424,Бытовая химия >> Средства для стирки,losk,Капсули для прання Losk трио.Колор 40 шт,,359,1,https://comfy.ua/kapsuly-dlja-stirki-losk-trio-kolor-40-sht.html,677,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,1
1689067289,,,,,2949620,Бытовая химия >> Средства для стирки >> Капсулы для стирки >> Капсулы для стирки Persil,persil,Капсули для прання Persil Диски 40 цикла (9000101801255),,619,1,https://comfy.ua/kapsuly-dlja-stirki-persil-diski-40-cikla-9000101801255.html,1065,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,1
1689067290,,,,,2965422,Бытовая химия >> Средства для стирки,persil,Капсули для прання Persil Диски Колор 40 шт,,578,1,https://comfy.ua/kapsuly-dlja-stirki-persil-diski-kolor-40-sht.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,1
1689067308,,,,,2965425,Бытовая химия >> Средства для стирки,perwoll,"Засіб для делікатного прання Perwoll д/цветных вещей 3,75л + д/темных и черных вещей 3,75л",,1249,1,https://comfy.ua/sredstvo-dlja-delikatnoj-stirki-perwoll-d-cvetnyh-veschej-3-75l-d-temnyh-i-chernyh-veschej-3-75l.html,2109,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,3
1689067409,6989080,METAL TIME,Конструктор METAL TIME Ukrainian Dream АН-225 официальное издание собранная модель (MT001/READY),9498,2902740,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Metal Time,metal-time,Металевий конструктор Metal Time Українська Мрія АН-225 (MT001EE/READY),,6989,1,https://comfy.ua/metallicheskij-konstruktor-metal-time-ukrainskaja-mechta-an-225-mt001ee-ready.html,,05.11.2025 22:03,,"вул. Соборна, 42",Фастів,0
