945238118,column,column,column,column,1835994,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,__cablexpert_pc186ml121m_cee77c5__1__vde,column,99,1,httpscomfyuakabelpitanijacablexpertpc186ml121mcee77c51mvdehtml,column,05112025_1735,column,__42,Фастів,0
945298158,,,,,.1765725,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,"Перехідник PowerPlant mini DisplayPort (Thunderbolt) - DisplayPort, HDMI, DVI, 0.2 м, White (CA911097)",,399,1,https://comfy.ua/kabel-powerplant-mini-displayport-thunderbolt-displayport-hdmi-dvi-0-2-m-white-ca911097.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
945298163,,,,,1834768,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник PowerPlant DVI-D Dual Link (M) - VGA (F) 0.15 м (CA911141),,259,1,https://comfy.ua/catalog/product/view/id/2726773,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
945301288,,,,,1834595,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",rivacase,Рюкзак для ноутбуку RIVACASE 7562 Grey/Dark Blue,,1149,1,https://comfy.ua/catalog/product/view/id/2726923,,05.11.2025 22:25,,"вул. Соборна, 42",Фастів,0
945720343,6717090,POWERPLANT,rechar POWERPLANT Motorola MB860 (BH6X) 1900mAh (DV00DV6118),165,1834689,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola MB860 (BH6X) (DV00DV6118),,139,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-motorola-mb860-bh6x-dv00dv6118.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
945722429,,,,,1834703,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola Moto G6 (HG30) (SM130429),,199,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-motorola-moto-g6-hg30-sm130429.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
945722430,,,,,1834702,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola Moto G6 Plus (JT40) (SM130412),,129,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-motorola-moto-g6-plus-jt40-sm130412.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
945722431,,,,,1834701,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola Moto G6 Play (BL270) (SM130405),,199,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-motorola-moto-g6-play-bl270-sm130405.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
945835414,,,,,.1834595,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",rivacase,Рюкзак для ноутбуку RIVACASE 7562 Grey/Dark Blue,,1149,1,https://comfy.ua/rjukzak-dlja-noutbuka-rivacase-7562-grey-dark-blue.html,,05.11.2025 22:25,,"вул. Соборна, 42",Фастів,0
945913398,,,,,1830855,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Сумка для ноутбуку Merlion 15,6'' Polyester Q150 (YU2002)",,229,1,https://comfy.ua/sumka-dlja-noutbuka-merlion-15-6-polyester-q150-yu2002.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
945913488,6741045,CANYON,Смарт-часы для детей CANYON KW-31 Black (CNE-KW31BB),1299,1833799,Смарт-часы и гаджеты >> Смарт-часы,canyon,Дитячий годинник Canyon CNE-KW31BB,,1299,1,https://comfy.ua/catalog/product/view/id/2735903,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
945932472,,,,,.1834939,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Тонер для заправки картриджа Colorway HP LJ 2100 240 г (TH-2100),,169,1,https://comfy.ua/toner-dlja-zapravki-kartridzha-colorway-hp-lj-2100-240-g-th-2100.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
945972325,,,,,1834758,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Xiaomi Yi AZ13 1010mAh (DV00DV1413),,399,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-xiaomi-yi-az13-1010mah-dv00dv1413.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
945974897,,,,,1834767,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник PowerPlant VGA M - DVI F (CA910687),,119,1,https://comfy.ua/perehodnik-powerplant-vga-m-dvi-f-ca910687.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
945975474,,,,,1834761,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant ZTE Blade A7 (2020) 3200mAh (SM130504),,299,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-zte-blade-a7-2020-3200mah-sm130504.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
946014779,,,,,1835111,Техника для дома >> Крупная техника,electrolux,Прально-сушильна машина Electrolux EW9W161BUC,,61499,1,https://comfy.ua/catalog/product/view/id/2719683,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
946016199,,,,,.1801162,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway для Epson L800 BK/С/LC/LM/M/Y 6x100 мл (CW-EU800SET01),,899,1,https://comfy.ua/chernila-colorway-dlja-epson-l800-bk-s-lc-lm-m-y-6x100-ml-cw-eu800set01.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
946019345,6690836,SAMSUNG,Микроволновая печь SAMSUNG MS23T5018AW/UA,6399,1837954,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Samsung,samsung,Мікрохвильова піч (НВЧ) Samsung MS23T5018AW/UA,,6999,1,https://comfy.ua/mikrovolnovaja-pech-svch-samsung-ms23t5018aw-ua.html,7999,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
946019416,6776695,AMIGO,Смарт-часы AMIGO GO004 Splashproof Camera Green,1599,1834097,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы AmiGo,amigo,Дитячий годинник AmiGo GO004 Splashproof Camera+LED Green,,1599,1,https://comfy.ua/detskie-chasy-amigo-go004-splashproof-camera-led-green.html,1799,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
946019418,6811102,CANYON,Смарт-часы CANYON Sandy KW-34 Pink (CNE-KW34PP),1299,1833798,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Canyon,canyon,Дитячий годинник Canyon CNE-KW34PP,,1299,1,https://comfy.ua/detskie-chasy-canyon-cne-kw34pp.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
946019420,6770223,CANYON,Смарт-часы для детей CANYON Sandy KW-34 Blue (CNE-KW34BL),1299,1833952,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Canyon,canyon,Дитячий годинник Canyon CNE-KW34BL,,1299,1,https://comfy.ua/detskie-chasy-canyon-cne-kw34bl.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
946019429,6730025,CANYON,Смарт-часы CANYON Tony KW-31 Yellow/Gray(CNE-KW31YB),1299,1833802,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Canyon,canyon,Дитячий годинник Canyon CNE-KW31YB,,1299,1,https://comfy.ua/detskie-chasy-canyon-cne-kw31yb.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
946019438,6770224,CANYON,Смарт-часы для детей CANYON Tony Pink (CNE-KW31RR),1299,1833801,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Canyon,canyon,Дитячий годинник Canyon CNE-KW31RR,,1299,1,https://comfy.ua/detskie-chasy-canyon-cne-kw31rr.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
946019465,,,,,1833799,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Canyon,canyon,Дитячий годинник Canyon CNE-KW31BB,,1299,1,https://comfy.ua/detskie-chasy-canyon-cne-kw31bb.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
946032673,,,,,1803836,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant HP CLJ M180/M181 (CF530A),,499,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-hp-clj-m180-m181-cf530a.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
946032674,,,,,1803841,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры PowerPlant",powerplant,Картридж для лазерних принтерів/БФП PowerPlant HP 203A CLJ M280/M281 MG (CF543A),,599,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-hp-203a-clj-m280-m281-mg-cf541a.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
946032676,,,,,1803839,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры PowerPlant",powerplant,Картридж для лазерних принтерів/БФП PowerPlant HP CLJ M280/M254 (CF540A),,699,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-hp-clj-m280-m254-cf540a.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
946112195,,,,,1834939,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Тонер для заправки картриджа Colorway HP LJ 2100 240 г (TH-2100),,169,1,https://comfy.ua/catalog/product/view/id/2731143,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
946142816,,,,,1834693,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola Defy (BF5X) (DV00DV6136),,159,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-motorola-defy-bf5x-dv00dv6136.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
946176314,,,,,1834696,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola Moto X (EX34) (SM130283),,199,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-motorola-moto-x-ex34-sm130283.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
946176572,,,,,1834695,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola Moto G Turbo (ED30) (SM130276),,199,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-motorola-moto-g-turbo-ed30-sm130276.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
946344791,,,,,.1836893,"Аудио, фото и видео >> Акустика",akg,Мікрофон вокальний бездротовий AKG WMS40 Mini2 Vocal Set BD ISM2/3 EU/US/UK,,10965,1,https://comfy.ua/mikrofon-vokal-nyj-besprovodnoj-akg-wms40-mini2-vocal-set-bd-ism2-3-eu-us-uk.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
946344977,,,,,1837513,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Tescoma,tescoma,Набір ємностей для спецій і приправ tescoma 657076 Season 3 шт.,,499,1,https://comfy.ua/nabor-emkostej-dlja-specij-i-priprav-tescoma-657076-season-3-sht.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
946352429,,,,,1833378,"Аудио, фото и видео >> Наушники",sennheiser,Гарнітура дротова Sennheiser ADAPT 135 USB-C II (1000918),,2027,1,https://comfy.ua/garnitura-provodnaja-sennheiser-adapt-135-usb-c-ii-1000918.html,4359,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
946352430,,,,,.1833377,"Аудио, фото и видео >> Наушники",sennheiser,Гарнітура дротова Sennheiser ADAPT 135 USB II (1000914),,4739,1,https://comfy.ua/garnitura-provodnaja-sennheiser-adapt-135-usb-ii-1000914.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
946358215,6910502,LIITOKALA,Зарядное устройство LIITOKALA Lii-300,730,1834198,"Аудио, фото и видео >> Аксессуары для фото, видео >> Аккумуляторы, батарейки и зарядные устройства >> Аккумуляторы, батарейки и зарядные устройства LiitoKala",liitokala,З/пристрій для акумуляторів AA/AAA LiitoKala Lii-300,,669,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-liitokala-lii-300.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
946358217,6813896,LIITOKALA,Зарядное устройство LIITOKALA 4 Slots (Lii-600),1610,1834199,"Аудио, фото и видео >> Аксессуары для фото, видео >> Аккумуляторы, батарейки и зарядные устройства >> Аккумуляторы, батарейки и зарядные устройства LiitoKala",liitokala,З/пристрій для акумуляторів AA/AAA LiitoKala Lii-600,,2135,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-liitokala-lii-600.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
946359131,6634548,LIMITED EDITION,Тарелка десертная LIMITED EDITION TERRA 20 см (YF6002-2),64,1835258,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Тарілка десертна Limited Edition Terra 20 см Blue (YF6002-2),,99,1,https://comfy.ua/tarelka-desertnaja-limited-edition-terra-20-sm-blue-yf6002-2.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
946360730,6634555,LIMITED EDITION,Тарелка столовая глубокая Limited Edition Terra 20 см (YF6007-5),96,1835268,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Тарілка супова Limited Edition Terra 20 см Powdery Pink (YF6007-5),,169,1,https://comfy.ua/tarelka-supovaja-limited-edition-terra-20-sm-powdery-pink-yf6007-5.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
946360731,6634546,LIMITED EDITION,Тарелка столовая глубокая LIMITED EDITION TERRA 20 см (YF6001-5),96,1835267,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Тарілка супова Limited Edition Terra 20 см Mocha (YF6001-5),,96,1,https://comfy.ua/tarelka-supovaja-limited-edition-terra-20-sm-mocha-yf6001-5.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
