1088604599,column,column,column,column,1866144,Бытовая химия >> Средства для чистки техники,felceazzurra,____felce_azzurra_paglieri_750,column,189,1,httpscomfyuasredstvodljaudalenijazhirafelceazzurrapaglieri750mlhtml,column,05112025_1916,column,__42,Фастів,0
1088604599,,,,,1866144,Бытовая химия >> Средства для чистки техники,felce-azzurra,Засіб для видалення жиру FELCE AZZURRA Paglieri 750мл,,189,1,https://comfy.ua/sredstvo-dlja-udalenija-zhira-felce-azzurra-paglieri-750ml.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1088604818,,,,,.1885916,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus TUF Gaming B550-Plus Socket AM4,,5799,1,https://comfy.ua/materinskaja-plata-asus-tuf-gaming-b550-plus-socket-am4.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1088605953,,,,,1882040,Посуда >> Для напитков >> Кувшины и графины >> Кувшины и графины Bormioli Rocco,bormioli-rocco,Графін Bormioli Rocco Aquaria 1190 мл (125160MSA321990),,581,1,https://comfy.ua/dekanter-bormioli-rocco-aquaria-1190-ml-125160msa321990.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1088605954,6789422,ARDESTO,Кувшин ARDESTO Dew с крышкой 1500 мл (AR2615PG),629,1883235,Посуда >> Для напитков >> Кувшины и графины >> Кувшины и графины Ardesto,ardesto,Глечик Ardesto Dew 1500 мл (AR2615PG),,629,1,https://comfy.ua/kuvshin-ardesto-dew-1500-ml-ar2615pg.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1088606295,6804322,ERSTECH,Блендер ERSTECH Е0601BR,1309,1901299,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Erstech,erstech,Блендер заглибний Erstech Е0601BR,,1095,1,https://comfy.ua/blender-pogruzhnoj-erstech-e0601br.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1088606295,7078146,ERSTECH,Блендер ERSTECH Е0601BR,1095,1901299,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Erstech,erstech,Блендер заглибний Erstech Е0601BR,,1095,1,https://comfy.ua/blender-pogruzhnoj-erstech-e0601br.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1088606296,,,,,.1907788,Техника для кухни >> Мелкая техника,noveen,Електричний чайник Noveen EK1201 Gray,,599,1,https://comfy.ua/jelektricheskij-chajnik-noveen-ek1201-gray.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1088606310,7081420,NOVEEN,Проточный водонагреватель NOVEEN IWH150 (70872),1669,1907772,Техника для дома >> Крупная техника,noveen,Водонагрівач проточний Noveen IWH150,,1669,1,https://comfy.ua/vodonagrevatel-protochnyj-noveen-iwh150.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1088614405,,,,,1866133,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Felce Azzurra,felce-azzurra,"Гель для прання FELCE AZZURRA Paglieri Classico 1,595л",,345,1,https://comfy.ua/gel-dlja-stirki-felce-azzurra-paglieri-classico-1-595l.html,493,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1088614406,,,,,1866134,Бытовая химия >> Средства для стирки,felce-azzurra,"Гель для прання FELCE AZZURRA Paglieri Sapone di Aleppo 1,595л",,345,1,https://comfy.ua/gel-dlja-stirki-felce-azzurra-paglieri-sapone-di-aleppo-1-595l.html,493,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1088626238,6781031,ARDESTO,Зубная щетка ARDESTO ETB-003DOG,299,1908659,Красота и здоровье >> Уход за полостью рта,ardesto,Зубна щітка електрична Ardesto ETB-003DOG,,299,1,https://comfy.ua/catalog/product/view/id/3331553,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1088626996,6781057,ARDESTO,Набор насадок ARDESTO TBH-21W 3 шт Black,299,1908667,Красота и здоровье >> Уход за полостью рта,ardesto,Насадка для зубної щітки Ardesto TBH-21W White,,299,1,https://comfy.ua/catalog/product/view/id/3331343,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1088627162,6781056,ARDESTO,Набор насадок ARDESTO TBH-21B 3 шт Black,299,1908666,Красота и здоровье >> Уход за полостью рта,ardesto,Насадка для зубної щітки Ardesto TBH-21B Black,,299,1,https://comfy.ua/catalog/product/view/id/3331673,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1088634694,,,,,1905918,Детские товары >> Прогулки и поездки,peg-perego,Чохол на ніжки Peg-Perego Pliko Mini (IKAC0004),,1299,1,https://comfy.ua/catalog/product/view/id/3334973,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1088698743,6781033,ARDESTO,Зубная щетка ARDESTO ETB-112W White,699,1908661,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Ardesto,ardesto,Зубна щітка електрична Ardesto ETB-112W White,,699,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-ardesto-etb-112w-white.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1088698884,,,,,.1908667,Красота и здоровье >> Уход за полостью рта,ardesto,Насадка для зубної щітки Ardesto TBH-21W White,,299,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-ardesto-tbh-21w-white.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1088699249,,,,,.1908666,Красота и здоровье >> Уход за полостью рта,ardesto,Насадка для зубної щітки Ardesto TBH-21B Black,,299,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-ardesto-tbh-21b-black.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1088699554,6781032,ARDESTO,Зубная щетка ARDESTO ETB-101W White,299,1908660,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Ardesto,ardesto,Зубна щітка електрична Ardesto ETB-101W White,,399,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-ardesto-etb-101w-white.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1088699738,,,,,1905918,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Peg-Perego,peg-perego,Чохол на ніжки Peg-Perego Pliko Mini (IKAC0004),,1299,1,https://comfy.ua/chehol-na-nozhki-peg-perego-pliko-mini-ikac0004.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1088699739,6781035,ARDESTO,Зубная щетка ARDESTO ETB-211B Black,999,1908663,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Ardesto,ardesto,Зубна щітка електрична Ardesto ETB-211B Black,,999,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-ardesto-etb-211b-black.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1088699877,6647685,WHIRLPOOL,Духовой шкаф WHIRLPOOL OAKZ9 7921 CS NB,16599,1901291,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Whirlpool,whirlpool,Духова шафа електрична Whirlpool OAKZ9 7921 CS NB,,16999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-whirlpool-oakz9-7921-cs-nb.html,20399,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,1
1088699931,,,,,1908659,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Ardesto,ardesto,Зубна щітка електрична Ardesto ETB-003DOG,,299,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-ardesto-etb-003dog.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1088722896,,,,,1907771,Детские товары >> Прогулки и поездки,peg-perego,Запчастини для дитячих колясок Peg-Perego Бампер до коляски Pliko Mini (IKTR0018NGR),,949,1,https://comfy.ua/catalog/product/view/id/3339523,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1088733699,6748431,BOSCH,Пылесос BOSCH BGS21X320,4999,1878836,Техника для дома >> Мелкая техника,bosch,Пилосос для сухого прибирання без мішка Bosch BGS21X320,,4999,1,https://comfy.ua/catalog/product/view/id/3339623,7599,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,3
1088736508,,,,,1893359,Посуда >> Для напитков,well-done,Термос Well Done 1500 мл (WD-7041B),,879,1,https://comfy.ua/catalog/product/view/id/3306123,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1088736927,6773262,BOSCH,Пылесос BOSCH BGS21POW2,8599,1903438,Техника для дома >> Мелкая техника,bosch,Пилосос для сухого прибирання без мішка Bosch BGS21POW2,,8599,1,https://comfy.ua/catalog/product/view/id/3339903,9299,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1088737733,,,,,1911980,Техника для кухни >> Крупная техника,artel,Плита газова ARTEL APETITO 10-E Brown,,11899,1,https://comfy.ua/catalog/product/view/id/3340603,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1088739360,6623010,BEURER,Вкладыш для фильтра BEURER к LB 88/LB 55 10 шт,219,1581596,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Beurer,beurer,Фільтр до зволожувача повітря Beurer LB 88/55,,775,1,https://comfy.ua/fil-tr-dlja-uvlazhnitelja-vozduha-beurer-lb-88-55.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1088745326,,,,,1909471,Техника для кухни >> Мелкая техника,ecg,Мультиварка-скороварка ECG MHT 1661 Pressione Nuovo,,7359,1,https://comfy.ua/catalog/product/view/id/3342283,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1088747282,6776621,JBL,Портативная акустика JBL PartyBox 710 (JBLPARTYBOX710EU),33999,1908717,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Акустична система JBL Partybox 710 Black (JBLPARTYBOX710EU),,33999,1,https://comfy.ua/akusticheskaja-sistema-jbl-partybox-710-black-jblpartybox710eu.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1088754613,,,,,1907769,Детские товары >> Кормление,peg-perego,Вставка для стільчика для годування та коляски Peg-Perego IKAC0010--JM50ZP46,,1899,1,https://comfy.ua/catalog/product/view/id/3345293,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1088820120,,,,,1909473,Техника для дома >> Мелкая техника,ecg,Пилосос для сухого прибирання без мішка ECG VP BS6120 Animal,,7025,1,https://comfy.ua/catalog/product/view/id/3345753,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1088823055,,,,,.1872386,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Epson L800/810/850 BK/С/LC/LM/M/Y 6x200 г (CW-EW810SET02),,899,1,https://comfy.ua/chernila-colorway-epson-l800-810-850-bk-s-lc-lm-m-y-6x200-g-cw-ew810set02.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1088825344,,,,,1909474,Техника для дома >> Мелкая техника,ecg,Пилосос для сухого прибирання з мішком ECG VP S5020 Animal Comfort,,6689,1,https://comfy.ua/catalog/product/view/id/3345783,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1088825413,7081422,NOVEEN,Проточный водонагреватель NOVEEN IWH360,2159,1907774,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Noveen,noveen,Водонагрівач проточний Noveen IWH360,,2319,1,https://comfy.ua/vodonagrevatel-protochnyj-noveen-iwh360.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
