1384966795,,,,,2094519,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Digitus",digitus,Кабель патч-корд Digitus CAT6A FTP 2m (DK-1644-A-020),,169,1,https://comfy.ua/kabel-patch-kord-digitus-cat6a-ftp-2m-dk-1644-a-020.html,,05.11.2025 22:19,,"вул. Соборна, 42",Фастів,0
1384966796,,,,,2094521,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Digitus",digitus,Кабель патч-корд Digitus CAT 5e UTP 3m (DK-1521-030),,129,1,https://comfy.ua/kabel-patch-kord-digitus-cat-5e-utp-3m-dk-1521-030.html,,05.11.2025 22:19,,"вул. Соборна, 42",Фастів,0
1384969346,,,,,2094516,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель патч-корд Digitus CAT 5e UTP 0.5m (DK-1531-005),,53,1,https://comfy.ua/kabel-patch-kord-digitus-cat-5e-utp-0-5m-dk-1531-005.html,,05.11.2025 22:12,,"вул. Соборна, 42",Фастів,0
1385117975,6809219,AMICA,Электрочайник AMICA KF 3038,1399,2093717,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Amica,amica,Електричний чайник Amica KF 3038,,1299,1,https://comfy.ua/jelektricheskij-chajnik-amica-kf-3038.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1385379027,,,,,2093113,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Amica,amica,Електричний чайник Amica KF 3039,,1549,1,https://comfy.ua/jelektricheskij-chajnik-amica-kf-3039.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1385643473,6824043,BORGIO,Вытяжка BORGIO BBI (TR) 5840 White Glass MU 850,4803,2088760,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Borgio,borgio,Витяжка вбудована Borgio BBI (TR) 5840 White Glass MU 850,,4805,1,https://comfy.ua/vytjazhka-vstraivaemaja-borgio-bbi-tr-5840-white-glass-mu-850.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1385645273,6743957,WHIRLPOOL,Варочная поверхность WHIRLPOOL WB S0060 NE,19299,2066637,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Whirlpool,whirlpool,Варильна поверхня електрична Whirlpool WBS0060NE,,19299,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-whirlpool-wbs0060ne.html,20899,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1385647844,6987694,WHIRLPOOL,Встраиваемый холодильник WHIRLPOOL WHC20 T593 P,42999,1885995,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Whirlpool,whirlpool,Холодильник вбудований Whirlpool WHC20T593P,,42999,1,https://comfy.ua/holodil-nik-vstraivaemyj-whirlpool-whc20t593p.html,54699,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1385659517,,,,,.2066633,Техника для кухни >> Крупная техника,whirlpool,Духова шафа електрична Whirlpool W64PS1OM4P,,24399,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-whirlpool-w64ps1om4p.html,26399,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1385677208,6880259,BOSCH,Шлифмашина угловая BOSCH GWS 2200 (0.601.8C1.320),4720,2095131,Инструменты и автотовары >> Электроинструменты >> Болгарки и штроборезы >> Болгарки и штроборезы Bosch,bosch,Болгарка Bosch GWS 2200 (0.601.8C1.320),,4719,1,https://comfy.ua/bolgarka-bosch-gws-2200-0-601-8c1-320.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1386351852,6809191,AENO,Фильтр для воздухоочистителя AENO AAPF1,1699,2071317,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха AENO,aeno,Фільтр до очищувача повітря AENO AAP0001S (AAPF1),,1699,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-aeno-aap0001s-aapf1.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1386351940,6809193,AENO,Фильтр для воздухоочистителя AENO AAPF3,859,2071315,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха AENO,aeno,Фильтр для очистителя воздуха AENO AAP0003 (AAPF3),,899,1,https://comfy.ua/fil-tr-dlja-ochistitelja-i-uvlazhnitelja-vozduha-aeno-aap0003-aapf3.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1386351984,6809194,AENO,Фильтр для воздухоочистителя AENO AAPF4,1199,2071316,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха AENO,aeno,Фильтр для очистителя воздуха AENO AAP0004 (AAPF4),,1199,1,https://comfy.ua/fil-tr-dlja-ochistitelja-i-uvlazhnitelja-vozduha-aeno-aap0004-aapf4.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1386352066,6809192,AENO,Фильтр для воздухоочистителя AENO AAPF2,1799,2071314,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха AENO,aeno,Фильтр для очистителя воздуха AENO AAP0002S (AAPF2),,1799,1,https://comfy.ua/fil-tr-dlja-ochistitelja-i-uvlazhnitelja-vozduha-aeno-aap0002s-aapf2.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1386352627,6809190,AENO,Сменная панель для гриля AENO EG1 двусторонняя (AEGP1),999,2070171,Техника для кухни >> Мелкая техника >> Аксессуары к грилям-барбекю >> Аксессуары к грилям-барбекю AENO,aeno,Змінна панель для гриля-барбекю AENO AEG0001 (AEGP1),,999,1,https://comfy.ua/smennaja-panel-dlja-grilja-barbekju-aeno-aeg0001-aegp1.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1386353633,6809195,AENO,Су Вид AENO SV1 (ASV0001),3499,2059572,Техника для кухни >> Хранение продуктов >> Вакууматоры >> Вакууматоры AENO,aeno,Су вид AENO SV1 (ASV0001),,3499,1,https://comfy.ua/su-vid-aeno-sv1-asv0001.html,4599,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
