1446235089,column,column,column,column,2031437,"Дом, отдых и зоотовары >> Сантехника",granado,__granado_salamanka_avena,column,6589,1,httpscomfyuamojkakuhonnajagranadosalamankaavenahtml,column,05112025_2019,column,__42,Фастів,0
1446242444,,,,,2031400,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Mora Terra,,7589,1,https://comfy.ua/mojka-kuhonnaja-granado-mora-terra.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1446242455,,,,,2031402,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Mora White,,7589,1,https://comfy.ua/mojka-kuhonnaja-granado-mora-white.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1446242459,,,,,2031401,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Mora Ivory,,7589,1,https://comfy.ua/mojka-kuhonnaja-granado-mora-ivory.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1446242475,,,,,2031405,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Mora Grafito,,7589,1,https://comfy.ua/mojka-kuhonnaja-granado-mora-grafito.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1446242735,,,,,2031403,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Mora Marron,,7589,1,https://comfy.ua/mojka-kuhonnaja-granado-mora-marron.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1446242767,,,,,2031404,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Mora Gris,,7589,1,https://comfy.ua/mojka-kuhonnaja-granado-mora-gris.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1446243340,,,,,2030713,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Merida Black Shine,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-merida-black-shine.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1446243345,,,,,2031414,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Merida Avena,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-merida-avena.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1446243441,,,,,2031415,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Merida Terra,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-merida-terra.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1446243448,,,,,2031417,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Merida White,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-merida-white.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1446243637,,,,,2031416,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Merida Ivory,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-merida-ivory.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1446243782,,,,,2031420,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Merida Grafito,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-merida-grafito.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1446243826,,,,,2031419,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Merida Gris,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-merida-gris.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1446244772,,,,,2031519,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Marbella Marron,,4589,1,https://comfy.ua/mojka-kuhonnaja-granado-marbella-marron.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1446245151,,,,,2031515,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Marbella Avena,,4589,1,https://comfy.ua/mojka-kuhonnaja-granado-marbella-avena.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1446245406,,,,,2031516,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Marbella Terra,,4589,1,https://comfy.ua/mojka-kuhonnaja-granado-marbella-terra.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1446245791,,,,,2031517,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Marbella Ivory,,4589,1,https://comfy.ua/mojka-kuhonnaja-granado-marbella-ivory.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1446269652,,,,,2030695,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Madrid Grafito,,3989,1,https://comfy.ua/mojka-kuhonnaja-granado-madrid-grafito.html,5589,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1446269866,,,,,2030688,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Madrid Black Shine,,3990,1,https://comfy.ua/mojka-kuhonnaja-granado-madrid-black-shine.html,5590,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1446270104,,,,,2030689,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Madrid Avena,,3989,1,https://comfy.ua/mojka-kuhonnaja-granado-madrid-avena.html,5589,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1446270287,,,,,2030690,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Madrid Terra,,3990,1,https://comfy.ua/mojka-kuhonnaja-granado-madrid-terra.html,5590,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1446270747,,,,,2030691,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Madrid Ivory,,3989,1,https://comfy.ua/mojka-kuhonnaja-granado-madrid-ivory.html,5589,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1446270807,,,,,2030692,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Madrid White,,3989,1,https://comfy.ua/mojka-kuhonnaja-granado-madrid-white.html,5589,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446270908,,,,,2030693,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Madrid Marron,,3989,1,https://comfy.ua/mojka-kuhonnaja-granado-madrid-marron.html,5589,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446271015,,,,,2030694,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Madrid Gris,,3989,1,https://comfy.ua/mojka-kuhonnaja-granado-madrid-gris.html,5589,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1446271132,,,,,2031406,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Lugo Black Shine,,2989,1,https://comfy.ua/mojka-kuhonnaja-granado-lugo-black-shine.html,3989,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1446271134,,,,,2031407,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Lugo Avena,,2989,1,https://comfy.ua/mojka-kuhonnaja-granado-lugo-avena.html,3989,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1446271137,,,,,2031408,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Lugo Terra,,2990,1,https://comfy.ua/mojka-kuhonnaja-granado-lugo-terra.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1446271144,,,,,2031410,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Lugo White,,2989,1,https://comfy.ua/mojka-kuhonnaja-granado-lugo-white.html,3989,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1446271187,,,,,2031456,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Linares Grafito,,6589,1,https://comfy.ua/mojka-kuhonnaja-granado-linares-grafito.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1446271188,,,,,2031453,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Linares Terra,,6589,1,https://comfy.ua/mojka-kuhonnaja-granado-linares-terra.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1446271192,,,,,2031455,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Linares Gris,,6589,1,https://comfy.ua/mojka-kuhonnaja-granado-linares-gris.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1446271197,,,,,2086824,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Linares Marron,,6589,1,https://comfy.ua/mojka-kuhonnaja-granado-linares-marron.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
