807253562,6947525,philips_avent,_avent_3__1_scf29100,3696,1758262,__________philips,philips,___philips_avent_scf29100,column,3795,1,httpscomfyuasterilizatoruniversalnyjparovojphilipsaventscf29100html,column,05112025_2027,column,__42,Фастів,0
807253749,7086356,TEGA BABY,Ванночка TEGA BABY DUCK 86 см Pink (DK-004-130),382,1759429,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,Дитяча ванночка Tega Baby Каченя 86 см Рожева (DK-004-130),,412,1,https://comfy.ua/detskaja-vannochka-tega-baby-utenok-86-sm-rozovaja-dk-004-130.html,475,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
807253752,,,,,1759428,"Детские товары >> Уход, купание и гигиена",tega-baby,Дитяча ванночка Tega Baby Каченя 86 см Зелена (DK-004-131),,412,1,https://comfy.ua/detskaja-vannochka-tega-baby-utenok-86-sm-zelenaja-dk-004-131.html,475,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253753,,,,,1759374,"Детские товары >> Уход, купание и гигиена",tega-baby,Дитяча ванночка Tega Baby Комфорт 2 в 1 анатомічна Блакитна (TG-011-101),,515,1,https://comfy.ua/detskaja-vannochka-tega-baby-komfort-s-termometrom-2-v-1-anatomicheskaja-golubaja-tg-011-101.html,619,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
807253795,,,,,1758473,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Baby Team",baby-team,"Пляшка для годування Baby Team з латексною соскою, 250мл. (1310_жовтий)",,70,1,https://comfy.ua/butylochka-dlja-kormlenija-baby-team-s-lateksnoj-soskoj-250ml-1310-zheltyj.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
807253802,,,,,1758481,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Baby Team",baby-team,"Пляшка для годування Baby Team з силіконовою соскою і ручками, 250 мл. (1411_салатовий)",,98,1,https://comfy.ua/butylochka-dlja-kormlenija-baby-team-s-silikonovoj-soskoj-i-ruchkami-250-ml-1411-salatovyj.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807253803,,,,,1758480,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Baby Team",baby-team,"Пляшка для годування Baby Team з силіконовою соскою і ручками, 250 мл. (1411_помаранчевий)",,89,1,https://comfy.ua/butylochka-dlja-kormlenija-baby-team-s-silikonovoj-soskoj-i-ruchkami-250-ml-1411-oranzhevyj.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807253804,,,,,1758468,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Baby Team",baby-team,"Пляшка для годування Baby Team з силіконовою соскою і ручками, 250 мл. (1411_жовтий)",,78,1,https://comfy.ua/butylochka-dlja-kormlenija-baby-team-s-silikonovoj-soskoj-i-ruchkami-250-ml-1411-zheltyj.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
807253805,,,,,1758484,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Baby Team",baby-team,"Пляшка для годування Baby Team з силіконовою соскою, 125 мл. (1400_жовтий)",,67,1,https://comfy.ua/butylochka-dlja-kormlenija-baby-team-s-silikonovoj-soskoj-125-ml-1400-zheltyj.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807253806,,,,,1758474,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Baby Team",baby-team,"Пляшка для годування Baby Team з силіконовою соскою, 125 мл. (1400_салатовий)",,71,1,https://comfy.ua/butylochka-dlja-kormlenija-baby-team-s-silikonovoj-soskoj-125-ml-1400-salatovyj.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807253807,,,,,1758467,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Baby Team",baby-team,"Пляшка для годування Baby Team з силіконовою соскою, 125 мл. (1400_оранжевий)",,67,1,https://comfy.ua/butylochka-dlja-kormlenija-baby-team-s-silikonovoj-soskoj-125-ml-1400-oranzhevyj.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
807253840,6571953,NUVITA,Конверт NUVITA СUCCIOLI JUNIOR Brown (NV9605CUCCIOLOJRTAUPE),1664,1754493,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Nuvita,nuvita,Конверт для коляски Nuvita 9605 Сuccioli Junior коричневий/пес/бежевий (NV9605CUCCIOLOJRTAUPE),,1559,1,https://comfy.ua/konvert-dlja-koljaski-nuvita-9605-succioli-junior-korichnevyj-pes-bezhevyj-nv9605cucciolojrtaupe.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
807253841,6571944,NUVITA,Конверт NUVITA Ovetto POP Sky Blue (NV9235OVPOPSKYBLUE),1113,1754491,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Nuvita,nuvita,Конверт для коляски Nuvita 9235 Ovetto Pop картатий блакитний/бежевий (NV9235OVPOPSKYBLUE),,1229,1,https://comfy.ua/konvert-dlja-koljaski-nuvita-9235-ovetto-pop-kletchatyj-goluboj-bezhevyj-nv9235ovpopskyblue.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
807253842,6571959,NUVITA,Конверт NUVITA СUCCIOLI JUNIOR Lilac (NV9605CUCCIOLOJRMELLIL),1664,1754490,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Nuvita,nuvita,Конверт для коляски Nuvita 9605 Сuccioli Junior бузковий/ведмедик/бежевий (NV9605CUCCIOLOJRMELLIL),,1559,1,https://comfy.ua/konvert-dlja-koljaski-nuvita-9605-succioli-junior-sirenevyj-mishka-bezhevyj-nv9605cucciolojrmellil.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
807253845,6571954,NUVITA,Конверт NUVITA СUCCIOLI JUNIOR Red (NV9605CUCCIOLOJRRED),1664,1754477,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Nuvita,nuvita,Конверт для коляски Nuvita 9605 Сuccioli Junior червоний/ведмедик/сірий (NV9605CUCCIOLOJRRED),,1559,1,https://comfy.ua/konvert-dlja-koljaski-nuvita-9605-succioli-junior-krasnyj-mishka-seryj-nv9605cucciolojrred.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
