929233649,6874072,DUCK,Средство для чистки унитаза DUCK 5в1 Гигиена и белизна Цитрус 900 мл (4823002006278),170,1751138,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза SC Johnson,sc-johnson,Засіб для чищення унітазу SC Johnson Туалетный утенок 5 в 1 Гигиена и белизна Цитрус 900 мл (4823002006278),,143,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-sc-johnson-tualetnyj-utenok-5-v-1-gigiena-i-belizna-citrus-900-ml-4823002006278.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
929233652,6874060,DUCK,Средство для чистки унитаза DUCK Морской 500 мл (4823002000719),116,1751129,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза SC Johnson,sc-johnson,Засіб для чищення унітазу SC Johnson Туалетный утенок 5 в 1 Морской 500 мл (4823002000719),,116,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-sc-johnson-tualetnyj-utenok-5-v-1-morskoj-500-ml-4823002000719.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
929233653,6874073,DUCK,Средство для чистки унитаза DUCK 5в1 Гигиена и белизна Лесной 900 мл (4823002006285),170,1751137,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза SC Johnson,sc-johnson,Засіб для чищення унітазу SC Johnson Туалетный утенок 5 в 1 Гигиена и белизна Лесной 900 мл (4823002006285),,143,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-sc-johnson-tualetnyj-utenok-5-v-1-gigiena-i-belizna-lesnoj-900-ml-4823002006285.html,169,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
929233788,,,,,1806968,Бытовая химия >> Средства от насекомых,raid,Фумігант рідина Raid Лаванда 30 ночей 22 мл (5000204203493),,83,1,https://comfy.ua/fumigant-zhidkost-sc-johnson-raid-lavanda-30-nochej-22-ml-5000204203493.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
929233811,7046081,RUTA,Салфетки столовые RUTA 24х24 100л 1ш Light Blue (4820023740617),28,1753832,Бытовая химия >> Для кухни и мытья посуды >> Бумажные полотенца и салфетки для кухни >> Бумажные полотенца и салфетки для кухни Ruta,ruta,Серветки паперові Ruta 24х24 см 100 шт. Голубые (4820023740617),,28,1,https://comfy.ua/salfetki-bumazhnye-ruta-24h24-sm-100-sht-golubye-4820023740617.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
929233812,7046083,RUTA,Салфетки столовые RUTA 24х24 100 шт Green (4820023740518),28,1754141,Бытовая химия >> Для кухни и мытья посуды >> Бумажные полотенца и салфетки для кухни >> Бумажные полотенца и салфетки для кухни Ruta,ruta,Серветки паперові Ruta 1 слой 24х24 см 100 шт. Зеленый (4820023740518),,28,1,https://comfy.ua/salfetki-bumazhnye-ruta-1-sloj-24h24-sm-100-sht-pelenyj-4820023740518.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
929233813,7046082,RUTA,Салфетки столовые RUTA 24х24 100 шт Yellow (4820023740501),28,1754140,Бытовая химия >> Для кухни и мытья посуды >> Бумажные полотенца и салфетки для кухни >> Бумажные полотенца и салфетки для кухни Ruta,ruta,Серветки паперові Ruta 1 слой 24х24 см 100 шт. Желтые (4820023740501),,28,1,https://comfy.ua/salfetki-bumazhnye-ruta-1-sloj-24h24-sm-100-sht-zheltye-4820023740501.html,34,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
929233823,7046084,RUTA,Салфетки столовые RUTA 24х24 200 шт White (4820023743724),59,1754142,Бытовая химия >> Для кухни и мытья посуды >> Бумажные полотенца и салфетки для кухни >> Бумажные полотенца и салфетки для кухни Ruta,ruta,Серветки паперові Ruta 1 слой 24х24 см 200 шт. Белые Family Pack (4820023743724),,60,1,https://comfy.ua/salfetki-bumazhnye-ruta-1-sloj-24h24-sm-200-sht-belye-family-pack-4820023743724.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,3
929233825,7046044,RUTA,Туалетная бумага RUTA Classic 4рулона 2слоя Белый (4820023740044),66,1750104,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Ruta,ruta,Туалетний папір Ruta Classic 2 шари 4 рулони Біла (4820023740044),,55,1,https://comfy.ua/tualetnaja-bumaga-ruta-classic-2-sloja-4-rulona-belaja-4820023740044.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
929233826,7046045,RUTA,Туалетная бумага RUTA Classic 4рулона 2слоя Желтый (4820023748835),66,1750105,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Ruta,ruta,Туалетний папір Ruta Classic 4 рулона Жовта (4820023748835),,66,1,https://comfy.ua/tualetnaja-bumaga-ruta-classic-4-rulona-zheltaja-4820023748835.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
