1649757607,column,column,column,column,2818195,Посуда >> Для приготовления,gusto,_gusto___premium_21__gtt216pm,column,1139,1,httpscomfyuakastrjuljagustoprjazhenoemolokopremium21lgtt216pmhtml,column,05112025_2005,column,__42,Фастів,0
1649768615,6949877,BERGNER,"Ложка поварская BERGNER Gizmo 33,5 см (BG-3243)",269,2799446,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bergner,bergner,"Ложка кухарська Bergner Gizmo 33,5 см (BG-3243)",,269,1,https://comfy.ua/lozhka-povarskaja-bergner-gizmo-33-5-sm-bg-3243.html,329,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1649769453,6947871,DURALEX,Салатник DURALEX Gigogne 310мл (2024AF06),79,2812857,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Duralex,duralex,Салатник Duralex Gigogne 310 мл (2024AF06),,80,1,https://comfy.ua/salatnik-duralex-gigogne-310-ml-2024af06.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1649770276,,,,,2817311,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Sigma mobile,sigma-mobile,Мобільний телефон Sigma mobile X-style 34 NRG TYPE-C Blue,,975,1,https://comfy.ua/mobil-nyj-telefon-sigma-mobile-x-style-34-nrg-type-c-blue.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1649770277,6950179,MAXCOM,Мобильный телефон MAXCOM MM814 Type-C Black,1119,2817121,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Maxcom,maxcom,Мобільний телефон Maxcom MM814 Type-C Black,,1120,1,https://comfy.ua/mobil-nyj-telefon-maxcom-mm814-type-c-black.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1649770278,6950180,MAXCOM,Мобильный телефон MAXCOM MM814 Type-C Green,1119,2817122,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Maxcom,maxcom,Мобільний телефон Maxcom MM814 Type-C Green,,1120,1,https://comfy.ua/mobil-nyj-telefon-maxcom-mm814-type-c-green.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1649770279,6950181,MAXCOM,Мобильный телефон MAXCOM MM814 Type-C White,949,2817123,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Maxcom,maxcom,Мобільний телефон Maxcom MM814 Type-C White,,949,1,https://comfy.ua/mobil-nyj-telefon-maxcom-mm814-type-c-white.html,1119,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1649770280,6950182,MAXCOM,Мобильный телефон MAXCOM MM814 Type-C Blue,963,2817124,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Maxcom,maxcom,Мобільний телефон Maxcom MM814 Type-C Blue,,965,1,https://comfy.ua/mobil-nyj-telefon-maxcom-mm814-type-c-blue.html,1119,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1649770281,6906380,ERGO,Мобильный телефон ERGO E282 Dual Sim Black,1149,2819117,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Ergo,ergo,Мобільний телефон Ergo E282 Dual Sim Black,,1049,1,https://comfy.ua/mobil-nyj-telefon-ergo-e282-dual-sim-black.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,1
1649770282,6950183,ULEFONE,Мобильный телефон ULEFONE Armor MINI 3 Dual Sim Black (6937748735960),1999,2817120,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Ulefone,ulefone,Мобільний телефон Ulefone Armor Mini 3 IP68 Black,,1999,1,https://comfy.ua/mobil-nyj-telefon-ulefone-armor-mini-3-ip68-black.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1649771162,,,,,2808622,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hp,Веб-камера для комп'ютера HP 620 FHD (6Y7L2AA),,6699,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-hp-620-fhd-6y7l2aa.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
