994056754,column,column,column,column,1615020,outlet,ardesto,____ardesto_ycme1600_,column,2339,1,httpscomfyuakofevarkarozhkovajaardestoycme1600ucenka11html,2519,05112025_2055,column,__42,Фастів,0
994056754,,,,,1615020,OUTLET,ardesto,Уцінка - Кавоварка ріжкова Ardesto YCM-E1600 #,,2339,1,https://comfy.ua/kofevarka-rozhkovaja-ardesto-ycm-e1600-ucenka-1-1.html,2519,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
994058258,6721673,SNAIGE,Холодильник витрина SNAIGE CD14SM-S3003C,15499,1832060,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Snaige,snaige,Холодильник Snaige CD14SM-S3003C,,14299,1,https://comfy.ua/holodil-nik-snaige-cd14sm-s3003c.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
994494984,,,,,.1846465,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для лазерних принтерів/БФП PrintPro Canon 051H (PP-C051X),,1139,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-printpro-canon-051h-pp-c051x.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
994543283,6790028,KINGSTON,Флеш-драйв Kingston DataTraveler Max 256GB (DTMAX/256GB),1589,1848567,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Kingston",kingston,Флеш USB Kingston 256GB USB3.2 Gen 2 DataTraveler Max (DTMAX/256GB),,1589,1,https://comfy.ua/karta-pamjati-kingston-256gb-usb3-2-gen-2-datatraveler-max-dtmax-256gb.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
994543284,6806809,KINGSTON,Флеш-драйв Kingston DataTraveler Max 1TB USB 3.2 Gen 2 Type-C Black (DTMAX/1TB),4989,1848568,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Kingston",kingston,Флеш USB Kingston 1 TB USB3.2 Gen 2 DataTraveler Max ( DTMAX/1TB),,4989,1,https://comfy.ua/flesh-usb-kingston-1-tb-usb3-2-gen-2-datatraveler-max-dtmax-1tb.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
994618586,,,,,1848733,Техника для кухни >> Крупная техника,hansa,Плита газова Hansa FCMX58259,,17699,1,https://comfy.ua/catalog/product/view/id/2880033,17899,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
994779782,6811074,HANSA,Плита комбинированная HANSA FCMX58259,17699,1848733,Техника для кухни >> Крупная техника >> Плиты >> Плиты Hansa,hansa,Плита газова Hansa FCMX58259,,17699,1,https://comfy.ua/plita-gazovaja-hansa-fcmx58259.html,17899,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
994779819,6736847,LOGITECH,Гарнитура LOGITECH G435 LIGHTSPEED Wireless Gaming WHITE (981-001074),4699,1848089,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура бездротова ігрова Logitech G435 White (981-001074),,4699,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-logitech-g435-white-981-001074.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
994779820,6736846,LOGITECH,Гарнитура LOGITECH G435 LIGHTSPEED Wireless Gaming BLUE (981-001062),4699,1848108,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура бездротова ігрова Logitech G435 Blue (981-001062),,4699,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-logitech-g435-blue-981-001062.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
994779821,6736845,LOGITECH,Гарнитура LOGITECH G435 LIGHTSPEED Wireless Gaming BLACK (981-001050),4699,1848092,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура бездротова ігрова Logitech G435 Black (981-001050),,4699,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-logitech-g435-black-981-001050.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,2
994779827,6736186,PHILIPS,Утюг PHILIPS DST3030/70,1999,1849604,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Праска Philips DST3030/70,,1999,1,https://comfy.ua/utjug-philips-dst3030-70.html,2499,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
994779833,6736793,PHILIPS,Утюг PHILIPS DST3010/30,1699,1849602,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Праска Philips DST3010/30,,1699,1,https://comfy.ua/utjug-philips-dst3010-30.html,2099,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
