1669615974,column,column,column,column,2855242,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",foneng,___foneng_x75_usbc__lightning_1_white_x75catcip,column,135,1,httpscomfyuakabelsinhronizaciidannyhfonengx75usbclightning1mwhitex75catciphtml,column,05112025_2218,column,__42,Фастів,0
1669730187,6983812,GORENJE,Холодильник GORENJE RK416EPS4 HZS24862,14399,2945234,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Gorenje,gorenje,Холодильник Gorenje RK416EPS4,,13999,1,https://comfy.ua/holodil-nik-gorenje-rk416eps4.html,16499,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1669731044,6924604,HISENSE,Холодильник HISENSE RB440N4AFE (BCD-331W),23499,2945240,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Hisense,hisense,Холодильник Hisense RB440N4AFE,,23499,1,https://comfy.ua/holodil-nik-hisense-rb440n4afe.html,28199,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1669733315,,,,,2908216,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Samsung,samsung,Мережевий зарядний пристрій Samsung 15W Power Adapter w/o Cable Black  (EP-T1510NBEGEU),,549,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-samsung-15w-power-adapter-w-o-cable-black-ep-t1510nbegeu.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,4
1669733316,,,,,2908217,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Samsung,samsung,Мережевий зарядний пристрій Samsung 15W Power Adapter w/o Cable White  (EP-T1510NWEGEU),,549,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-samsung-15w-power-adapter-w-o-cable-white-ep-t1510nwegeu.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,3
1669733387,,,,,2908214,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Samsung,samsung,Мережевий зарядний пристрій Samsung 15W Power Adapter with Type-C to Type-C cable Black  (EP-T1510XBEGEU),,749,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-samsung-15w-power-adapter-with-type-c-to-type-c-cable-black-ep-t1510xbegeu.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1669733388,,,,,2908215,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Samsung,samsung,Мережевий зарядний пристрій Samsung 15W Power Adapter with Type-C to Type-C cable White  (EP-T1510XWEGEU),,749,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-samsung-15w-power-adapter-with-type-c-to-type-c-cable-white-ep-t1510xwegeu.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1669740408,7031027,BABYONO,Подвеска BABYONO Ленивец Лион Маленькие друзья (1442),759,2884185,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку BabyOno,babyono,Підвіска BabyOno Лінивець Ліон Маленькі друзі (1442),,825,1,https://comfy.ua/podveska-babyono-linivec-lion-malen-kie-druz-ja-1442.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1669740415,7031028,BABYONO,"""Игрушка-подвеска BABYONO ленивец Ленни """"Маленькие друзья"""" (1465)""",479,2884186,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку BabyOno,babyono,Підвіска BabyOno Лінивець Ленні Маленькі друзі (1465),,489,1,https://comfy.ua/podveska-babyono-lenivec-lenni-malen-kie-druz-ja-1465.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1669740451,,,,,2888861,Comfy KIDS >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку BabyOno,babyono,Брязкальце BabyOno Обіймашка Маленька пташка (1537),,315,1,https://comfy.ua/pogremushka-babyono-obnimashka-malen-kaja-ptichka-1537.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1669740485,,,,,2888850,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку BabyOno,babyono,Брязкальце BabyOno з пищалкою Мавпеня Георгій (619),,329,1,https://comfy.ua/pogremushka-babyono-s-pischalkoj-obez-janja-georgij-619.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
