819499291,column,column,column,column,1778357,________________eurogold,eurogold,__eurogold_johnny_11030_18030l,column,859,1,httpscomfyuagladilnajadoskaeurogoldjohnny110h30sm18030lhtml,1019,05112025_1944,column,__42,Фастів,2
819499291,,,,,1778357,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Eurogold",eurogold,"Прасувальна дошка Eurogold JOHNNY 110х30см, 18030L",,859,1,https://comfy.ua/gladil-naja-doska-eurogold-johnny-110h30sm-18030l.html,1019,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,2
819499461,6703098,ELECTROLUX,Вытяжка ELECTROLUX LFG516X,12599,1788802,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Electrolux,electrolux,Витяжка вбудована Electrolux LFG516X,,12599,1,https://comfy.ua/vytjazhka-vstraivaemaja-electrolux-lfg516x.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
819525705,,,,,1790181,Comfy KIDS >> Игрушки для малышей >> Игровые центры >> Игровые центры Janod,janod,Ігровий центр для малюка Janod Луг (J05327),,2899,1,https://comfy.ua/igrovoj-centr-dlja-malysha-janod-lug-j05327.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
819525706,,,,,1790182,Детские товары >> Игрушки,janod,Коляска для ляльки і пупса Janod Candy Chic (J05886),,3899,1,https://comfy.ua/koljaska-progulochnaja-dlja-kukly-i-pupsa-janod-candy-chic-j05886.html,,05.11.2025 23:40,,"вул. Соборна, 42",Фастів,0
819555525,6706152,TP-LINK,Маршрутизатор TP-LINK Omada ER605,2499,1783346,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор інтернет LAN TP-Link ER605 1xGE LAN 1xGE WAN 3xGE LAN VPN,,2499,1,https://comfy.ua/marshrutizator-internet-lan-tp-link-er605-1xge-lan-1xge-wan-3xge-lan-vpn.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
819555526,6706153,TP-LINK,Wi-Fi роутер TP-LINK Omada ER7206,4599,1783347,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор VPN TP-Link ER7206 2xGE LAN 1xGE WAN 2xGE LAN 1xSFP Omada,,4599,1,https://comfy.ua/marshrutizator-vpn-tp-link-er7206-2xge-lan-1xge-wan-2xge-lan-1xsfp-omada.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
819606821,,,,,1786301,Бытовая химия >> Средства для посудомоечных машин,finish,Таблетка для посудомийної машини Finish CLASSIC 32таб,,339,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-finish-classic-32tab.html,659,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
819620824,,,,,.1789684,"Аудио, фото и видео >> Акустика",jbl,Акустична система JBL ONE COMPACT-EK,,29999,1,https://comfy.ua/akusticheskaja-sistema-jbl-one-compact-ek.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
819628448,,,,,1790119,Техника для дома >> Мелкая техника,gorenje,Праска Gorenje SIH 2200 TQC (SG-5518),,1099,1,https://comfy.ua/catalog/product/view/id/2276843,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
819655405,6804181,JBL,Гарнитура JBL LIVE 460NC Blue (JBLLIVE460NCBLU),2999,1775710,"Аудио, фото и видео >> Наушники",jbl,Навушники накладні бездротові JBL Live 460NC Blue (JBLLIVE460NCBLU),,4499,1,https://comfy.ua/naushniki-nakladnye-besprovodnye-jbl-live-460nc-blue-jbllive460ncblu.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
819707405,,,,,1632437,"Аудио, фото и видео >> Аксессуары для аудио",makefuture,Чохол для навушників MakeFuture Apple AirPods 1/2 Silicone Black (MCL-AA1/2BK),,249,1,https://comfy.ua/chehol-dlja-naushnikov-makefuture-apple-airpods-1-2-silicone-black-mcl-aa1-2bk.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
