800263585,column,column,column,column,1760531,__________eco_by_naty,ecobynaty,__eco_by_naty___1_25__25__178358,column,728,1,httpscomfyuaodnorazovyepodguznikiecobynatyorganicheskierazmer125kg25sht178358html,column,05112025_2038,column,__42,Фастів,0
800751266,6663945,LEXAR,SSD накопитель LEXAR 128GB NS100 2.5” SATA (LNS100-128RB),2455,1757980,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Lexar",lexar,SSD-накопичувач внутрішній Lexar 2.5'' 128GB NS100 (LNS100-128RB),,639,1,https://comfy.ua/ssd-nakopitel-vnutrennij-lexar-2-5-128gb-ns100-lns100-128rb.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
800764869,7162961,EUROPOWER,Стабилизатор напряжения EUROPOWER SLIM-1000SBR LED 1000VA 700W,2080,1760562,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения Europower",europower,Стабілізатор напруги Europower SLIM-1000SBR LED,,2165,1,https://comfy.ua/stabilizator-naprjazhenija-europower-slim-1000sbr-led.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
800764871,7162963,EUROPOWER,Стабилизатор напряжения EUROPOWER SLIM-5000SBR LED,4390,1760564,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения Europower",europower,Стабілізатор напруги Europower SLIM-5000SBR LED,,4560,1,https://comfy.ua/stabilizator-naprjazhenija-europower-slim-5000sbr-led.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
800781005,6702872,PHILIPS AVENT,"""Набор пустышек AVENT Ultra Air """"I love…"""" 2 шт (SCF080/04)""",303,1762259,Детские товары >> Кормление,philips,"Ортодонтична пустушка Philips Avent для дівчаток I love ..., 6-18 міс. (SCF080/04)",,322,1,https://comfy.ua/catalog/product/view/id/2032943,379,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
800781011,6702876,PHILIPS AVENT,Пустышка Philips AVENT Ultra Air Animal для девочек 6-18 мес 2 шт (SCF080/08),379,1762257,Детские товары >> Кормление,philips,"Ортодонтична пустушка Philips Avent для дівчаток Animal, 6-18 міс. (SCF080/08)",,325,1,https://comfy.ua/catalog/product/view/id/2032803,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
800840474,6702874,PHILIPS AVENT,Набор пустышек AVENT Ultra Air Animal 2 шт (SCF080/06),303,1762265,Детские товары >> Кормление,philips,"Ортодонтична пустушка Philips Avent для дівчаток Animal, 0-6 міс. (SCF080/06)",,322,1,https://comfy.ua/catalog/product/view/id/2033183,379,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
800977329,,,,,1749513,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша BabyOno",babyono,"Набір дитячого манікюрного приладдя BabyOno пилка, ножиці, щипчики, рожевий (398/02)",,339,1,https://comfy.ua/nabor-detskih-manikjurnyh-prinadlezhnostej-babyono-pilochka-nozhnicy-schipchiki-rozovyj-398-02.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
800981198,6602650,PHILIPS,Фильтр для очистителя воздуха PHILIPS FY3433/10,2799,1665283,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Philips,philips,Фільтр до зволожувача повітря Philips FY3433/10,,2799,1,https://comfy.ua/fil-tr-dlja-uvlazhnitelja-vozduha-philips-fy3433-10.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
"""""Швидкісні гонки"""" (515 Ел.) Автосервіс (8630)""",,925,1,https://comfy.ua/plastikovyj-konstruktor-banbao-skorostnye-gonki-515-jel-avtoservis-8630.html,,06.11.2025 0:46,,"вул. Соборна, 42",Фастів,0,,,,,,,,
801080017,6702874,PHILIPS AVENT,Набор пустышек AVENT Ultra Air Animal 2 шт (SCF080/06),303,1762265,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Philips,philips,"Ортодонтична пустушка Philips Avent для дівчаток Animal, 0-6 міс. (SCF080/06)",,322,1,https://comfy.ua/ortodonticheskaja-pustyshka-philips-avent-dlja-devochek-animal-0-6-mes-scf080-06.html,379,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
801080020,,,,,1760999,Детские товары >> Игрушки >> Конструкторы >> Конструкторы BanBao,banbao,"""Пластиковий конструктор Banbao",,,,,,,,,,
801080021,6702873,PHILIPS AVENT,Набор пустышек AVENT Ultra Air Animal 2 шт (SCF080/05),303,1762262,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Philips,philips,"Ортодонтична пустушка Philips Avent для хлопчиків Animal, 0-6 міс. (SCF080/05)",,322,1,https://comfy.ua/ortodonticheskaja-pustyshka-philips-avent-dlja-mal-chikov-animal-0-6-mes-scf080-05.html,379,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
801080027,6702870,PHILIPS AVENT,"""Набор пустышек AVENT Ultra Air """"I love…"""" 2 шт (SCF080/02)""",303,1762258,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Philips,philips,"Ортодонтична пустушка Philips Avent для дівчаток I love ..., 0-6 міс. (SCF080/02)",,325,1,https://comfy.ua/ortodonticheskaja-pustyshka-philips-avent-dlja-devochek-i-love-0-6-mes-scf080-02.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
801080030,6702876,PHILIPS AVENT,Пустышка Philips AVENT Ultra Air Animal для девочек 6-18 мес 2 шт (SCF080/08),379,1762257,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Philips,philips,"Ортодонтична пустушка Philips Avent для дівчаток Animal, 6-18 міс. (SCF080/08)",,325,1,https://comfy.ua/ortodonticheskaja-pustyshka-philips-avent-dlja-devochek-animal-6-18-mes-scf080-08.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
801080065,6667148,WILLER,Бойлер WILLER EV50DR Grand-SP-black-sky,13799,1754931,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Willer,willer,Водонагрівач Willer EV50DR Grand-SP-black-sky,,13799,1,https://comfy.ua/vodonagrevatel-willer-ev50dr-grand-sp-black-sky.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
801080067,6667128,WILLER,Бойлер WILLER IV100DR Brig,14999,1754926,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Willer,willer,Водонагрівач Willer IV100DR Brig,,14999,1,https://comfy.ua/vodonagrevatel-willer-iv100dr-brig.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
801088368,,,,,1752954,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",asus,Килимок для миші ігровий Asus ROG Sheath Box Black (90MP00K1-B0UC00),,1499,1,https://comfy.ua/catalog/product/view/id/1978043,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
801135722,6377550,PHILIPS,Соковыжималка PHILIPS HR1855/70,4999,1749574,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки Philips,philips,Соковитискач відцентровий Philips HR1855/70,,5599,1,https://comfy.ua/sokovyzhimalka-centrobezhnaja-philips-hr1855-70.html,6699,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
801136039,,,,,1760541,"Детские товары >> Уход, купание и гигиена",eco-by-naty,Піна для ванни дитяча Eco By Naty Органическая 200 мл (245586),,345,1,https://comfy.ua/catalog/product/view/id/2039193,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
