1654929001,column,column,column,column,2832826,Бытовая химия >> Для кухни и мытья посуды,helper,_____helper___495_,column,26,1,httpscomfyuasredstvodljaruchnogomytjaposudyhelperaromatnoejabloko495mlhtml,39,05112025_1923,column,__42,Фастів,0
1654928821,,,,,.2840761,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Точка доступу Aruba R9B28A,,12019,1,https://comfy.ua/tochka-dostupa-aruba-r9b28a.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1654929001,,,,,2832826,Бытовая химия >> Для кухни и мытья посуды,helper,Засіб для ручного миття посуду Helper Ароматне яблуко 495 мл,,26,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-helper-aromatnoe-jabloko-495-ml.html,39,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1654930196,7078214,DIGITUS,Док-станция DIGITUS USB-C 5-port Travel Dock (DA-70891),2461,2822437,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Digitus",digitus,Хаб USB Digitus USB-C > HDMI/2xUSB-A/SD/MicroSD (DA-70891),,2235,1,https://comfy.ua/hab-usb-digitus-usb-c-hdmi-2xusb-a-sd-microsd-da-70891.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1654930304,,,,,.2854184,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Маршрутизатор інтернет WiFi6 Ruijie RG-EW3000GX PRO,,3999,1,https://comfy.ua/marshrutizator-internet-wifi6-ruijie-rg-ew3000gx-pro.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1654930305,,,,,.2410223,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Маршрутизатор інтернет WiFi5 Ruijie RG-EG105GW (T),,6379,1,https://comfy.ua/marshrutizator-internet-wifi5-ruijie-rg-eg105gw-t.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1654930306,6889363,СІМЕЙКА БУЛЬ-БУЛЬ,Средство для мытья посуды СІМЕЙКА БУЛЬ-БУЛЬ с витамином Е 500 мл пушпул (4820183971869),49,2832829,Бытовая химия >> Для кухни и мытья посуды,simejka-bul-bul,"Засіб для ручного миття посуду Сімейка Буль-Буль д/дит посуду та іграшок, пушпул 500 мл",,27,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-simejka-bul-bul-d-det-posudy-i-igrushek-pushpul-500-ml.html,58,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1654930310,6919602,BALANCE,Средство для мытья посуды BALANCE 450 мл (5351647),109,2832832,Бытовая химия >> Для кухни и мытья посуды,balance,Засіб для ручного миття посуду BALANCE 450 мл,,80,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-balance-450-ml.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1654931010,,,,,2822320,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель патч-корд Digitus CAT 6a S-FTP 1m (DK-1644-A-010/Y),,109,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6a-s-ftp-1m-dk-1644-a-010-y.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1654931957,,,,,2815126,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hator,Кабель 3.5 мм -3.5 мм Hator 0.2м x2х3.5мм female to 3.5mm male Black (ACC-214),,119,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-hator-0-2m-x2h3-5mm-female-to-3-5mm-male-black-acc-214.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1654931958,,,,,2815125,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hator,Кабель 3.5 мм -3.5 мм Hator 1.0м х3.5мм male-male Black (ACC-211),,129,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-hator-1-0m-h3-5mm-male-male-black-acc-211.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1654932019,,,,,2815647,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",skydolphin,Кабель 3.5 мм -3.5 мм SkyDolphin SR15 3.5 мм - 3.5 мм (M/M) 2 м Black (AUX-000070),,189,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-skydolphin-sr15-3-5-mm-3-5-mm-m-m-2-m-black-aux-000070.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1654934358,,,,,2818608,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Sunset 100W USB charging&data cable Type-C to Type-C 0.5m Black (EXCTT1-CGB01),,179,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-sunset-100w-usb-charging-data-cable-type-c-to-type-c-0-5m-black-exctt1-cgb01.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1654934415,,,,,.2818607,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Sunset Type-C to Lightning 20W USB Charging Cable 0.5m Black (EXCTL-CGB01),,179,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-sunset-type-c-to-lightning-20w-usb-charging-cable-0-5m-black-exctl-cgb01.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
