1643315103,column,column,column,column,2553366,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_tecno_spark_10_pro_ki7_arm67786,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartfortecnospark10proki7arm67786html,column,05112025_2038,column,__42,Фастів,0
1643315446,,,,,.2569563,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Redmi Note 12 Pro / 12 Pro+ (ARM65179),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-redmi-note-12-pro-12-pro-arm65179.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1643315448,,,,,.2569572,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Oscal C20 Pro (ARM65276),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-oscal-c20-pro-arm65276.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1643315449,,,,,.2569564,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Redmi Note 12 / Poco X5 5G (ARM65180),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-redmi-note-12-poco-x5-5g-arm65180.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1643315450,,,,,.2569573,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Oscal C60 (ARM65277),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-oscal-c60-arm65277.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1643315452,,,,,.2569553,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for TECNO Camon 19 Neo (CH6i) (ARM62174),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-tecno-camon-19-neo-ch6i-arm62174.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1643315459,,,,,.2553029,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Vivo Y51 (ARM61156),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-vivo-y51-arm61156.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1643315468,,,,,.2591788,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Tecno Pova 5 (ARM68944),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-tecno-pova-5-arm68944.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1643315474,,,,,.2580152,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Infinix Note 12 4G (X663D) (ARM64594),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-infinix-note-12-4g-x663d-arm64594.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1643316231,,,,,.2272414,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21731,,45335,1,https://comfy.ua/sistemnyj-blok-qbox-i21731.html,52109,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316232,,,,,.2272415,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21732,,45657,1,https://comfy.ua/sistemnyj-blok-qbox-i21732.html,52479,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316233,,,,,.2272416,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21733,,45979,1,https://comfy.ua/sistemnyj-blok-qbox-i21733.html,52849,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1643316234,,,,,.2272417,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21734,,46301,1,https://comfy.ua/sistemnyj-blok-qbox-i21734.html,53219,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316235,,,,,.2272418,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21735,,47727,1,https://comfy.ua/sistemnyj-blok-qbox-i21735.html,54859,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1643316236,,,,,.2272419,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21736,,43351,1,https://comfy.ua/sistemnyj-blok-qbox-i21736.html,49829,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316237,,,,,.2272420,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21737,,43995,1,https://comfy.ua/sistemnyj-blok-qbox-i21737.html,50569,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1643316238,,,,,.2272421,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21738,,45378,1,https://comfy.ua/sistemnyj-blok-qbox-i21738.html,52159,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316239,,,,,.2272424,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21741,,46066,1,https://comfy.ua/sistemnyj-blok-qbox-i21741.html,52949,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316240,,,,,.2272425,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21742,,46440,1,https://comfy.ua/sistemnyj-blok-qbox-i21742.html,53379,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316241,,,,,.2272426,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21743,,46718,1,https://comfy.ua/sistemnyj-blok-qbox-i21743.html,53699,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316242,,,,,.2272427,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21744,,47084,1,https://comfy.ua/sistemnyj-blok-qbox-i21744.html,54119,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316310,,,,,.2272428,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21745,,48467,1,https://comfy.ua/sistemnyj-blok-qbox-i21745.html,55709,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316311,,,,,.2272429,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21746,,41141,1,https://comfy.ua/sistemnyj-blok-qbox-i21746.html,47289,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1643316312,,,,,.2272430,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21747,,41794,1,https://comfy.ua/sistemnyj-blok-qbox-i21747.html,48039,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316313,,,,,.2272431,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21748,,43169,1,https://comfy.ua/sistemnyj-blok-qbox-i21748.html,49619,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1643316314,,,,,.2272432,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21749,,42803,1,https://comfy.ua/sistemnyj-blok-qbox-i21749.html,49199,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643316315,,,,,.2272433,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21750,,43169,1,https://comfy.ua/sistemnyj-blok-qbox-i21750.html,49619,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1643316316,,,,,.2272434,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21751,,43865,1,https://comfy.ua/sistemnyj-blok-qbox-i21751.html,50419,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1643316317,,,,,.2272436,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21752,,44186,1,https://comfy.ua/sistemnyj-blok-qbox-i21752.html,50789,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1643316318,,,,,.2272437,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21753,,44508,1,https://comfy.ua/sistemnyj-blok-qbox-i21753.html,51159,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1643316319,,,,,.2272438,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21754,,44830,1,https://comfy.ua/sistemnyj-blok-qbox-i21754.html,51529,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1643316320,,,,,.2272439,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21755,,46205,1,https://comfy.ua/sistemnyj-blok-qbox-i21755.html,53109,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1643316321,,,,,.2272440,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21756,,41881,1,https://comfy.ua/sistemnyj-blok-qbox-i21756.html,48139,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1643316322,,,,,.2272441,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21757,,42525,1,https://comfy.ua/sistemnyj-blok-qbox-i21757.html,48879,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1643316323,,,,,.2272442,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21758,,43908,1,https://comfy.ua/sistemnyj-blok-qbox-i21758.html,50469,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1643316324,,,,,.2272443,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21759,,43543,1,https://comfy.ua/sistemnyj-blok-qbox-i21759.html,50049,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1643316325,,,,,.2272444,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21760,,43908,1,https://comfy.ua/sistemnyj-blok-qbox-i21760.html,50469,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1643316326,,,,,.2272445,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I21761,,44595,1,https://comfy.ua/sistemnyj-blok-qbox-i21761.html,51259,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
