1648318417,,,,,2784306,Техника для дома >> Аксессуары к мелкой технике,slon,Мішок для пилососа одноразовий Слон L-07 C-III,,185,1,https://comfy.ua/meshok-dlja-pylesosa-slon-l-07-c-iii.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1648318419,,,,,2784305,Техника для дома >> Аксессуары к мелкой технике,slon,Мішок для пилососа одноразовий Слон L-02 C-III,,185,1,https://comfy.ua/meshok-dlja-pylesosa-slon-l-02-c-iii.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1648318886,,,,,.2786174,Техника для дома >> Аксессуары к мелкой технике,zelmer,Набір мішків багаторазових для пилососа Zelmer ZVCA200BP,,389,1,https://comfy.ua/nabor-meshkov-mnogorazovyh-dlja-pylesosa-zelmer-zvca200bp.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1648321109,,,,,.2812855,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,"""Рюкзак для ноутбуку Trust Lisboa 16"""" Blue (25124)""",,1899,1,https://comfy.ua/rjukzak-dlja-noutbuka-trust-lisboa-16-blue-25124.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1648346064,,,,,2763644,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка декоративна ELEYUS KREON 1200 LED 60 IS+BL,,14419,1,https://comfy.ua/vytjazhka-dekorativnaja-eleyus-kreon-1200-led-60-is-bl.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1648443584,6947899,ARDESTO,Мультимейкер ARDESTO SM-H500B,1449,2808643,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Ardesto,ardesto,Бутербродниця Ardesto SM-H500B,,1449,1,https://comfy.ua/buterbrodnica-ardesto-sm-h500b.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1648469266,6947591,BOSCH,Электрочайник BOSCH TWK2M161,1399,2806333,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Bosch,bosch,Електричний чайник Bosch TWK2M161,,1399,1,https://comfy.ua/jelektricheskij-chajnik-bosch-twk2m161.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,1
1648475042,6948136,OPPO,"""Планшет OPPO Pad Neo 11"""" 8/128 LTE Space Grey (OPD2303 )""",11999,2815725,"Ноутбуки, планшеты и компьютерная техника >> Планшеты >> Планшеты все >> Планшеты все OPPO",oppo,Планшет OPPO Pad Neo 11.4'' LTE 8/128GB (OPD2303) Space Grey,,11999,1,https://comfy.ua/planshet-oppo-pad-neo-11-4-lte-8-128gb-opd2303-space-grey.html,14999,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1648479448,,,,,.2789173,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design Meshify 2 Lite Black TG Light (FD-C-MEL2A-03),,7999,1,https://comfy.ua/korpus-fractal-design-meshify-2-lite-black-tg-light-fd-c-mel2a-03.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1648479455,,,,,.2789179,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design Ridge Black mITX PCIe 4.0 (FD-C-RID1N-11),,7999,1,https://comfy.ua/korpus-fractal-design-ridge-black-mitx-pcie-4-0-fd-c-rid1n-11.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1648480990,,,,,.2789177,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design North Charcoal Black TG Dark (FD-C-NOR1C-02),,8809,1,https://comfy.ua/korpus-fractal-design-north-charcoal-black-tg-dark-fd-c-nor1c-02.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1648513801,,,,,.2809958,Техника для дома >> Аксессуары к мелкой технике,zanussi,Фільтр для пилососа Zanussi ZF9001,,99,1,https://comfy.ua/fil-tr-dlja-pylesosa-zanussi-zf9001.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1648515050,6948400,XTRIKE ME,Клавиатура XTRIKE ME KB-229 UA Black (KB-229UA),159,2811634,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xtrike-me,Клавіатура дротова XTRIKE ME KB-229UA,,159,1,https://comfy.ua/klaviatura-provodnaja-xtrike-me-kb-229ua.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1648515676,6947534,XIAOMI,Монитор XIAOMI Gaming G27i (ELA5375EU),6299,2812825,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Xiaomi",xiaomi,Монітор ігровий Xiaomi Monitor G27i (ELA5375EU),,6199,1,https://comfy.ua/monitor-igrovoj-xiaomi-monitor-g27i-ela5375eu.html,6499,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1648519771,6948311,DELL,Монитор DELL UltraSharp U2424HE (210-BKJF),12144,2811693,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Dell",dell,Монітор ігровий Dell U2424HE (210-BKJF),,12305,1,https://comfy.ua/monitor-igrovoj-dell-u2424he-210-bkjf.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1648520012,,,,,2814738,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров UniBracket,unibracket,Кріплення для телевізора UniBracket BZ31-46,,1349,1,https://comfy.ua/kreplenie-dlja-televizora-unibracket-bz31-46.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1648520100,6948401,XTRIKE ME,Клавиатура XTRIKE ME KB-306 UA Black (KB-306UA),439,2811635,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xtrike-me,Клавіатура дротова ігрова XTRIKE ME KB-306UA,,439,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-xtrike-me-kb-306ua.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1648520102,6948407,XTRIKE ME,Комплект XTRIKE ME MK-307UA черный,459,2811632,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры XTRIKE ME",xtrike-me,Клавіатура + миша бездротова XTRIKE ME MK-307UA,,365,1,https://comfy.ua/klaviatura-mysh-besprovodnaja-xtrike-me-mk-307ua.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1648524611,6948408,XTRIKE ME,Комплект XTRIKE ME MK-208WUA Black,1099,2811633,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры XTRIKE ME",xtrike-me,Клавіатура + миша бездротова XTRIKE ME MK-208WUA,,649,1,https://comfy.ua/klaviatura-mysh-besprovodnaja-xtrike-me-mk-208wua.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1648524612,6948403,XTRIKE ME,Клавиатура XTRIKE ME GK-981 UA Black (GK-981UA),1199,2811639,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры XTRIKE ME",xtrike-me,Клавіатура дротова ігрова XTRIKE ME GK-981UA,,1099,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-xtrike-me-gk-981ua.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
