1643369820,column,column,column,column,2561485,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_antispy_for_samsung_s23_ultra_arm66558,column,349,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartantispyforsamsungs23ultraarm66558html,column,05112025_1956,column,__42,Фастів,0
1643369945,,,,,.2760827,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon 3D for Apple iPhone 14 / 13 / 13 Pro Black (ARM61971),,549,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-3d-for-apple-iphone-14-13-13-pro-black-arm61971.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1643369946,,,,,2567385,Смартфоны и телефоны >> Аксессуары для смартфонов,ilera,Захисне скло для смартфону ILera Deluxe Frosted Silk Glass for iPhone 14 Pro Max (iLDFR14PrMx),,1199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-deluxe-frosted-silk-glass-for-iphone-14-pro-max-ildfr14prmx.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1643369950,,,,,2702989,Смартфоны и телефоны >> Аксессуары для смартфонов >> Защитные пленки и стекла >> Защитные пленки и стекла ILera,ilera,Захисне скло для смартфону ILera DeLuxe FullCover Glass for iPhone 15 Plus (iLFCDL15Ps),,1199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-deluxe-fullcover-glass-for-iphone-15-plus-ilfcdl15ps.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1643370066,,,,,.2616746,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Space Black Icon for Apple iPhone 15 Black (ARM68225),,799,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-space-black-icon-for-apple-iphone-15-black-arm68225.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1643370069,,,,,2760843,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Space Black Icon for Apple iPhone 14/13/13 Pro with cutout (ARM67729),,799,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-space-black-icon-for-apple-iphone-14-13-13-pro-with-cutout-arm67729.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1643370071,,,,,2759059,Смартфоны и телефоны >> Аксессуары для смартфонов,ilera,Захисне скло для смартфону ILera Full Cover 2.5D Eclat iPhone Xr/11 Black (EclGl111XrBl),,499,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-full-cover-2-5d-eclat-iphone-xr-11-black-eclgl111xrbl.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1643370072,,,,,2623105,Смартфоны и телефоны >> Аксессуары для смартфонов,ilera,Захисне скло для смартфону ILera 2.75 Infinity Glass for iPhone 14 Plus/13 Pro Max (iL275in14Pl),,799,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-2-75-infinity-glass-for-iphone-14-plus-13-pro-max-il275in14pl.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1643370073,,,,,2759060,Смартфоны и телефоны >> Аксессуары для смартфонов >> Защитные пленки и стекла >> Защитные пленки и стекла ILera,ilera,Захисне скло для смартфону ILera Infinity Full Cover Glass iPhone 15 (iLFCDL15),,1199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-infinity-full-cover-glass-iphone-15-ilfcdl15.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1643370074,,,,,2759061,Смартфоны и телефоны >> Аксессуары для смартфонов >> Защитные пленки и стекла >> Защитные пленки и стекла ILera,ilera,Захисне скло для смартфону ILera Infinity Full Cover Glass iPhone 15 Pro (iLFCDL15Pr),,1199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-infinity-full-cover-glass-iphone-15-pro-ilfcdl15pr.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,1
1643370076,,,,,.2677147,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Supreme Black Icon 3D forApple iPhone 15 Plus Black (ARM68222),,799,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-supreme-black-icon-3d-forapple-iphone-15-plus-black-arm68222.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1643370078,,,,,.2760848,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Supreme Black Icon 2.5D for Apple iPhone 14/13/13 Pro (ARM69293),,1099,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-supreme-black-icon-2-5d-for-apple-iphone-14-13-13-pro-arm69293.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1643370080,,,,,2723706,Смартфоны и телефоны >> Аксессуары для смартфонов >> Защитные пленки и стекла >> Защитные пленки и стекла ILera,ilera,Захисне скло для смартфону ILera DeLuxe FullCover Glass iPhone 15 Pro Max (iLFCDL15PrMx),,1199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-deluxe-fullcover-glass-iphone-15-pro-max-ilfcdl15prmx.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1643370081,,,,,2664852,Смартфоны и телефоны >> Аксессуары для смартфонов >> Защитные пленки и стекла >> Защитные пленки и стекла ILera,ilera,Захисне скло для смартфону ILera Deluxe Frosted Glass for iPhone 15 Pro (iLFrDL15Pr),,1399,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-deluxe-frosted-glass-for-iphone-15-pro-ilfrdl15pr.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1643370155,,,,,.2510191,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфона Armorstandart Supreme Plus Black Icon for Apple iPhone 13 (ARM68073),,1199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-supreme-plus-black-icon-for-apple-iphone-13-arm68073.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1643370156,,,,,.2510206,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Supreme Plus Black Icon for Apple iPhone 14 (ARM68071),,1199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-supreme-plus-black-icon-for-apple-iphone-14-arm68071.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1643370157,,,,,2685060,Смартфоны и телефоны >> Аксессуары для смартфонов >> Защитные пленки и стекла >> Защитные пленки и стекла ILera,ilera,Захисне скло для смартфону ILera Sapphire Ultra + Glass for iPhone 15 Pro (iLSPDL+15Pr),,1699,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-sapphire-ultra-glass-for-iphone-15-pro-ilspdl-15pr.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1643370158,,,,,2710527,Смартфоны и телефоны >> Аксессуары для смартфонов >> Защитные пленки и стекла >> Защитные пленки и стекла ILera,ilera,Захисне скло для смартфону ILera Sapphire Ultra + Glass for iPhone 15 (iLSPDL+15),,1799,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-sapphire-ultra-glass-for-iphone-15-ilspdl-15.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
