1030165800,column,column,column,column,1865337,Детские товары >> Игрушки,aurora,__aurora_palm_pals__15__190261j,column,299,1,httpscomfyuacatalogproductviewid3036723,399,06112025_114,column,__42,Фастів,0
1032282287,,,,,1864576,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Smeg,smeg,Електричний чайник Smeg KLF05CREU,,6199,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf05creu.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1032282299,,,,,.1865592,Детские товары >> Игрушки,ebulobo,М'яка іграшка кукла Ebulobo Червоний капелюшок 40 см (E10024),,1449,1,https://comfy.ua/mjagkaja-igrushka-kukla-ebulobo-krasnaja-shapochka-40-sm-e10024.html,,06.11.2025 1:42,,"вул. Соборна, 42",Фастів,0
1032282300,,,,,1865365,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Palm Pals Ананас 12 см (200912J),,299,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-palm-pals-ananas-12-sm-200912j.html,419,06.11.2025 0:52,,"вул. Соборна, 42",Фастів,0
1032282326,,,,,1865345,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка глазастик Aurora ECO Морский котик 30 см (200039A),,699,1,https://comfy.ua/mjagkaja-igrushka-glazastik-aurora-eco-morskoj-kotik-30-sm-200039a.html,979,06.11.2025 0:45,,"вул. Соборна, 42",Фастів,0
1032282328,,,,,1864570,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Smeg,smeg,Електричний чайник Smeg KLF05PBEU,,6199,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf05pbeu.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1032282340,,,,,.1865491,Детские товары >> Игрушки для малышей,toy-state,Іграшка для ванної Toy State Лебідь White (90052),,449,1,https://comfy.ua/bazovaja-igrushka-dlja-vannoj-papillon-lebed-white-90052.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1032282344,,,,,1864573,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Smeg,smeg,Електричний чайник Smeg KLF05PKEU,,6199,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf05pkeu.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1032282369,,,,,1865374,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora ECO Дельфін 38 см (200207F),,699,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-eco-del-fin-38-sm-200207f.html,979,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1032282406,,,,,1865337,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Palm Pals Лисиця 15 см (190261J),,299,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-palm-pals-lisa-15-sm-190261j.html,399,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1032282407,,,,,1864569,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Smeg,smeg,Електричний чайник Smeg KLF05BLEU,,6199,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf05bleu.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1032282418,,,,,1865204,"Аудио, фото и видео >> Акустика",grunhelm,Портативна акустика Grunhelm GW-481M-BL,,5609,1,https://comfy.ua/portativnaja-akustika-grunhelm-gw-481m-bl.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1032282449,,,,,.1865492,Детские товары >> Игрушки для малышей,toy-state,Іграшка для ванної Toy State Лебідь Pink (90053),,449,1,https://comfy.ua/bazovaja-igrushka-dlja-vannoj-papillon-lebed-pink-90053.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1032282463,,,,,1865591,Comfy KIDS >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Ebulobo,ebulobo,Ляльковий театр Ebulobo Вовк 20 см (E10016),,799,1,https://comfy.ua/kukol-nyj-teatr-perchatka-ebulobo-volk-20-sm-e10016.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1032282588,,,,,1865203,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки Grunhelm",grunhelm,Портативна акустика Grunhelm GW-321-BL,,2739,1,https://comfy.ua/portativnaja-akustika-grunhelm-gw-321-bl.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1032282710,,,,,1865361,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Palm Pals Ведмежа 15 см (200216N),,299,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-palm-pals-medvezhonok-15-sm-200216n.html,399,06.11.2025 0:57,,"вул. Соборна, 42",Фастів,0
1032282746,,,,,1865205,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки Grunhelm",grunhelm,Портативна акустика Grunhelm GW-311-BL,,1175,1,https://comfy.ua/portativnaja-akustika-grunhelm-gw-311-bl.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1032282752,,,,,1864571,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Smeg,smeg,Електричний чайник Smeg KLF05RDEU,,6199,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf05rdeu.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1032282812,,,,,1865373,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora ECO Акула 38 см (200207D),,699,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-eco-akula-38-sm-200207d.html,979,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1032282848,,,,,1865417,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры Wizarding World,wizarding-world,"""Сюжетно-рольова гра. Набір-професій Wizarding World Іграшка """"Плащ невидимка"""" Junior (WW-1121)""",,1642,1,https://comfy.ua/sjuzhetno-rolevaja-igra-nabor-professij-wizarding-world-igrushka-plasch-nevidimka-junior-ww-1121.html,2299,05.11.2025 23:31,,"вул. Соборна, 42",Фастів,0
1032282854,,,,,1865202,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки Grunhelm",grunhelm,Портативна акустика Grunhelm GW-441-BL,,3815,1,https://comfy.ua/portativnaja-akustika-grunhelm-gw-441-bl.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1032282877,,,,,1865348,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora ECO Лисиця 24 см (200191A),,775,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-eco-lisa-24-sm-200191a.html,,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1032283002,,,,,1865275,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Funrise,funrise,"""Залізна дорога Funrise з міні-технікою CAT """"Будівельний експрес"""" (82949)""",,1999,1,https://comfy.ua/zheleznaja-doroga-funrise-mini-tehnikoj-cat-stroitel-nyj-jekspress-82949.html,,05.11.2025 23:35,,"вул. Соборна, 42",Фастів,0
1032283462,,,,,1865347,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora Леопард 35 см (200071A),,999,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-leopard-35-sm-200071a.html,,06.11.2025 1:28,,"вул. Соборна, 42",Фастів,0
1032283832,,,,,1865359,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Palm Pals Снігова сова 15 см (200216G),,299,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-palm-pals-snezhnaja-sova-15-sm-200216g.html,399,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1032283939,,,,,1865343,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora ECO Гепард 24 см (200032A),,659,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-eco-gepard-24-sm-200032a.html,,06.11.2025 1:28,,"вул. Соборна, 42",Фастів,0
1032283972,,,,,1865366,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Palm Pals Зелене яблуко 12 см (200912N),,299,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-palm-pals-zelenoe-jabloko-12-sm-200912n.html,419,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1032284285,,,,,1865350,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora ECO Скат морський 28 см (200207C),,699,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-eco-sskat-morskoj-28-sm-200207c.html,979,06.11.2025 0:48,,"вул. Соборна, 42",Фастів,0
1032310832,7041274,TOLSEN,Длинногубцы TOLSEN изогнутые 160 мм (10023),191,1736287,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Tolsen",tolsen,Плоскогубці Tolsen Профи 160 мм (10023),,215,1,https://comfy.ua/ploskogubcy-tolsen-profi-160-mm-10023.html,,05.11.2025 23:20,,"вул. Соборна, 42",Фастів,0
1032319581,6744889,KENWOOD,Кухонная машина KENWOOD Titanium Chef Baker XL KVL65.001WH,19999,1863203,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Kenwood,kenwood,Кухонна машина Kenwood KVL 65.001 WH,,19999,1,https://comfy.ua/kuhonnaja-mashina-kenwood-kvl-65-001-wh.html,30099,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1032327494,7046065,RUTA,Бумажные салфетки RUTA 2 слоя 150 шт White (58769028),56,1861860,Красота и здоровье >> Личная гигиена >> Салфетки для личной гигиены >> Салфетки для личной гигиены Ruta,ruta,Серветки паперові Ruta 2 шари 150 аркушів (4820023745599),,56,1,https://comfy.ua/salfetki-bumazhnye-ruta-2-sloja-150-listov-4820023745599.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1032327495,7046067,RUTA,Бумажные салфетки Ruta Family Pack 226 листов 2 слоя White (4820023748590),90,1861861,Красота и здоровье >> Личная гигиена >> Салфетки для личной гигиены >> Салфетки для личной гигиены Ruta,ruta,Серветки паперові Ruta Family Pack 2 шари 200 аркушів (4820023748590),,90,1,https://comfy.ua/salfetki-bumazhnye-ruta-family-pack-2-sloja-200-listov-4820023748590.html,99,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,2
1032330424,6973247,MYSTERY,Хлебопечка MYSTERY MBM-1211,2599,1863993,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи Mystery,mystery,Хлібопічка Mystery MBM-1211,,2599,1,https://comfy.ua/hlebopech-mystery-mbm-1211.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1032944835,7109610,RITAR,ИБП RITAR RTSW-5000 (RTSW-5000 D48),20178,1864712,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Ritar",ritar,Джерело безперебійного живлення Ritar RTSW-5000 D48,,22230,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-ritar-rtsw-5000-d48.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1032946174,,,,,1864053,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ritar,Акумулятор для ДБЖ Ritar LiFePo4 R-LFP 12.8V 9Ah,,1650,1,https://comfy.ua/akkumuljator-dlja-ibp-ritar-lifepo4-r-lfp-12-8v-9ah.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1032973450,,,,,1863353,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Einhell,einhell,Ящик для інструментів Einhell TC-TW 100 (4510170),,8375,1,https://comfy.ua/jaschik-dlja-instrumentov-einhell-tc-tw-100-4510170.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1032976425,,,,,1840681,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,PoE-адаптер TP-Link TL-POE160S,,899,1,https://comfy.ua/poe-adapter-tp-link-tl-poe160s.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1032978089,,,,,.1856426,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623310 Delicia 20 см,,1299,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623310-delicia-20-sm.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1033003699,6789417,ARDESTO,Кофеварка ARDESTO FCM-D3200,1499,.1865236,Техника для кухни >> Мир кофе,ardesto,Кавоварка крапельна Ardesto FCM-D3200,,1499,1,https://comfy.ua/kofevarka-kapel-naja-ardesto-fcm-d3200.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
