754724289,6611395,JANOD,Музыкальный инструмент JANOD Стол с ксилофоном J07634,1199,1715713,Детские товары >> Игрушки для малышей,janod,Ксилофон Janod Стіл з ксилофоном (J07634),,1499,1,https://comfy.ua/catalog/product/view/id/1755273,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
754724291,,,,,1718430,Техника для кухни >> Мелкая техника,prime-technics,Електричний чайник Prime Technics PKP 1765 B,,1229,1,https://comfy.ua/catalog/product/view/id/1755243,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
754724297,,,,,1718431,Техника для кухни >> Мелкая техника,prime-technics,Електричний чайник Prime Technics PKP 1765 O,,1229,1,https://comfy.ua/catalog/product/view/id/1755103,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
754724617,,,,,.1715738,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Sony 220V 19.5V 39W 2A (SO39G6544),,349,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-sony-220v-19-5v-39w-2a-so39g6544.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
754726137,6611369,JANOD,Игровой набор JANOD Чемодан доктора (J06513),993,1715706,Детские товары >> Игрушки,janod,Сюжетно-рольова гра. Набір-професій Janod Чемодан доктора (J06513),,1039,1,https://comfy.ua/catalog/product/view/id/1756223,1299,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0
754819283,,,,,1696688,Детские товары >> Игрушки для малышей,canpol-babies,Книжка-іграшка Canpol babies Sensory Toys (68/081),,799,1,https://comfy.ua/catalog/product/view/id/1758323,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
754832781,,,,,.1712651,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Full Glue for Xiaomi Redmi 9 Black (ARM56264-GFG-BK),,129,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-full-glue-for-xiaomi-redmi-9-black-arm56264-gfg-bk.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
754833322,,,,,1714908,Телевизоры и мультимедиа >> Аксессуары для ТВ,acclab,Кріплення для телевізора ACCLAB AL-BT100 (1283126485695),,249,1,https://comfy.ua/kreplenie-dlja-televizora-acclab-al-bt100-1283126485695.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
754833325,,,,,1714907,Телевизоры и мультимедиа >> Аксессуары для ТВ,acclab,Кріплення для телевізора ACCLAB AL-FR20/T (1283126485770),,299,1,https://comfy.ua/kreplenie-dlja-televizora-acclab-al-fr20-t-1283126485770.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
754838895,,,,,.1714916,Телевизоры и мультимедиа >> Аксессуары для ТВ,acclab,Кріплення для телевізора ACCLAB AL-BT200 (1283126485732),,399,1,https://comfy.ua/kreplenie-dlja-televizora-acclab-al-bt200-1283126485732.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
754838897,,,,,.1714911,Телевизоры и мультимедиа >> Аксессуары для ТВ,acclab,Кріплення для телевізора ACCLAB AL-BT201 (1283126485749),,549,1,https://comfy.ua/kreplenie-dlja-televizora-acclab-al-bt201-1283126485749.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
754857232,,,,,1715660,Техника для кухни >> Мелкая техника,russell-hobbs,Електричний чайник Russell Hobbs 26050-70 Honeycomb White,,1699,1,https://comfy.ua/catalog/product/view/id/1758603,2349,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
754857233,6651570,RUSSELL HOBBS,Электрочайник RUSSELL HOBBS 26051-70 Honeycomb Black,1499,1715659,Техника для кухни >> Мелкая техника,russell-hobbs,Електричний чайник Russell Hobbs 26051-70 Honeycomb Black,,1699,1,https://comfy.ua/catalog/product/view/id/1758573,2349,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
754857289,6611358,JANOD,Игровой набор JANOD Кухня Macaron (J06571),8499,1715709,Детские товары >> Игрушки,janod,Сюжетно-рольова гра. Кухня Janod Кухня Pink (J06571),,8499,1,https://comfy.ua/sjuzhetno-rolevaja-igra-kuhnja-janod-kuhnja-pink-j06571.html,9999,05.11.2025 23:38,,"вул. Соборна, 42",Фастів,0
754857300,,,,,1715708,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры Janod,janod,Сюжетно-рольова гра. Кухня Janod Кухня (J06567),,4899,1,https://comfy.ua/sjuzhetno-rolevaja-igra-kuhnja-janod-kuhnja-j06567.html,,05.11.2025 23:25,,"вул. Соборна, 42",Фастів,0
754857323,6611369,JANOD,Игровой набор JANOD Чемодан доктора (J06513),993,1715706,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры Janod,janod,Сюжетно-рольова гра. Набір-професій Janod Чемодан доктора (J06513),,1039,1,https://comfy.ua/sjuzhetno-rolevaja-igra-nabor-professij-janod-chemodan-doktora-j06513.html,1299,05.11.2025 23:53,,"вул. Соборна, 42",Фастів,0
754857348,6650718,GORENJE,Варочная поверхность GORENJE GW642AB,11799,1718191,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GW 642 AB,,11499,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gw-642-ab.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
