720225711,6743377,METABO,Пила торцовочная METABO  KGSV 216 M (619261000),13799,1668950,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Metabo,metabo,Пила торцева Metabo KGSV 216 M (619261000),,13805,1,https://comfy.ua/pila-torcevaja-metabo-kgsv-216-m-619261000.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
720225712,6591646,TRAMONTINA,Нож для сыра TRAMONTINA Ultracorte 15.2 см (23866/106),365,1673200,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для сиру Tramontina Ultracorte 152 мм (23866/106),,365,1,https://comfy.ua/nozh-dlja-syra-tramontina-ultracorte-152-mm-23866-106.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
720225725,6670520,KELA,Сковорода Вок с крышкой KELA Mini 24 см 5 пр Black (77747),3999,1648170,Посуда >> Для приготовления >> Сковороды >> Сковороды Kela,kela,Сковорода ВОК Kela Mini 24 см 1.6 л 5 пр. (77747),,3999,1,https://comfy.ua/skovoroda-vok-kela-mini-24-sm-1-6-l-5-pr-77747.html,4489,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
720225726,6528926,TOPEX,Мультитул-нож TOPEX 11 функций 70 мм (98Z116),465,1641633,Инструменты и автотовары >> Ручные инструменты >> Мультитулы >> Мультитулы TOPEX,topex,Мультитул TOPEX 98Z116,,465,1,https://comfy.ua/mul-titul-topex-98z116.html,,05.11.2025 22:20,,"вул. Соборна, 42",Фастів,0
720225746,,,,,.1673197,Посуда >> Нарезка и измельчение,tramontina,Ніж кухонний Tramontina Profissional Master White 178 мм (24636/086),,718,1,https://comfy.ua/nozh-kuhonnyj-tramontina-profissional-master-white-178-mm-24636-086.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
720225747,,,,,.1673196,Посуда >> Нарезка и измельчение,tramontina,Ніж кухонний Tramontina Profissional Master Red 178 мм (24636/076),,718,1,https://comfy.ua/nozh-kuhonnyj-tramontina-profissional-master-red-178-mm-24636-076.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
720225753,6569482,HAISSER,Плоскогубцы Haisser Pearl-nickel Cr-V 200 мм (41127),235,1671479,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Haisser",haisser,Плоскогубці Haisser 200 мм (41127),,389,1,https://comfy.ua/ploskogubcy-haisser-200-mm-41127.html,,05.11.2025 22:43,,"вул. Соборна, 42",Фастів,0
720225760,6743998,TRAMONTINA,Нож для хлеба TRAMONTINA Profissional Master 25.4 см White (24627/080),891,1673198,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для хліба Tramontina Profissional Master White 250 мм (24627/080),,759,1,https://comfy.ua/nozh-dlja-hleba-tramontina-profissional-master-white-250-mm-24627-080.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
720225773,,,,,1668338,Инструменты и автотовары >> Садовые инструменты >> Газонокосилки >> Газонокосилки Ryobi,ryobi,Газонокосарка акумуляторна Ryobi ONE+ OLM1833B без АКБ,,9399,1,https://comfy.ua/gazonokosilka-akkumuljatornaja-ryobi-one-olm1833b-bez-akb.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
720225865,6591648,TRAMONTINA,Точильный камень для ножей TRAMONTINA Profio (24034/000),3654,1673202,Посуда >> Нарезка и измельчение >> Точила для ножей >> Точила для ножей Tramontina,tramontina,Точильний камінь для ножів Tramontina Profio (24034/000),,5217,1,https://comfy.ua/tochil-nyj-kamen-dlja-nozhej-tramontina-profio-24034-000.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
720225879,7060217,SOLA,Набор столовых ножей SOLA Ibiza 3 пр. (31IBIZE1123),525,1653033,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Набір ножів столових Sola 3 шт 31IBIZE1123,,525,1,https://comfy.ua/nabor-nozhej-stolovyh-sola-3-sht-31ibize1123.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
