1661867434,column,column,column,column,2827626,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_samsung_s24_plus_arm72453,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartforsamsungs24plusarm72453html,column,05112025_2023,column,__42,Фастів,0
1661867433,,,,,.2827627,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Samsung S24 Ultra (ARM72454),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-samsung-s24-ultra-arm72454.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1661867434,,,,,.2827626,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Samsung S24 Plus (ARM72453),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-samsung-s24-plus-arm72453.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1661867435,,,,,.2827656,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Infinix Hot 40i (ARM73782),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-infinix-hot-40i-arm73782.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1661867597,,,,,.2892884,Красота и здоровье >> Уход за телом,eta,Епілятор ETA Fenitе 3346 90000,,1199,1,https://comfy.ua/jepiljator-eta-fenite-3346-90000.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1661867663,,,,,.2897979,Бытовая химия >> Для кухни и мытья посуды,noveen,Аератор для крана Noveen XL1029 Black,,249,1,https://comfy.ua/ajerator-dlja-krana-noveen-xl1029-black.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1661867664,,,,,.2897978,Бытовая химия >> Для кухни и мытья посуды,noveen,Аератор для крана Noveen XL1028 Silver,,249,1,https://comfy.ua/ajerator-dlja-krana-noveen-xl1028-silver.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1661867665,,,,,.2897982,Бытовая химия >> Для кухни и мытья посуды,noveen,Аератор для крана Noveen XL1077 Black,,449,1,https://comfy.ua/ajerator-dlja-krana-noveen-xl1077-black.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1661867666,,,,,.2897981,Бытовая химия >> Для кухни и мытья посуды,noveen,Аератор для крана Noveen XL1076 Silver,,449,1,https://comfy.ua/ajerator-dlja-krana-noveen-xl1076-silver.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1661867667,,,,,.2897983,Бытовая химия >> Для кухни и мытья посуды,noveen,Аератор для крана Noveen XL1078 Nickel,,449,1,https://comfy.ua/ajerator-dlja-krana-noveen-xl1078-nickel.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1661867668,,,,,.2897984,Бытовая химия >> Для кухни и мытья посуды,noveen,Аератор для крана Noveen XL1060 Silver,,599,1,https://comfy.ua/ajerator-dlja-krana-noveen-xl1060-silver.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1661868387,6951126,RONIX,Набор отверток RONIX 7 шт (RH-2707),239,2832296,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Ronix,ronix,Набір викруток Ronix 7 шт. (RH-2707),,239,1,https://comfy.ua/nabor-otvertok-ronix-7-sht-rh-2707.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1661868390,6951080,RONIX,Набор отверток RONIX RH-2725,499,2832298,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Ronix,ronix,Набір викруток Ronix RH-2725,,499,1,https://comfy.ua/nabor-otvertok-ronix-rh-2725.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1661868406,,,,,2884713,Бытовая химия >> Средства для стирки,persil,Капсули для прання Persil Duo 44 + 44 шт,,999,1,https://comfy.ua/kapsuly-dlja-stirki-persil-duo-44-44-sht.html,2266,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,1
1661868726,,,,,.2870116,Детские товары >> Игрушки,trefl,"""Настільна гра (5-7 років) Trefl """"Катапульта""""/ Спайдермен  (1996)""",,185,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-trefl-katapul-ta-spajdermen-1996.html,,05.11.2025 22:11,,"вул. Соборна, 42",Фастів,0
1661868894,,,,,.2850638,Игровые консоли и гейминг >> Комплектующие для игровых ПК,lian-li,Процесорний кулер Lian Li ST120-3 White (G99.12ST3W.00),,1799,1,https://comfy.ua/processornyj-kuler-lian-li-st120-3-white-g99-12st3w-00.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1661869090,,,,,2870122,Детские товары >> Игрушки,trefl,"""Настільна гра (3-4 роки) Trefl 2 в1 """"Лудо + сходи"""" / Дісней """"Принцеси"""" (2418)""",,505,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-trefl-2-v1-ludo-lestnicy-disnej-princessy-2418.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
1661869091,,,,,2870136,Детские товары >> Игрушки,trefl,Настільна гра (до 2 років) Trefl Мемос MAXI Бінг (2265),,465,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-trefl-memos-maxi-bing-2265.html,,05.11.2025 23:25,,"вул. Соборна, 42",Фастів,0
