744835147,,,,,1680624,Посуда >> Для напитков,tescoma,Френч-прес tescoma 646634 Teo 1.0 л,,1399,1,https://comfy.ua/catalog/product/view/id/1357273,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
744835334,,,,,1685338,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж обвалочний tescoma 863024 Presto 12 см,,309,1,https://comfy.ua/nozh-obvalochnyj-tescoma-863024-presto-12-sm.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
744835917,6591630,TRAMONTINA,Нож накири TRAMONTINA Plenus 17.8 см Black (23444/107),272,1673192,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж кухаря Tramontina Plenus Black 178 мм (23444/107),,299,1,https://comfy.ua/nozh-povara-tramontina-plenus-black-178-mm-23444-107.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
744836145,6718009,DURALEX,Салатник DURALEX Lys 210 мл (2013AF06),51,1634431,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Duralex,duralex,Салатник Duralex Lys 210 мл (2013AF06),,51,1,https://comfy.ua/salatnik-duralex-lys-210-ml-2013af06.html,68,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
744836197,,,,,1685842,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Tescoma,tescoma,Ємність для зберігання tescoma 892014 Freshbox 1.2 л,,399,1,https://comfy.ua/emkost-dlja-hranenija-tescoma-892014-freshbox-1-2-l.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
744836203,,,,,1685107,Посуда >> Для напитков >> Чашки >> Чашки Limited Edition,limited-edition,Чашка Limited Edition Line Red 410 мл (12632-126070ZRXD),,82,1,https://comfy.ua/chashka-limited-edition-line-red-410-ml-12632-126070zrxd.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
744840712,,,,,1679312,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухаря tescoma 863090 Presto Tone 17 см,,529,1,https://comfy.ua/nozh-povara-tescoma-863090-presto-tone-17-sm.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
744840713,,,,,1685668,Посуда >> Нарезка и измельчение,tescoma,Ножиці кухонні tescoma 888225 Presto 22 см,,409,1,https://comfy.ua/nozhnicy-kuhonnye-tescoma-888225-presto-22-sm.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
744844954,,,,,1685843,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Tescoma,tescoma,Ємність для зберігання tescoma 892016 Freshbox 2.0 л,,599,1,https://comfy.ua/emkost-dlja-hranenija-tescoma-892016-freshbox-2-0-l.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
744847644,,,,,1686707,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Tescoma,tescoma,Набір келихів tescoma 306430 Charlie 220 мл 6 шт.,,2199,1,https://comfy.ua/nabor-bokalov-tescoma-306430-charlie-220-ml-6-sht.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
744847645,,,,,1686706,Посуда >> Для сервировки >> Бокалы >> Бокалы Tescoma,tescoma,Набір келихів tescoma 306420 Charlie 350 мл 6 шт.,,2099,1,https://comfy.ua/nabor-bokalov-tescoma-306420-charlie-350-ml-6-sht.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
744849581,,,,,1685922,Посуда >> Для хранения,tescoma,Ємність для зберігання tescoma 892068 Freshbox 2.5 л,,599,1,https://comfy.ua/emkost-dlja-hranenija-tescoma-892068-freshbox-2-5-l.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
744849583,,,,,1685931,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Tescoma,tescoma,Набір ємностей для зберігання tescoma 892040 Freshbox 3 шт.,,659,1,https://comfy.ua/nabor-emkostej-dlja-hranenija-tescoma-892040-freshbox-3-sht.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
744849585,,,,,1685934,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Tescoma,tescoma,Набір ємностей для зберігання tescoma 892090 Freshbox 3 шт.,,649,1,https://comfy.ua/nabor-emkostej-dlja-hranenija-tescoma-892090-freshbox-3-sht.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
744869499,6832463,ARDESTO,Набор чашек ARDESTO 300 мл 2 шт (AR2630GHP),505,1684406,Посуда >> Для напитков,ardesto,Набір чашок з подвійними стінками Ardesto 300 мл 2 шт. (AR2630GHP),,279,1,https://comfy.ua/nabor-chashek-s-dvojnymi-stenkami-ardesto-300-ml-2-sht-ar2630ghp.html,519,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,4
744894276,,,,,1685936,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Tescoma,tescoma,Набір ємностей для зберігання tescoma 892092 Freshbox 3 шт.,,1199,1,https://comfy.ua/nabor-emkostej-dlja-hranenija-tescoma-892092-freshbox-3-sht.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
744897106,,,,,.1685333,Посуда >> Нарезка и измельчение,tescoma,Ніж для сиру tescoma 638625 President,,779,1,https://comfy.ua/nozh-dlja-syra-tescoma-638625-president.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
744903049,,,,,1685332,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для піци tescoma 638615 President,,779,1,https://comfy.ua/nozh-dlja-piccy-tescoma-638615-president.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
744903052,,,,,1685347,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж обвалочний tescoma 881 225 Precioso 16 см,,584,1,https://comfy.ua/nozh-obvalochnyj-tescoma-881225-precioso-16-sm.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
744951064,,,,,1679077,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",eurogold,Сушарка для білизни Eurogold 0710 (ширина 1000мм) 5 м,,655,1,https://comfy.ua/sushilka-dlja-bel-ja-eurogold-0710-shirina-1000mm-5-m.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
744980640,,,,,1680630,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 884508 Azza 9 см,,899,1,https://comfy.ua/nozh-kuhonnyj-tescoma-884508-azza-9-sm.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
744980641,,,,,1680628,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 884503 Azza 9 см,,899,1,https://comfy.ua/nozh-kuhonnyj-tescoma-884503-azza-9-sm.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
744987798,,,,,.1685350,Посуда >> Нарезка и измельчение,tescoma,Ніж сантоку tescoma 881235 Precioso 16 см,,849,1,https://comfy.ua/nozh-santoku-tescoma-881235-precioso-16-sm.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
745003161,,,,,.1682041,Телевизоры и мультимедиа >> Аксессуары для ТВ,sonorous,Тумба для телевізора Sonorous NEO 110-C-SLV,,11449,1,https://comfy.ua/tumba-dlja-televizora-sonorous-neo-110-c-slv.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
745003166,,,,,.1682036,Телевизоры и мультимедиа >> Аксессуары для ТВ,sonorous,Тумба для телевізора Sonorous NEO 1103-C-SLV,,12949,1,https://comfy.ua/tumba-dlja-televizora-sonorous-neo-1103-c-slv.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
745003170,,,,,.1681705,Телевизоры и мультимедиа >> Аксессуары для ТВ,sonorous,Тумба для телевізора Sonorous LBA 1840-GWHT,,29949,1,https://comfy.ua/tumba-dlja-televizora-sonorous-lba-1840-gwht.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
745009354,,,,,1680681,Посуда >> Нарезка и измельчение,tescoma,Ножиці для птиці tescoma 884560 Azza,,1799,1,https://comfy.ua/nozhnicy-dlja-pticy-tescoma-884560-azza.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
745009355,,,,,1680619,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 884529 Azza 16 см,,1699,1,https://comfy.ua/nozh-kuhonnyj-tescoma-884529-azza-16-sm.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
745013312,6591628,TRAMONTINA,Нож для томатов TRAMONTINA Century 12.7 см (24048/105),1241,1673191,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для томатів Tramontina Century 127 мм (24048/105),,1241,1,https://comfy.ua/nozh-dlja-tomatov-tramontina-century-127-mm-24048-105.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
745013314,,,,,1680620,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 884530 Azza 20 см,,1799,1,https://comfy.ua/nozh-kuhonnyj-tescoma-884530-azza-20-sm.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
745014801,6591632,TRAMONTINA,Нож-меццалуна TRAMONTINA Polywood 25 см (21147/190),1339,1673194,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для зелені Tramontina Polywood Мезалунна (21147/190),,1339,1,https://comfy.ua/nozh-dlja-zeleni-tramontina-polywood-mezalunna-21147-190.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
745014802,6591627,TRAMONTINA,Нож для сыра TRAMONTINA Century 15.2 см (24049/106),1495,1673190,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для сиру Tramontina Century 152 мм (24049/106),,1495,1,https://comfy.ua/nozh-dlja-syra-tramontina-century-152-mm-24049-106.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
745066093,6630891,ARDESTO,Набор ножей ARDESTO Black Mars 6 пр (AR2021SB),2789,1684362,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Набір ножів Ardesto Mars 6 пр. Black (AR2021SB),,2789,1,https://comfy.ua/nabor-nozhej-ardesto-mars-6-pr-black-ar2021sb.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
745066100,6630892,ARDESTO,Набор ножей ARDESTO Black Mars 6 пр (AR2020SW),2079,1684361,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Набір ножів Ardesto Mars 6 пр. Black (AR2020SW),,1933,1,https://comfy.ua/nabor-nozhej-ardesto-mars-6-pr-black-ar2020sw.html,2979,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
745106753,,,,,1683223,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,Конвектор AFRICA А370 бежевий,,2864,1,https://comfy.ua/konvektor-africa-a370-bezhevyj.html,3369,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
745107379,,,,,1683224,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,Конвектор AFRICA А370 графіт,,3369,1,https://comfy.ua/konvektor-africa-a370-grafit.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
745107473,6622996,BEURER,Электрическая грелка BEURER HK 35,2377,1668342,Красота и здоровье >> Здоровье >> Электротекстиль >> Электротекстиль Beurer,beurer,Текстиль з обігрівом Beurer HK 35 Blue,,2379,1,https://comfy.ua/tekstil-s-obogrevom-beurer-hk-35-blue.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
745107482,6622998,BEURER,Электрическая грелка BEURER HK 49 Cosy,3709,1668344,Красота и здоровье >> Здоровье >> Электротекстиль >> Электротекстиль Beurer,beurer,Електрогрілка для живота та спини Beurer HK 49 Grey,,3709,1,https://comfy.ua/jelektrogrelka-dlja-zhivota-i-spiny-beurer-hk-49-grey.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
745107497,6623000,BEURER,Электрическая грелка BEURER HK 54 Cosy,3847,1668346,Красота и здоровье >> Здоровье >> Электротекстиль >> Электротекстиль Beurer,beurer,Електрогрілка для шиї и плеч Beurer HK 54 Grey,,3849,1,https://comfy.ua/jelektrogrelka-dlja-shei-i-plech-beurer-hk-54-grey.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
745108415,,,,,1683231,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Т370 бежевий, з терморегулятором",,3884,1,https://comfy.ua/konvektor-africa-t370-bezhevyj-s-termoreguljatorom.html,4569,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
745108416,,,,,1683232,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Т370 графіт, з терморегулятором",,4569,1,https://comfy.ua/konvektor-africa-t370-grafit-s-termoreguljatorom.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
745111104,6569479,HAISSER,Плоскогубцы HAISSER 41132 160 мм Cr-Ni Blacken Polished (90397),255,1667925,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Haisser",haisser,Плоскогубці Haisser 41132 160 мм,,399,1,https://comfy.ua/ploskogubcy-haisser-41132-160-mm.html,,05.11.2025 22:44,,"вул. Соборна, 42",Фастів,0
745116367,,,,,1651279,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпусний вентилятор Gamemax 120mm White (GMX-WFBK-WT),,119,1,https://comfy.ua/korpusnyj-ventiljator-gamemax-120mm-white-gmx-wfbk-wt.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
745116368,,,,,.1651280,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпусний вентилятор Gamemax 120mm Black (GMX-WFBK-BK),,119,1,https://comfy.ua/korpusnyj-ventiljator-gamemax-120mm-black-gmx-wfbk-bk.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
745116371,,,,,.1655436,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Процесорний кулер ID-Cooling DK-01T,,169,1,https://comfy.ua/processornyj-kuler-id-cooling-dk-01t.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
745116381,,,,,.1651273,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпусний вентилятор Gamemax GMX-AF12X,,209,1,https://comfy.ua/korpusnyj-ventiljator-gamemax-gmx-af12x.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
745116724,,,,,.1655434,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Процесорний кулер ID-Cooling DK-01,,199,1,https://comfy.ua/processornyj-kuler-id-cooling-dk-01.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
745116726,,,,,.1655472,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Процесорний кулер Xilence I200 (XC030),,209,1,https://comfy.ua/processornyj-kuler-xilence-i200-xc030.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
