1653016139,column,column,column,column,2834393,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,__deepcool_ak400_digital_rak400bkadmng,column,2179,1,httpscomfyuaprocessornyjkulerdeepcoolak400digitalrak400bkadmnghtml,column,05112025_1847,column,__42,Фастів,0
1653192447,,,,,2842640,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Parblo",parblo,Графічний планшет Parblo Intangbo X7 Green,,3869,1,https://comfy.ua/graficheskij-planshet-parblo-intangbo-x7-green.html,4299,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1653192448,,,,,2843814,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion 1060 Plus+рукавиця,,3149,1,https://comfy.ua/graficheskij-planshet-huion-1060-plus-perchatka.html,3499,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1653192449,,,,,2843824,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Huion",huion,Графічний планшет Huion H610X Black+рукавиця,,4049,1,https://comfy.ua/graficheskij-planshet-huion-h610x-black-perchatka.html,4499,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1653192450,,,,,.2843831,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Inspiroy RTM-500+рукавиця,,4499,1,https://comfy.ua/graficheskij-planshet-huion-inspiroy-rtm-500-perchatka.html,4999,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1653192451,,,,,2842638,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Parblo",parblo,Графічний планшет Parblo Intangbo M Purple,,4949,1,https://comfy.ua/graficheskij-planshet-parblo-intangbo-m-purple.html,5499,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1653192452,,,,,.2843819,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Inspiroy H1060P+рукавиця,,4499,1,https://comfy.ua/graficheskij-planshet-huion-inspiroy-h1060p-perchatka.html,4999,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1653192456,,,,,.2843832,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Inspiroy RTP-700+рукавиця,,5849,1,https://comfy.ua/graficheskij-planshet-huion-inspiroy-rtp-700-perchatka.html,6499,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1653192459,,,,,2843827,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Inspiroy Keydial (KD200)+рукавиця,,8099,1,https://comfy.ua/graficheskij-planshet-huion-inspiroy-keydial-kd200-perchatka.html,8999,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1653192808,,,,,.2821718,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME B760M-A D4-CSM DDR4,,4665,1,https://comfy.ua/materinskaja-plata-asus-prime-b760m-a-d4-csm-ddr4.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1653193981,,,,,2843817,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Huion",huion,Графічний планшет Huion Kamvas Pro 16 (GT156)+рукавиця,,26999,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-pro-16-gt156-perchatka.html,29999,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1653193982,,,,,.2843816,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Kamvas Pro 13 2.5K+рукавиця,,26999,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-pro-13-2-5k-perchatka.html,29999,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1653193983,,,,,2843815,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Kamvas 24 (GS2401)+рукавиця,,35999,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-24-gs2401-perchatka.html,39999,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1653193984,,,,,.2843818,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Kamvas GT-221Pro+рукавиця,,41399,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-gt-221pro-perchatka.html,45999,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1653198500,,,,,.2834391,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,Корпус Deepcool CC560 V2 Black (R-CC560-BKGAA4-G-2) без БЖ,,2889,1,https://comfy.ua/korpus-deepcool-cc560-v2-black-r-cc560-bkgaa4-g-2-bez-bp.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1653198539,,,,,.2834390,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,Корпус Deepcool CC560 ARGB V2 (R-CC560-BKTAA4-G-2) без БЖ,,3559,1,https://comfy.ua/korpus-deepcool-cc560-argb-v2-r-cc560-bktaa4-g-2-bez-bp.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1653198651,,,,,.2834385,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,Корпус Deepcool CH780 Black (R-CH780-BKADE41-G-1) без БЖ,,7449,1,https://comfy.ua/korpus-deepcool-ch780-black-r-ch780-bkade41-g-1-bez-bp.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1653199011,,,,,.2834384,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,Корпус Deepcool CH780 White (R-CH780-WHADE41-G-1) без БЖ,,8319,1,https://comfy.ua/korpus-deepcool-ch780-white-r-ch780-whade41-g-1-bez-bp.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1653208796,6951304,DELONGHI,Кофемашина DELONGHI Magnifica Plus ECAM320.60.B,31999,2832919,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Delonghi,delonghi,Кавомашина Delonghi ECAM320.60.B,,34999,1,https://comfy.ua/kofemashina-delonghi-ecam320-60-b.html,40000,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
