750989596,column,column,column,column,1682123,Посуда >> Для приготовления,wmf,__wmf_576444291_permadur_premiu_24_,column,4599,1,httpscomfyuaskovorodauniversalnajawmf576444291permadurpremiu24smhtml,5799,05112025_1921,column,__42,Фастів,0
750990216,,,,,1687501,Посуда >> Для сервировки,wmf,Ніж для зрізання фольги з пляшки WMF 658337920 VINO,,1199,1,https://comfy.ua/nozh-dlja-srezanija-fol-gi-s-butylki-wmf-658337920-vino.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
750990393,,,,,1682609,Посуда >> Нарезка и измельчение,wmf,"Ніж для зелені WMF 1888646030 17,5 см",,1099,1,https://comfy.ua/nozh-dlja-zeleni-wmf-1888646030-17-5-sm.html,1399,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
750990394,,,,,1684050,Посуда >> Нарезка и измельчение,wmf,Ножиці для птиці WMF 1883206030 23 см,,2499,1,https://comfy.ua/nozhnicy-dlja-pticy-wmf-1883206030-23-sm.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
750990395,,,,,1680631,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Набір ножів tescoma 881280 Precioso 6 пр.,,4399,1,https://comfy.ua/podstavka-dlja-nozhej-tescoma-881280-precioso-6-pr.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
750990439,,,,,1682774,Посуда >> Нарезка и измельчение,wmf,Набір ножів WMF 1884309990 ELEMENTS JOY 4 пр.,,5499,1,https://comfy.ua/nabor-nozhej-wmf-1884309990-elements-joy-4-pr.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
750990440,,,,,1682776,Посуда >> Нарезка и измельчение,wmf,Набір ножів WMF 1874706030 CLASSIC LINE 7 пр.,,6999,1,https://comfy.ua/nabor-nozhej-wmf-1874706030-classic-line-7-pr.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
750990454,,,,,1682827,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы WMF,wmf,Набір столових приборів WMF 1140916340 MERIT CROMARGAN PROTECT 30 пр.,,23999,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1140916340-merit-cromargan-protect-30-pr.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
750990535,,,,,1689363,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",grand-x,Чохол для ноутбуку Grand-X SLX-14D 14'' Dark Grey,,449,1,https://comfy.ua/chehol-dlja-noutbuka-grand-x-slx-14d-14-dark-grey.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
750990536,,,,,1689364,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",grand-x,Чохол для ноутбуку Grand-X SLX-14G 14'' Grey,,449,1,https://comfy.ua/chehol-dlja-noutbuka-grand-x-slx-14g-14-grey.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
750990537,,,,,1689361,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",grand-x,Чохол для ноутбуку Grand-X SLX-13D 13'' SLX Dark Grey,,399,1,https://comfy.ua/chehol-dlja-noutbuka-grand-x-slx-13d-13-slx-dark-grey.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
750990539,,,,,1689365,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",grand-x,Чохол для ноутбуку Grand-X SLX-15D 15'' Dark Grey,,469,1,https://comfy.ua/chehol-dlja-noutbuka-grand-x-slx-15d-15-dark-grey.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
750998051,,,,,1689809,Детские товары >> Игрушки для малышей,sigikid,Брязкальце Sigikid Подарунковий набір Schnuggi (41521SK),,1955,1,https://comfy.ua/pogremushka-sigikid-podarochnyj-nabor-schnuggi-41521sk.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
750998052,6375858,SIGIKID,Погремушка SIGIKID 41422SK,467,1689804,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Sigikid,sigikid,Брязкальце Sigikid Заєць (41422SK),,569,1,https://comfy.ua/pogremushka-sigikid-zajac-41422sk.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
750998056,6611340,JANOD,Развивающая игрушка JANOD Pure Музыкальный столик J05164,1799,1689772,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Janod,janod,Інтерактивний музичний інструмент Janod Музичний столик (J05164),,1799,1,https://comfy.ua/interaktivnyj-muzykal-nyj-instrument-janod-muzykal-nyj-stolik-j05164.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
750998058,6611677,NATTOU,Погремушка NATTOU мишка Базиль (562140),407,1689756,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Nattou,nattou,Брязкальце Nattou Міа і Базиль. Брязкальце Базиль (562140),,699,1,https://comfy.ua/pogremushka-nattou-mia-i-bazil-pogremushka-bazil-562140.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
750998076,6439783,SAME TOY,Погремушка SAME TOY Развивающий шар-погремушка (616-2Ut) в ассортименте,34,1688788,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Same Toy,same-toy,Брязкальце Same Toy Розвиваючий куля (616-2Ut),,59,1,https://comfy.ua/pogremushka-same-toy-razvivajuschij-shar-616-2ut.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
750998078,6439645,HEIMESS,Погремушка HEIMESS Звезда розовая (764920),154,1688759,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Heimess,heimess,Брязкальце Heimess Зірка рожева (764920),,199,1,https://comfy.ua/pogremushka-heimess-zvezda-rozovaja-764920.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
750998080,7051617,NATTOU,Погремушка NATTOU Пандочка Лулу (963244),407,1688714,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Nattou,nattou,Брязкальце Nattou пандочка Лулу (963244),,699,1,https://comfy.ua/pogremushka-nattou-pandochka-lulu-963244.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
750998083,7051616,NATTOU,Погремушка NATTOU Леопард Лея (963237),407,1688713,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Nattou,nattou,Брязкальце Nattou леопард Лея (963237),,699,1,https://comfy.ua/pogremushka-nattou-leopard-leja-963237.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
750998090,6375544,HEIMESS,Погремушка HEIMESS 734860,158,1688755,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Heimess,heimess,Брязкальце Heimess Русалка (734860),,179,1,https://comfy.ua/pogremushka-heimess-rusalka-734860.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
751193835,,,,,.1701980,Посуда >> Для приготовления,bollire,Кришка для посуду Bollire 16 см,,209,1,https://comfy.ua/kryshka-dlja-posudy-bollire-16-sm.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
751206883,6606058,MESKO,Утюг MESKO MS 5031,999,1698281,Техника для дома >> Мелкая техника >> Утюги >> Утюги Mesko,mesko,Праска Mesko MS 5031,,999,1,https://comfy.ua/utjug-mesko-ms-5031.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
