742461866,column,column,column,column,1679576,_____________tescoma,tescoma,__tescoma_862008_sonic_12_,column,201,1,httpscomfyuanozhkuhonnyjtescoma862008sonic12smhtml,column,05112025_1906,column,__42,Фастів,0
742461884,,,,,1679309,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж сантоку tescoma 863048 Presto 15 см,,399,1,https://comfy.ua/nozh-santoku-tescoma-863048-presto-15-sm.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
742461886,,,,,1678819,Посуда >> Нарезка и измельчение,tescoma,Ніж для хліба tescoma 863036 Presto20 см,,404,1,https://comfy.ua/catalog/product/view/id/1340573,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
742461887,,,,,1678821,Посуда >> Нарезка и измельчение,tescoma,Ніж для хліба tescoma 863114 Presto Bianco 20 см,,599,1,https://comfy.ua/catalog/product/view/id/1340543,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
742461888,,,,,1679585,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 863029 Presto 17 см,,459,1,https://comfy.ua/nozh-kuhonnyj-tescoma-863029-presto-17-sm.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
742461889,,,,,1679586,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 863030 Presto 20 см,,449,1,https://comfy.ua/nozh-kuhonnyj-tescoma-863030-presto-20-sm.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
742461891,6635762,BOSCH,Набор инструментов НАБОР X-LINE-100 TITANIUM (2.607.019.330),2476,1672284,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Bosch,bosch,Набір інструментів Bosch X-Line-100 Titanium (2.607.019.330),,2475,1,https://comfy.ua/nabor-instrumentov-bosch-x-line-100-titanium-2-607-019-330.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
742461894,,,,,1661623,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tescoma,tescoma,Набір ножів столових tescoma 391435 Classic 3 шт. для риби,,499,1,https://comfy.ua/nabor-nozhej-stolovyh-tescoma-391435-classic-3-sht-dlja-ryby.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
742462097,,,,,1678834,Посуда >> Для приготовления >> Сковороды >> Сковороды Tescoma,tescoma,Сковорода гриль tescoma 601246 Premium 26x26 см,,2299,1,https://comfy.ua/skovoroda-gril-tescoma-601246-premium-26x26-sm.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
742462195,,,,,1661237,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tescoma,tescoma,Набір ножів столових tescoma 391420 Classic 2 шт.,,559,1,https://comfy.ua/nabor-nozhej-stolovyh-tescoma-391420-classic-2-sht.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
742462213,,,,,1661044,Посуда >> Для приготовления,tescoma,Сковорода ВОК tescoma 602328 i-Premium 28 см,,2799,1,https://comfy.ua/catalog/product/view/id/1339283,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
742462216,,,,,1661293,Посуда >> Нарезка и измельчение >> Точила для ножей >> Точила для ножей Tescoma,tescoma,Точилка кухонних ножів tescoma 863052 Presto,,699,1,https://comfy.ua/tochilka-kuhonnyh-nozhej-tescoma-863052-presto.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
742462217,,,,,.1678836,Посуда >> Для приготовления,tescoma,Сковорода гриль tescoma 601254 Premium 34x24 см,,2699,1,https://comfy.ua/skovoroda-gril-tescoma-601254-premium-34x24-sm.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
742462221,,,,,1661148,Посуда >> Для приготовления,tescoma,Сковорода для млинців tescoma 602454 i-Premium Stone 26 см,,2599,1,https://comfy.ua/catalog/product/view/id/1339333,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
742462222,,,,,1661046,Посуда >> Для приготовления,tescoma,Сковорода універсальна tescoma 602620 President 20 см,,3099,1,https://comfy.ua/catalog/product/view/id/1339873,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
742462269,,,,,1661047,Посуда >> Для приготовления,tescoma,Сковорода для млинців tescoma 605090 SmartCLICK 24 см,,3699,1,https://comfy.ua/catalog/product/view/id/1339303,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
