1680219508,column,column,column,column,2900388,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ultra,__ultra_ssg53_v2_,column,359,1,httpscomfyuasetevojfiltrultrassg53v2seryjhtml,column,05112025_1716,column,__42,Фастів,1
1680219498,,,,,2900381,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ultra,Мережевий фільтр Ultra SSG3-1.8 V2 Сірий,,289,1,https://comfy.ua/setevoj-fil-tr-ultra-ssg3-1-8-v2-seryj.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,3
1680219508,,,,,2900388,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ultra,Мережевий фільтр Ultra SSG5-3 V2 Сірий,,359,1,https://comfy.ua/setevoj-fil-tr-ultra-ssg5-3-v2-seryj.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,1
1680250683,,,,,.2940310,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 8GB NM 164 (Ryzen75700XRTX30508GBNM164),,29123,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-8gb-nm-164-ryzen75700xrtx30508gbnm164.html,33475,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1680287233,,,,,.2940303,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 6GB NM 1642 (Ryzen75700XRTX30506GBNM1642),,31464,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-6gb-nm-1642-ryzen75700xrtx30506gbnm1642.html,36165,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1680287242,,,,,.2940306,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 6GB NM 324 (Ryzen75700XRTX30506GBNM324),,30768,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-6gb-nm-324-ryzen75700xrtx30506gbnm324.html,35365,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1680287251,,,,,.2940620,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RX 6600 8GB NM 1641 (i314100FRX66008GBNM1641),,33068,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rx-6600-8gb-nm-1641-i314100frx66008gbnm1641.html,38009,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1680290510,,,,,.2940631,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 6GB NM 3210 (i512400FRTX30506GBNM3210),,33291,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-6gb-nm-3210-i512400frtx30506gbnm3210.html,38265,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1680380441,,,,,.2940368,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RX 6600 8GB NM 1641 (Ryzen75700XRX66008GBNM1641),,34935,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rx-6600-8gb-nm-1641-ryzen75700xrx66008gbnm1641.html,40155,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1680385271,,,,,.2940633,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 6GB NM 3241 (i512400FRTX30506GBNM3241),,34456,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-6gb-nm-3241-i512400frtx30506gbnm3241.html,39605,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1680449988,,,,,.2940622,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RX 6600 8GB NM 1642 (i314100FRX66008GBNM1642),,33291,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rx-6600-8gb-nm-1642-i314100frx66008gbnm1642.html,38265,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1680450592,,,,,.2940304,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 6GB NM 3210 (Ryzen75700XRTX30506GBNM3210),,32595,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-6gb-nm-3210-ryzen75700xrtx30506gbnm3210.html,37465,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1680450606,,,,,.2940311,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 8GB NM 1641 (Ryzen75700XRTX30508GBNM1641),,32154,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-8gb-nm-1641-ryzen75700xrtx30508gbnm1641.html,36959,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1680453386,,,,,.2940370,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RX 6600 8GB NM 1642 (Ryzen75700XRX66008GBNM1642),,35152,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rx-6600-8gb-nm-1642-ryzen75700xrx66008gbnm1642.html,40405,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
