902035517,column,column,column,column,1803716,____________________lenovo,lenovo,____lenovo_legion_gaming_l_grey_gxh1c97868,column,549,1,httpscomfyuakovrikdljamyshilenovolegiongaminglgreygxh1c97868html,column,05112025_1737,column,__42,Фастів,0
903148191,6986650,TRANSCEND,флеш-драйв TRANSCEND JetFlash 790 256GB USB 3.1 Black,897,1654467,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Transcend",transcend,Флеш USB Transcend JetFlash 790 256GB USB 3.0 Black (TS256GJF790K),,799,1,https://comfy.ua/flesh-usb-transcend-jetflash-790-256gb-usb-3-0-black-ts256gjf790k.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
903158787,,,,,1035857,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров ITECHmount,itechmount,Кріплення для телевізора ITECHmount PLB-120,,2890,1,https://comfy.ua/kreplenie-dlja-televizora-itechmount-plb-120.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
903158803,,,,,1772578,Телевизоры и мультимедиа >> Аксессуары для ТВ,brateck,Кріплення для телевізора Brateck KL21G-22T,,295,1,https://comfy.ua/kreplenie-dlja-televizora-brateck-kl21g-22t.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
903159105,6891451,ФРЕКЕН БОК,Валик для чистки одежды ФРЕКЕН БОК 5м (11600590),49,1754170,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Валики и щетки для одежды >> Валики и щетки для одежды Фрекен Бок",freken-bok,Валик для чищення одягу Фрекен Бок 5 м (4823071628258),,49,1,https://comfy.ua/valiki-dlja-chistki-odezhdy-freken-bok-5-m-4823071628258.html,61,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,3
903159467,6208582,BOSCH,"Клеевой пистолет BOSCH PKP 3,6 Li (0603264620)",3432,1801153,Инструменты и автотовары >> Электроинструменты >> Клеевые пистолеты >> Клеевые пистолеты Bosch,bosch,Клейовий пістолет Bosch PKP 3.6 LI (0.603.264.620),,3435,1,https://comfy.ua/kleevoj-pistolet-bosch-pkp-3-6-li-0-603-264-620.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
903162300,,,,,.1799490,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway HP CF244A M15/M28 (CW-H244M),,899,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-colorway-hp-cf244a-m15-m28-cw-h244m.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
903162554,6733235,REAL EL,"Саундбар REAL EL S-180, black",899,1810237,Телевизоры и мультимедиа >> Мультимедиа и звук >> Саундбары и сабвуферы >> Саундбары и сабвуферы REAL-EL,real-el,Саундбар REAL-EL S-180 Black (EL121100012),,899,1,https://comfy.ua/saundbar-real-el-s-180-black-el121100012.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
903545078,,,,,.1803126,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Захисне скло для смартфону XOKO Full Glue for Samsung A42 Black (XK-SM-FGLA42-BK),,49,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-xoko-full-glue-for-samsung-a42-black-xk-sm-fgla42-bk.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
903546285,,,,,.1806924,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Захисне скло для смартфону Intaleo for Oppo A74 Full Glue Black (1283126512711),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-intaleo-for-oppo-a74-full-glue-black-1283126512711.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
903577726,,,,,1803123,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Підставка для мобільного пристрою XOKO и планшета RM-C300 Black (XK-RM-C300BK),,169,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xoko-i-plansheta-rm-c300-black-xk-rm-c300bk.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
903577727,,,,,.1803124,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Підставка для мобільного пристрою XOKO и планшета RM-C300 White (XK-RM-C300WT),,169,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xoko-i-plansheta-rm-c300-white-xk-rm-c300wt.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
903577733,,,,,1810827,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Promate,promate,Автотримач Promate Mount-2 Black,,199,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-promate-mount-2-black-1.html,349,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
903600189,6629602,PHILIPS,Фильтр для очистителя воздуха PHILIPS FY3430/30,4199,1720172,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Philips,philips,Фільтр до очищувача повітря Philips FY3430/30 3 Nano Protect,,4199,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-philips-fy3430-30-3-nano-protect.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
903600192,6629603,PHILIPS,Фильтр-картридж PHILIPS FY3435/30,1299,1690783,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Philips,philips,Фільтр до очищувача повітря Philips FY3435/30 NanoCloud,,1299,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-philips-fy3435-30-nanocloud.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
903600192,6658050,PHILIPS,Фильтр для очистителя воздуха PHILIPS NanoCloud FY3435/30,1299,1690783,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Philips,philips,Фільтр до очищувача повітря Philips FY3435/30 NanoCloud,,1299,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-philips-fy3435-30-nanocloud.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
903600199,6443701,PHILIPS,Фильтр PHILIPS FY5156/10,749,1784039,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Philips,philips,Фільтр до зволожувача повітря Philips FY5156/10,,749,1,https://comfy.ua/fil-tr-dlja-uvlazhnitelja-vozduha-philips-fy5156-10.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
903600201,6443698,PHILIPS,Фильтр PHILIPS FY1114/10,1399,1784038,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Philips,philips,Фільтр до очищувача повітря Philips FY1114/10,,1399,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-philips-fy1114-10.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
903600204,6461528,PHILIPS,Фильтр PHILIPS FY2420/30,2099,1697867,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Philips,philips,Фільтр до зволожувача повітря Philips FY2420/30,,2099,1,https://comfy.ua/fil-tr-dlja-uvlazhnitelja-vozduha-philips-fy2420-30.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
903600206,,,,,1696998,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Philips,philips,Фільтр до зволожувача повітря Philips FY2422/30,,2599,1,https://comfy.ua/fil-tr-dlja-uvlazhnitelja-vozduha-philips-fy2422-30.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
907662100,,,,,.1731236,Красота и здоровье >> Уход за полостью рта,oromed,Зубна щітка електрична Oromed ORO-SONIC BASIC (Black),,2045,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-oromed-oro-sonic-basic-black.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
907662225,,,,,.1731246,Красота и здоровье >> Уход за полостью рта,oromed,Зубна щітка електрична Oromed ORO-SONIC BASIC (White),,2045,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-oromed-oro-sonic-basic-white.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
907662760,,,,,.1731250,Красота и здоровье >> Уход за полостью рта,oromed,Зубна щітка електрична Oromed ORO-SONIC KIDS BOY,,2899,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-oromed-oro-sonic-kids-boy.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
907865194,,,,,.1805745,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-710 Matte Black (2353C001AA),,18715,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-pfi-710-matte-black-2353c001aa.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
907865195,,,,,.1805746,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-710 Yellow (2357C001AA),,18715,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-pfi-710-yellow-2357c001aa.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
907865197,,,,,.1805747,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-710 Magenta (2356C001AA),,18715,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-pfi-710-magenta-2356c001aa.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
907865198,,,,,.1805748,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-710 Cyan (2355C001AA),,18715,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-pfi-710-cyan-2355c001aa.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
907941694,6533571,PHILIPS,Тостер PHILIPS Viva Collection HD2650/90,2799,1812371,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Philips,philips,Тостер Philips HD2650/90,,2799,1,https://comfy.ua/toster-philips-hd2650-90.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
908279130,6702829,GEMBIRD,Клавиатура GEMBIRD KB-UM-107-UA,279,1806827,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gembird,Клавіатура дротова Gembird KB-UM-107-UA,,229,1,https://comfy.ua/catalog/product/view/id/2497833,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,1
908303783,6725381,VIBE,Автомобильная акустика Vibe SLICK6C-V7,3099,1806317,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Vibe,vibe,Автоакустика Vibe SLICK6C-V7,,3099,1,https://comfy.ua/avtoakustika-vibe-slick6c-v7.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
908362544,6755178,ARTLINE,Моноблок ARTLINE Business G42 (G42v16),16968,1787032,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business G42 (G42v16),,15585,1,https://comfy.ua/komp-juter-monoblok-artline-business-g42-g42v16.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
908362547,6755179,ARTLINE,Моноблок ARTLINE Business G42 (G42v16Win),18185,1787033,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business G42 (G42v16Win),,16759,1,https://comfy.ua/komp-juter-monoblok-artline-business-g42-g42v16win.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
909681629,6702829,GEMBIRD,Клавиатура GEMBIRD KB-UM-107-UA,279,1806827,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Gembird",gembird,Клавіатура дротова Gembird KB-UM-107-UA,,229,1,https://comfy.ua/klaviatura-provodnaja-gembird-kb-um-107-ua.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,1
909681635,6702831,MAXXTER,Комплект Maxxter USB Black (KMS-CM-02-UA),309,1806829,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Maxxter",maxxter,Клавіатура+миша Maxxter KMS-CM-02-UA,,309,1,https://comfy.ua/klaviatura-mysh-maxxter-kms-cm-02-ua.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
909683948,6706210,PHILIPS,Набор насадок PHILIPS HX9092/10 2 шт A3 Premium All-in-1 White,1499,1812976,Красота и здоровье >> Уход за полостью рта,philips,Насадка для зубної щітки Philips HX9092/10,,1499,1,https://comfy.ua/catalog/product/view/id/2508263,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
909790249,,,,,1812093,Техника для кухни >> Крупная техника,prime-technics,Мікрохвильова піч (НВЧ) Prime Technics PMW 2075-8 SB,,2239,1,https://comfy.ua/catalog/product/view/id/2508933,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
909946693,,,,,1812094,Техника для кухни >> Крупная техника,prime-technics,Мікрохвильова піч (НВЧ) Prime Technics PMW 2075-8 SО,,2699,1,https://comfy.ua/catalog/product/view/id/2509313,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
910149364,6712055,LOGITECH,Гарнитура LOGITECH G333 Black (L981-000924),2599,1808373,"Аудио, фото и видео >> Наушники",logitech,Навушники вкладиші дротові Logitech G333 Black (981-000924),,2099,1,https://comfy.ua/catalog/product/view/id/2510503,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
910239981,7089518,SKG,Массажер SKG 4356E White (723341),999,1803182,Красота и здоровье >> Здоровье,skg,Масажер для шиї SKG 4356E White,,999,1,https://comfy.ua/massazher-dlja-shei-xiaomi-skg-4356e-white.html,1299,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
910760961,6707799,PRIME TECHNICS,Микроволновая печь PRIME TECHNICS PMW 2075-8 SО,2697,1812094,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Prime Technics,prime-technics,Мікрохвильова піч (НВЧ) Prime Technics PMW 2075-8 SО,,2699,1,https://comfy.ua/mikrovolnovaja-pech-svch-prime-technics-pmw-2075-8-so.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
910760962,6707798,PRIME TECHNICS,Микроволновая печь PRIME TECHNICS PMW 2075-8 SB,2239,1812093,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Prime Technics,prime-technics,Мікрохвильова піч (НВЧ) Prime Technics PMW 2075-8 SB,,2239,1,https://comfy.ua/mikrovolnovaja-pech-svch-prime-technics-pmw-2075-8-sb.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
