1689101299,column,column,column,column,2541273,______________fiskars,fiskars,_fiskars_quikfit_1000680,column,549,1,httpscomfyuarazryhlitelfiskarsquikfit1000680html,column,05112025_2117,column,__42,Фастів,0
1689102115,,,,,2964895,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки SQUISHMALLOWS,squishmallows,М'яка іграшка SQUISHMALLOWS МОНСТРИК ШОН (SQCR05420),,399,1,https://comfy.ua/mjagkaja-igrushka-geroj-squishmallows-monstrik-shon-sqcr05420.html,595,05.11.2025 23:30,,"вул. Соборна, 42",Фастів,0
1689102117,,,,,2964897,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки SQUISHMALLOWS,squishmallows,М'яка іграшка SQUISHMALLOWS КАВУН ВАНДА (SQCR05422),,399,1,https://comfy.ua/mjagkaja-igrushka-geroj-squishmallows-arbuz-vanda-sqcr05422.html,595,06.11.2025 0:34,,"вул. Соборна, 42",Фастів,0
1689102120,,,,,2964900,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки SQUISHMALLOWS,squishmallows,М'яка іграшка SQUISHMALLOWS ЯГНЯ ЛАЛА (SQCR05611),,399,1,https://comfy.ua/mjagkaja-igrushka-geroj-squishmallows-jagnenok-lala-sqcr05611.html,595,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0
1689102122,,,,,2964902,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки SQUISHMALLOWS,squishmallows,М'яка іграшка SQUISHMALLOWS ДРАКОН ФЛАННЕРІ (SQCR00341),,399,1,https://comfy.ua/mjagkaja-igrushka-geroj-squishmallows-drakon-flanneri-sqcr00341.html,595,05.11.2025 23:30,,"вул. Соборна, 42",Фастів,0
1689102123,7061066,SQUISHMALLOWS,Мягкая игрушка SQUISHMALLOWS ЛАБРАДОР СТЕВАН 30 cм (SQCR00342),595,2964903,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки SQUISHMALLOWS,squishmallows,М'яка іграшка SQUISHMALLOWS ЛАБРАДОР СТЕВАН (SQCR00342),,399,1,https://comfy.ua/mjagkaja-igrushka-geroj-squishmallows-labrador-stevan-sqcr00342.html,595,05.11.2025 22:45,,"вул. Соборна, 42",Фастів,0
1689102124,,,,,2964904,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки SQUISHMALLOWS,squishmallows,М'яка іграшка SQUISHMALLOWS РОЖОВА ВИДРА (SQCR00344),,399,1,https://comfy.ua/mjagkaja-igrushka-geroj-squishmallows-rozovaja-vydra-sqcr00344.html,595,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0
1689102310,7037967,TWISTSHAKE,Бутылочка TWISTSHAKE 180мл Pearl Grey (78378),329,2957345,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Twistshake",twistshake,Пляшка для годування Twistshake Pearl Grey 180 мл (78378),,329,1,https://comfy.ua/butylochka-dlja-kormlenija-twistshake-pearl-grey-180-ml-78378.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1689102463,6856348,SAMTRONIC,Саундбар SAMTRONIC SM3100 100 Вт Черный (SM3100),7955,2768135,Телевизоры и мультимедиа >> Мультимедиа и звук >> Саундбары и сабвуферы >> Саундбары и сабвуферы Samtronic,samtronic,Саундбар Samtronic SM2126,,7955,1,https://comfy.ua/saundbar-samtronic-sm3100.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1689102828,6967253,POWERPLANT,Аккумулятор POWERPLANT для BLACK&DECKER 2.0Ah LBXR36 (TB921843),1399,2918972,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства PowerPlant,powerplant,Акумулятор для електроінструментів PowerPlant BLACKDECKER 2.0Ah LBXR36 (TB921843),,630,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-blackdecker-2-0ah-lbxr36-tb921843.html,1399,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1689102829,6935695,POWERPLANT,Аккумулятор POWERPLANT Ryobi 18V 4.0Ah Li-ion P108 (TB921430),1799,2566575,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства PowerPlant,powerplant,Акумулятор для електроінструментів PowerPlant Ryobi 18V 4.0AH Li-ion (TB921430),,1799,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-ryobi-18v-4-0ah-li-ion-tb921430.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1689102831,6970311,EINHELL,Зарядное устройство EINHELL PXC Boostcharger 8A (4512155),2994,2822350,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Einhell,einhell,З/П до акумуляторної батареї для електроінструментів Einhell PXC Boostcharger 8А (4512155),,2995,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-einhell-pxc-boostcharger-8a-4512155.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1689102844,,,,,2692532,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Milwaukee,milwaukee,Акумулятор для електроінструментів Milwaukee M12 NRG-202 + заряд.пристрій (4933459209),,5979,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-milwaukee-m12-nrg-202-zarjad-ustrojstvo-4933459209.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1689102845,6967254,POWERPLANT,Аккумулятор POWERPLANT для MAKITA 193127-4 24V 3Ah Ni-MH (TB921904),4599,2918970,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства PowerPlant,powerplant,Акумулятор для електроінструментів PowerPlant MAKITA 193127-4 24V 3Ah Ni-MH (TB921904),,4599,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-makita-193127-4-24v-3ah-ni-mh-tb921904.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
