1258816873,6776609,RITTER,Нож для нарезки Ritter 19.8 см (29-305-011),217,1970937,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ritter,ritter,Ніж слайсерний Ritter 29-305-011 19.8 см,,219,1,https://comfy.ua/nozh-slajsernyj-ritter-29-305-011-19-8-sm.html,292,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1258816874,6776608,RITTER,Нож поварской RITTER 19.7 см (29-305-010),216,1970936,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ritter,ritter,Ніж кухаря Ritter 29-305-010 19.7 см,,230,1,https://comfy.ua/nozh-povara-ritter-29-305-010-19-7-sm.html,306,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1258817171,6911195,GUSTO,Кастрюля GUSTO Premium 2.1 л Серебряные этюды (GT-T-116-SE),872,1943617,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Gusto,gusto,"Каструля Gusto Срібні етюди Premium 16 см 2,1 л (GT-T-116-SE)",,872,1,https://comfy.ua/kastrjulja-gusto-serebrjanye-jetjudy-premium-16-sm-2-1-l-gt-t-116-se.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1258819066,,,,,.1962757,Посуда >> Для приготовления,lessner,Сковорода універсальна Lessner Chocolate Line 24 см (88364-24),,699,1,https://comfy.ua/skovoroda-universal-naja-lessner-chocolate-line-24-sm-88364-24.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1258819067,6577619,BERLINGER HAUS,Сковорода для блинов BERLINGER HAUS Stone Touch Line 25 см Grey (BH-1164N),1258,1954628,Посуда >> Для приготовления >> Сковороды >> Сковороды BerlingerHaus,berlingerhaus,Сковорода для млинців BerlingerHaus Stone Touch Line 25 см (BH-1164N),,1258,1,https://comfy.ua/skovoroda-dlja-blinov-berlingerhaus-stone-touch-line-25-sm-bh-1164n.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1258823379,,,,,1954623,Посуда >> Для приготовления >> Кастрюли >> Кастрюли BerlingerHaus,berlingerhaus,Каструля BerlingerHaus Purple Eclipse 6.1 л (BH 6630),,2059,1,https://comfy.ua/kastrjulja-berlingerhaus-purple-eclipse-6-1-l-bh-6630.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1258824172,,,,,1983607,Детские товары >> Игрушки,strateg,Настільна гра (12+) Strateg Дуже страшна гра (30433),,55,1,https://comfy.ua/catalog/product/view/id/3786933,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1258826849,,,,,1962758,Посуда >> Для приготовления >> Сковороды >> Сковороды Lessner,lessner,Сковорода універсальна Lessner Chocolate Line 26 см (88364-26),,790,1,https://comfy.ua/skovoroda-universal-naja-lessner-chocolate-line-26-sm-88364-26.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1258826851,,,,,1962759,Посуда >> Для приготовления >> Сковороды >> Сковороды Lessner,lessner,Сковорода універсальна Lessner Chocolate Line 28 см (88364-28),,839,1,https://comfy.ua/skovoroda-universal-naja-lessner-chocolate-line-28-sm-88364-28.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1258826855,,,,,1538559,Телевизоры и мультимедиа >> Аксессуары для ТВ,eagle,Кріплення для телевізора Eagle TV4234,,969,1,https://comfy.ua/kreplenie-dlja-televizora-eagle-tv4234.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
