1643309569,column,column,column,column,2726665,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_apple_iphone_141313_pro_arm60108,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartforappleiphone141313proarm60108html,column,05112025_1937,column,__42,Фастів,0
1643309588,,,,,.2723537,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi 13 Lite 5G (ARM66573),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-13-lite-5g-arm66573.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1643309589,,,,,.2723528,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Xiaomi Redmi 9С (ARM62740),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-xiaomi-redmi-9s-arm62740.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1643309591,,,,,.2723521,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for OPPO Reno7 4G / Reno7 Lite 5G (ARM61144),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-oppo-reno7-4g-reno7-lite-5g-arm61144.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1643309593,,,,,.2723520,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Xiaomi Mi 11T / 11T Pro (ARM60140),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-xiaomi-mi-11t-11t-pro-arm60140.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1643309594,,,,,.2723526,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Xiaomi Redmi Note 11S (ARM62261),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-xiaomi-redmi-note-11s-arm62261.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1643309595,,,,,2723532,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart на зовнішній дисплей for Samsung Fold4 5G (SM-F936) (ARM65060),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-na-vneshnij-displej-for-samsung-fold4-5g-sm-f936-arm65060.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1643309597,,,,,.2723525,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Redmi Note 11S (ARM62260),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-redmi-note-11s-arm62260.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1643309739,6937069,ARDESTO,Кофемолка ARDESTO KGC-1508W,599,2748214,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Ardesto,ardesto,Кавомолка Ardesto KGC-1508W,,549,1,https://comfy.ua/kofemolka-ardesto-kgc-1508w.html,599,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1643310077,,,,,.2736251,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Redmi Note 8 / Note 8 2021 (ARM70118),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-redmi-note-8-note-8-2021-arm70118.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1643310078,,,,,.2736240,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Nokia G60 5G (ARM63950),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-nokia-g60-5g-arm63950.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
