1445786929,column,column,column,column,2252929,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractaldesign,_fractal_design_atx___pop_mini_air_rgb_black_tg_fdcpor1m06,column,5919,1,httpscomfyuakorpusfractaldesignatxbezbppopminiairrgbblacktgfdcpor1m06html,column,05112025_1920,column,__42,Фастів,0
1445907519,6895399,DEANTE,Мойка DEANTE Corda (ZQA_S10C),7199,2236433,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Deante",deante,Мийка кухонна Deante Corda (ZQA_S10C),,7199,1,https://comfy.ua/mojka-kuhonnaja-deante-corda-zqa-s10c.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1445907531,6905236,DEANTE,Мойка DEANTE Corio ZRC_2113 + смеситель BME_024N (ZRCP2113),5899,2236435,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Deante",deante,Мийка кухонна+змішувач Deante Corio ZRC_2113+BME_024N (ZRCP2113),,6999,1,https://comfy.ua/mojka-kuhonnaja-smesitel-deante-corio-zrc-2113-bme-024n-zrcp2113.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1445907551,6895402,DEANTE,Мойка DEANTE Egeria (ZPE_010B),6499,2236439,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Deante",deante,Мийка кухонна Deante Egeria (ZPE_010B),,6499,1,https://comfy.ua/mojka-kuhonnaja-deante-egeria-zpe-010b.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1445908413,6895409,DEANTE,Мойка DEANTE Olfato (ZPO_010B),7499,2236442,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Deante",deante,Мийка кухонна Deante Olfato (ZPO_010B),,7499,1,https://comfy.ua/mojka-kuhonnaja-deante-olfato-zpo-010b.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1445909732,6896137,WORK'S,Паяльник WORK'S 100W W60110 (31043),278,1541152,Инструменты и автотовары >> Электроинструменты >> Паяльники >> Паяльники Works,works,Паяльник Works W60110,,445,1,https://comfy.ua/pajal-nik-works-w60110.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
1445909814,6842047,ECG,Плитка ECG EV 2512 Stainless,2165,2251410,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты ECG,ecg,Плита електрична настільна ECG EV 2512 Stainless,,2165,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-ecg-ev-2512-stainless.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1445911273,6833941,KIVI,Телевизор KIVI 32H550NB,5599,2242915,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры KIVI,kivi,Телевізор KIVI 32H550NB,,5599,1,https://comfy.ua/televizor-kivi-32h550nb.html,5999,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1445913915,6839704,MIELE,Пылесос MIELE SMUL1 01 TRIFLEX HX1 Белый лотос/Красный (41MUL101UA),20125,2255131,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Miele,miele,Пилосос ручний для дому Miele SMUL1 01 TRIFLEX HX1 Білий лотос/Червоний,,20125,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-miele-smul1-01-triflex-hx1-belyj-lotos-krasnyj.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1445913918,6839708,MIELE,Пылесос MIELE TRIFLEX HX2 Cat & Dog SOML0 30 Obsidian Black (41OML030UA),32399,2255134,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Miele,miele,Пилосос ручний для дому Miele SOML0 30 Triflex HX2 C&D,,32399,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-miele-soml0-30-triflex-hx2-c-d.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1445913919,6839709,MIELE,Пылесос MIELE TRIFLEX HX2 Performance SOML5 30 Gray Cashmere (41OML530UA),33869,2255135,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Miele,miele,Пилосос ручний для дому Miele SOML5 30 TriflexHX2 Performance,,33869,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-miele-soml5-30-triflexhx2-performance.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1445913920,6839710,MIELE,Пылесос MIELE TRIFLEX HX2 Runner SOML5 31 Obsidian Black (41OML531UA),43889,2255136,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Miele,miele,Пилосос ручний для дому Miele SOML5 31 TRIFLEX HX2 Runner,,43889,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-miele-soml5-31-triflex-hx2-runner.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1445919749,6840573,RUSSELL HOBBS,Утюг RUSSELL HOBBS Light & Easy Brights Berry (26480-56),1299,2252264,Техника для дома >> Мелкая техника >> Утюги >> Утюги Russell Hobbs,russell-hobbs,Праска Russell Hobbs 26480-56 Light&Easy Brights Berry Iron,,1299,1,https://comfy.ua/utjug-russell-hobbs-26480-56-light-easy-brights-berry-iron.html,1599,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1445919811,6840572,RUSSELL HOBBS,Утюг RUSSELL HOBBS Light & Easy Pro White/Pink (26461-560),1499,2252263,Техника для дома >> Мелкая техника >> Утюги >> Утюги Russell Hobbs,russell-hobbs,Праска Russell Hobbs 26461-56 Light&Easy Pro Iron,,1499,1,https://comfy.ua/utjug-russell-hobbs-26461-56-light-easy-pro-iron.html,1899,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1445949475,6837313,PHILIPS,Кофемашина PHILIPS EP0820/00,14999,2247735,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Philips,philips,Кавомашина Philips EP0820/00,,14999,1,https://comfy.ua/kofemashina-philips-ep0820-00.html,20999,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1445957249,6558793,MYSTERY,Телевизор MYSTERY MTV-2450HST2,4399,2251314,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Mystery,mystery,Телевізор Mystery MTV-2450HST2 LED,,3999,1,https://comfy.ua/televizor-mystery-mtv-2450hst2-led.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1445957560,6867799,ENCHEN,Роликовая пилка ENCHEN Xiaomi Foot Callus Remover Rock White,549,2238742,Красота и здоровье >> Уход за телом >> Маникюрные наборы >> Маникюрные наборы Enchen,enchen,Електрична роликова пилка Enchen Rock,,449,1,https://comfy.ua/jelektricheskaja-rolikovaja-pilka-enchen-rock.html,799,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1445959350,6825210,KITCHENAID,"Кухонный комбайн KITCHENAID 1,7 л 5KFP0719EAC Almond Cream",8299,2185586,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFP0719EAC,,7469,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfp0719eac.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1445963415,,,,,2226603,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",xp-pen,Графічний планшет XP-Pen Deco Pro M,,6889,1,https://comfy.ua/graficheskij-planshet-xp-pen-deco-pro-m.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1445966089,7160467,DELONGHI,Coffee/espresso DELONGHI Stilosa EC235.BK,4599,1668212,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Delonghi,delonghi,Кавоварка ріжкова Delonghi EC235.BK,,4799,1,https://comfy.ua/kofevarka-rozhkovaja-delonghi-ec235-bk.html,6599,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
