1027468737,6719192,bref,__bref_____42___3__9000101509151,159,1854430,________________bref,bref,__bref_____42__3__9000101509151,column,159,1,httpscomfyuatualetnyjblokbrefblestjaschijgelarkticheskijokean42g3sht9000101509151html,225,05112025_1942,column,__42,Фастів,0
1027468737,6719192,BREF,Туалетный блок Bref Блестящий гель Арктический океан 42 г х 3 шт (9000101509151),159,1854430,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Bref,bref,Туалетний блок Bref Блискучий гель Арктичний океан 42 г 3 шт. (9000101509151),,159,1,https://comfy.ua/tualetnyj-blok-bref-blestjaschij-gel-arkticheskij-okean-42-g-3-sht-9000101509151.html,225,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1027468781,,,,,1856887,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Sodasan,sodasan,Засіб для чищення унітазу Sodasan 750 мл (4019886020701),,338,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-sodasan-750-ml-4019886020701.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1027468784,6701165,САН КЛІН,Средство для чистки унитаза САН КЛІН 5 л (4820003543047),339,1850364,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза San Clean,san-clean,Засіб для чищення унітазу San Clean Сантік блакитний 5 л (4820003543047),,324,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-san-klin-santik-goluboj-5-l-4820003543047.html,380,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1027475554,7021667,GLADE,Освежитель воздуха Glade Японский сад сменный баллончик 10 мл (5000204078565),102,1849569,Бытовая химия >> Все для уборки >> Освежители >> Освежители SC Johnson,sc-johnson,Змінний балон до освіжувача повітря SC Johnson Японський сад 10 мл (5000204078565),,86,1,https://comfy.ua/smennyj-balon-k-osvezhitelju-vozduha-sc-johnson-japons-kij-sad-10-ml-5000204078565.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1027480335,6884806,CILLIT BANG,Средство для уборки туалетов CILLIT BANG Сила отбеливания 750 мл (3038222),99,1842676,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Cillit Bang,cillit-bang,Засіб для чищення унітазу Cillit Bang Сила відбілювання 750 мл (5900627061543),,99,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-cillit-bang-sila-otbelivanija-750-ml-5900627061543.html,125,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1027480336,6719193,BREF,Туалетный блок Bref Блестящий гель Весенний дождь 42 г х 3 шт (9000101509069),149,1854431,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Bref,bref,Туалетний блок Bref Блискучий гель Весняний дощ 42 г 3 шт. (9000101509069),,149,1,https://comfy.ua/tualetnyj-blok-bref-blestjaschij-gel-vesennij-dozhd-42-g-3-sht-9000101509069.html,225,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1027480358,7024666,MAESTRO,Мыло хозяйственное MAESTRO для детского белья 125г (4820195500019),18,1849559,Бытовая химия >> Средства для стирки >> Хозяйственное мыло >> Хозяйственное мыло Grand Шарм,grand-sharm,Мило господарське Grand Шарм 72% для прання дитячої білизни 125 г (4820195500019),,25,1,https://comfy.ua/mylo-hozjajstvennoe-grand-sharm-72-dlja-stirki-detskogo-bel-ja-125-g-4820195500019.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1027480360,7024664,MAESTRO,hyg MAESTRO Мило INTENSIVE Д/ПЛЯМ 125г,19,1849558,Бытовая химия >> Средства для стирки >> Хозяйственное мыло >> Хозяйственное мыло Grand Шарм,grand-sharm,Мило господарське Grand Шарм Інтенсив для видалення плям 125 г (4820195502600),,25,1,https://comfy.ua/mylo-hozjajstvennoe-grand-sharm-intensiv-dlja-udalenija-pjaten-125-g-4820195502600.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1027480362,7024697,МИЛОВАРНІ ТРАДИЦІЇ,Хозяйственное мыло Мыловаренные традиции Traditional soap 72% 500 мл (4820195505052),32,1852793,Бытовая химия >> Средства для стирки >> Хозяйственное мыло >> Хозяйственное мыло Миловарні традиції,milovarni-tradicii,Мило господарське Миловарні традиції Traditional soap 72% 500 мл (4820195505052),,34,1,https://comfy.ua/mylo-hozjajstvennoe-mylovarennye-tradicii-traditional-soap-72-500-ml-4820195505052.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1027480366,7024689,MAESTRO,Хозяйственное мыло Maestro Delicate 500 мл (4820195505090),33,1854740,Бытовая химия >> Средства для стирки >> Хозяйственное мыло >> Хозяйственное мыло Maestro,maestro,Мило господарське Maestro Delicate 500 мл (4820195505090),,47,1,https://comfy.ua/mylo-hozjajstvennoe-maestro-delicate-500-ml-4820195505090.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1027480368,7024688,MAESTRO,Хозяйственное мыло Maestro Delicate 1000 мл (4820195505410),59,1852790,Бытовая химия >> Средства для стирки >> Хозяйственное мыло >> Хозяйственное мыло Maestro,maestro,Мило господарське Maestro Delicate 1000 мл (4820195505410),,83,1,https://comfy.ua/mylo-hozjajstvennoe-maestro-delicate-1000-ml-4820195505410.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1027480440,7021664,GLADE,Освежитель воздуха Glade Лазурная волна и магнолия 10 мл. (5000204076059),154,1849568,Бытовая химия >> Все для уборки >> Освежители >> Освежители SC Johnson,sc-johnson,Змінний балон до освіжувача повітря SC Johnson Лазурова хвиля та магнолія 10 мл (5000204076059),,123,1,https://comfy.ua/smennyj-balon-k-osvezhitelju-vozduha-sc-johnson-lazurnaja-volna-i-magnolija-10-ml-5000204076059.html,154,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
