819711444,column,column,column,column,1711140,___________interline,interline,__interline_brut_avena,column,4299,1,httpscomfyuamojkakuhonnajainterlinebrutavenahtml,5399,05112025_2029,column,__42,Фастів,0
819711531,,,,,1765614,"Дом, отдых и зоотовары >> Текстиль >> Кухонный текстиль >> Кухонный текстиль Tescoma",tescoma,"Серветка для сервірування tescoma Flair Lounge, 45 x 32 см Червона (662200.2)",,449,1,https://comfy.ua/salfetka-dlja-servirovki-tescoma-flair-lounge-45-x-32-sm-krasnaja-662200-2.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
819711540,,,,,1695531,"Дом, отдых и зоотовары >> Текстиль",tescoma,Прихватка tescoma 630822 Delicia,,299,1,https://comfy.ua/prihvatka-tescoma-630822-delicia.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
819711548,,,,,1689009,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Tescoma,tescoma,Ємність для сипучих tescoma 894620 Fiesta 0.5 л,,1099,1,https://comfy.ua/emkost-dlja-sypuchih-tescoma-894620-fiesta-0-5-l.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
819711595,,,,,1720704,"Дом, отдых и зоотовары >> New Year",yes-fun,"Гірлянда-штора YES! Fun вулична, 30 лампочок, молочно-біла, 3.1 м (801134)",,305,1,https://comfy.ua/girljanda-shtora-yes-fun-ulichnaja-30-lampochek-molochno-belaja-3-1-m-801134.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
819711597,6774197,COLOR WAY,Светодиодная гирлянда COLORWAY с прищепками для фото 20LED 3 м Warm White (CW-LCP-20L30B),269,1704612,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,"Гірлянда лінійна Colorway 20LED, 3м, з прищіпками для фото (CW-LCP-20L30B)",,269,1,https://comfy.ua/girljanda-linejnaja-colorway-20led-3m-s-prischepkami-dlja-foto-cw-lcp-20l30b.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
819711600,6774198,COLOR WAY,Светодиодная гирлянда COLORWAY с прищепками для фото 40LED 4.2 м Warm White (CW-LCP-40L42B),299,1704615,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,"Гірлянда лінійна Colorway 40LED, 4.2м, з пріщекамі для фото (CW-LCP-40L42B)",,299,1,https://comfy.ua/girljanda-linejnaja-colorway-40led-4-2m-s-prischekami-dlja-foto-cw-lcp-40l42b.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
819711601,6774196,COLOR WAY,Светодиодная гирлянда COLORWAY с прищепками для фото 40LED 4.2 м Warm White (CW-LCP-40L42BU),349,1704661,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,"Гірлянда лінійна Colorway 40LED, 4.2м, з прищіпками для фото, USB (CW-LCP-40L42BU)",,349,1,https://comfy.ua/girljanda-linejnaja-colorway-40led-4-2m-s-prischepkami-dlja-foto-usb-cw-lcp-40l42bu.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
819711619,6774195,COLOR WAY,Светодиодная гирлянда COLORWAY с прищепками для фото 20LED 3 м Warm White (CW-LCP-20L30BU),299,1704659,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,"Гірлянда лінійна Colorway 20LED, 3м, з прищіпками для фото, USB (CW-LCP-20L30BU)",,299,1,https://comfy.ua/girljanda-linejnaja-colorway-20led-3m-s-prischepkami-dlja-foto-usb-cw-lcp-20l30bu.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
819711679,,,,,1649594,Посуда >> Для сервировки,berghoff,Молочник Berghoff 1106021A,,499,1,https://comfy.ua/molochnik-berghoff-1106021a.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
819711690,7061401,JOSEPH JOSEPH,Миска JOSEPH JOSEPH для фисташек (20156),1765,1776932,Посуда >> Для сервировки >> Прочие предметы сервировки >> Прочие предметы сервировки Joseph Joseph,joseph-joseph,Менажниця Joseph Joseph подвійна 20156,,1196,1,https://comfy.ua/menazhnica-joseph-joseph-dvojnaja-20156.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
819711696,,,,,1684332,Посуда >> Для сервировки,wmf,Піднос WMF 610206200 CLUB 54x32 см Black,,5299,1,https://comfy.ua/podnos-wmf-610206200-club-54x32-sm-black.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
819711713,6884356,AIR WICK,Сменный баллон для освежителя Air Wick Нежность шелка и лилии 250 мл (3239883),167,1767355,Бытовая химия >> Все для уборки,air-wick,Змінний балон до освіжувача повітря Air Wick Ніжність шовку і лілії 250 мл,,148,1,https://comfy.ua/smennyj-balon-k-osvezhitelju-vozduha-air-wick-nezhnost-shelka-i-lilii-250-ml.html,190,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
819711715,6884831,AIR WICK,Сменный баллон для освежителя Air Wick Pure Цветущая вишня 250 мл (3039104),148,1767363,Бытовая химия >> Все для уборки >> Освежители >> Освежители Air Wick,air-wick,Змінний балон до освіжувача повітря Air Wick Квітуча вишня 250 мл,,148,1,https://comfy.ua/smennyj-balon-k-osvezhitelju-vozduha-air-wick-cvetuschaja-vishnja-250-ml.html,190,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
819711716,6884830,AIR WICK,Сменный баллон для освежителя Air Wick Pure Весеннее настроение 250 мл (3039103),111,1767348,Бытовая химия >> Все для уборки >> Освежители >> Освежители Air Wick,air-wick,Змінний балон до освіжувача повітря Air Wick Весняний настрій 250 мл,,185,1,https://comfy.ua/smennyj-balon-k-osvezhitelju-vozduha-air-wick-vesennee-nastroenie-250-ml.html,190,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
819711718,6884832,AIR WICK,Сменный баллон для освежителя Air Wick Freshmatic Райские цветы 250 мл (3239881),148,1765500,Бытовая химия >> Все для уборки,air-wick,Змінний балон до освіжувача повітря Air Wick Райські квіти 250 мл,,148,1,https://comfy.ua/osvezhitel-vozduha-ajerozol-nyj-air-wick-rajskie-cvety-250-ml.html,190,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
819711720,6884834,AIR WICK,Сменный баллон для освежителя Air Wick Freshmatic Life Scents Сказочный сад 250 мл (3006452),162,1767358,Бытовая химия >> Все для уборки >> Освежители >> Освежители Air Wick,air-wick,Змінний балон до освіжувача повітря Air Wick Казковий сад 250 мл,,148,1,https://comfy.ua/smennyj-balon-k-osvezhitelju-vozduha-air-wick-skazochnyj-sad-250-ml.html,190,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
819711722,6884827,AIR WICK,Аэрозольный освежитель воздуха Air Wick Pure Цветущая вишня 250 мл (3021027),148,1765502,Бытовая химия >> Все для уборки >> Освежители >> Освежители Air Wick,air-wick,Освіжувач повітря аерозольний Air Wick спрей Вишневий цвіт 250 мл,,134,1,https://comfy.ua/osvezhitel-vozduha-ajerozol-nyj-air-wick-sprej-vishnevyj-cvet-250-ml.html,173,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
819711728,6884833,AIR WICK,Сменный баллон для освежителя Air Wick Freshmatic Life Scents Утро в лесу 250 мл (3135773),148,1449456,Бытовая химия >> Все для уборки,air-wick,"Змінний балон до освіжувача повітря Air Wick Лісова прохолода, 250 мл",,148,1,https://comfy.ua/smennyj-balon-k-osvezhitelju-vozduha-air-wick-lesnaja-prohlada-250-ml.html,190,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
819711738,,,,,1770102,"Дом, отдых и зоотовары >> Декор для дома",frosch,Аромадифузор для кімнати Frosch Оазис Освіжувач повітря з натур.маслом Лимонна трава 90 мл,,379,1,https://comfy.ua/osvezhitel-vozduha-dlja-komnaty-frosch-oazis-osvezhitel-vozduha-s-natur-maslom-limonnaja-trava-90-ml.html,541,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
819711747,6884355,AIR WICK,Сменный баллон для освежителя Air Wick Магнолия и цветущая вишня 250 мл (227918),164,1767354,Бытовая химия >> Все для уборки >> Освежители >> Освежители Air Wick,air-wick,Змінний балон до освіжувача повітря Air Wick Магнолія і квітуча вишня 250 мл,,148,1,https://comfy.ua/smennyj-balon-k-osvezhitelju-vozduha-air-wick-magnolija-i-cvetuschaja-vishnja-250-ml.html,190,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
819711760,6631314,VINZER,Масленка Vinzer (50242),672,1694924,Посуда >> Для сервировки >> Прочие предметы сервировки >> Прочие предметы сервировки Vinzer,vinzer,Маслянка Vinzer 50242,,672,1,https://comfy.ua/maslenka-vinzer-50242.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
819711834,,,,,1752981,Бытовая химия >> Все для уборки,tescoma,Щітка для миття скла tescoma 900940 ProfiMate,,399,1,https://comfy.ua/schetka-dlja-mojki-stekla-tescoma-900940-profimate.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
