1053346444,,,,,1879694,"Дом, отдых и зоотовары >> Мебель >> Столы компьютерные >> Столы компьютерные Cougar",cougar,Стіл комп'ютерний Cougar Royal 150 White,,25999,1,https://comfy.ua/stol-komp-juternyj-cougar-royal-150-white.html,29999,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1053527455,,,,,1769991,Бытовая химия >> Все для уборки,dr-beckmann,Засіб для миття у ванній кімнаті Dr.BECKMANN Пена д/чистки нержавеющей стали 250 мл,,179,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-dr-beckmann-pena-d-chistki-nerzhavejuschej-stali-250-ml.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1053527456,,,,,1753939,Бытовая химия >> Все для уборки,sano,Засіб для миття у ванній кімнаті Sano 750 мл (7290000293561),,187,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-sano-750-ml-7290000293561.html,219,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1053527458,6710468,SANO,Средство для мытья акриловых ванн Sano Jet Bathroom 1 л (7290000287096),289,1751937,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Sano,sano,Засіб для миття у ванній кімнаті Sano для акрилових поверхонь 1 л (7290000287096),,217,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-sano-dlja-akrilovyh-poverhnostej-1-l-7290000287096.html,289,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1053527505,6481974,FINISH,Очиститель для посудомоечных машин Finish 3 шт (5900627073003),109,1663139,Бытовая химия >> Средства для посудомоечных машин >> Чистящие средства для ПММ >> Чистящие средства для ПММ Finish,finish,Засіб для чищення посудомийних машин Finish Dishwasher Cleaner таблетка 3 шт. (5900627073003),,124,1,https://comfy.ua/chistjaschee-sredstvo-dlja-posudomoechnyh-mashin-finish-dishwasher-cleaner-tabletka-3-sht-5900627073003.html,158,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,1
1053530430,7041676,TEKHMANN,Электролобзик TEKHMANN TJS-80/i20 (848395),1710,1818396,Инструменты и автотовары >> Электроинструменты >> Электролобзики >> Электролобзики Tekhmann,tekhmann,Електролобзик Tekhmann TJS-80/i20 (848395),,1709,1,https://comfy.ua/jelektrolobzik-tekhmann-tjs-80-i20-848395.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
1053532233,,,,,1023658,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров iTECH,itech,Кріплення для стелі iTECH Celb-54SHL,,2289,1,https://comfy.ua/kreplenie-potolochnoe-itech-celb-54shl.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1053536786,,,,,1834210,Бытовая химия >> Все для уборки,werk,Щітка для миття скла Werk WDS-1505,,139,1,https://comfy.ua/schetka-dlja-mojki-stekla-werk-wds-1505.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1053538098,6583439,FROSCH,Пятновыводитель Frosch Желчное мыло 75 мл (4001499923746),135,1874602,Бытовая химия >> Средства для стирки >> Средства для отбеливания и удаления пятен >> Средства для отбеливания и удаления пятен Frosch,frosch,Засіб для видалення плям Frosch з дією як у жовчного мила (4001499923746),,117,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-frosch-s-dejstviem-kak-u-zhelchnogo-myla-4001499923746.html,135,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1053539368,6702967,ADLER,Тостер ADLER ad3216,659,1879709,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Adler,adler,Тостер Adler AD 3216,,789,1,https://comfy.ua/toster-adler-ad-3216.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
