993784477,column,column,column,column,1829118,____________lemax,lemax,__lemax_____le5013_de,column,1419,1,httpscomfyuamojkakuhonnajalemaxnerzhstaldekorsifonle5013dehtml,column,05112025_2027,column,__42,Фастів,0
994036799,7005966,INTERLUX,Морозильный ларь INTERLUX IL-0150CF,6199,1842290,Техника для кухни >> Крупная техника,interlux,Морозильна скриня INTERLUX IL-0150CF,,5899,1,https://comfy.ua/morozil-nyj-lar-interlux-il-0150cf.html,6999,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
994036805,7005968,INTERLUX,Морозильный ларь INTERLUX IL-0300CF,10777,1844203,Техника для кухни >> Крупная техника,interlux,Морозильна скриня INTERLUX IL-0300CF,,10999,1,https://comfy.ua/morozil-nyj-lar-interlux-il-0300cf.html,12999,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
994036853,,,,,1663745,Техника для кухни >> Хранение продуктов,wmf,"Вакууматор WMF LONO, 419070011",,4999,1,https://comfy.ua/vakuumator-wmf-lono-419070011.html,8999,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
994037373,,,,,1778348,Телевизоры и мультимедиа >> Установка и подключение техники,inshi,Додатковий виїзд майстра,,749,1,https://comfy.ua/dodatkovij-viizd-majstra.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
994037374,,,,,1538421,"Сервисы, подписки и софт >> Профилактика и чистка техники",comfy,Профілактика холодильника,,799,1,https://comfy.ua/profilaktika-holodil-nika.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
994037375,,,,,1761657,Техника для кухни >> Установка и подключение техники,inshi,Встановлення холодильника,,1399,1,https://comfy.ua/vstanovlennja-holodil-nika-standart.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
994037376,,,,,1538419,"Сервисы, подписки и софт >> Профилактика и чистка техники",comfy,Профілактика кавомашини,,1099,1,https://comfy.ua/profilaktika-kofemashiny.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
994037378,,,,,1690533,Техника для кухни >> Установка и подключение техники,inshi,Встановлення газової кухонної техніки,,1899,1,https://comfy.ua/vstanovlennja-gazovoi-kuhonnoi-tehniki-standart.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
994037379,,,,,1538420,"Сервисы, подписки и софт >> Профилактика и чистка техники",comfy,Профілактика пральної машини,,1299,1,https://comfy.ua/profilaktika-stiral-noj-mashiny.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
994037380,,,,,1690532,Техника для дома >> Установка и подключение техники,inshi,Встановлення сушильної машини,,1399,1,https://comfy.ua/vstanovlennja-sushil-noi-mashini-standart.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
994037381,,,,,1538414,"Сервисы, подписки и софт >> Профилактика и чистка техники",comfy,Профілактика водонагрівача накопичувального,,1299,1,https://comfy.ua/profilaktika-vodonagrevatelja.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
994037382,,,,,1538424,"Сервисы, подписки и софт >> Профилактика и чистка техники",comfy,Профілактика кондиціонера,,1799,1,https://comfy.ua/profilaktika-kondicionera.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
994037383,,,,,1690534,Техника для кухни >> Установка и подключение техники,inshi,Встановлення газової кухонної техніки Максимум,,2399,1,https://comfy.ua/vstanovlennja-gazovoi-kuhonnoi-tehniki-maksimum.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
994037384,,,,,1761658,Техника для кухни >> Установка и подключение техники,inshi,"Встановлення електричної плити або духовки, або варочної поверхні Максимум",,2699,1,https://comfy.ua/vstanovlennja-el-pliti-abo-el-duhovki-abo-var-poverhni-maksimum.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
994037385,,,,,1761656,Техника для кухни >> Установка и подключение техники,inshi,Встановлення витяжки Максимум,,2199,1,https://comfy.ua/vstanovlennja-vitjazhki-maksimum.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
994037386,,,,,1761654,"Сервисы, подписки и софт >> Установка и подключение техники",inshi,Демонтаж кондиціонера,,2299,1,https://comfy.ua/demontazh-kondicionera.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
994037387,,,,,1690528,Техника для кухни >> Установка и подключение техники,inshi,Встановлення пральної або посудомийної машини - Максимум,,3899,1,https://comfy.ua/vstanovlennja-pral-n-abo-posudom-mashini-maksimum.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
994037388,,,,,1761655,Техника для дома >> Установка и подключение техники,inshi,Встановлення водонагрівача - Максимум,,6199,1,https://comfy.ua/vstanovlennja-vodonagrivacha-maksimum.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
994037389,,,,,1761636,Техника для дома >> Установка и подключение техники,comfy,Експрес встановлення кондиціонера на готову трасу,,5199,1,https://comfy.ua/ekspres-vstanovlennja-kondicionera-na-gotovu-trasu.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
994037391,,,,,1761622,Техника для дома >> Установка и подключение техники,inshi,Експрес встановлення кондиціонера 07-09,,8899,1,https://comfy.ua/ekspres-vstanovlennja-kondicionera-07-09-standart.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
994037393,,,,,1761625,Техника для дома >> Установка и подключение техники,inshi,Експрес встановлення кондиціонера 12,,9699,1,https://comfy.ua/ekspres-vstanovlennja-kondicionera-12-standart.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
994037398,,,,,1761633,Техника для дома >> Установка и подключение техники,inshi,Експрес встановлення кондиціонера 18,,9699,1,https://comfy.ua/ekspres-vstanovlennja-kondicionera-18-standart.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
994037401,,,,,1761634,Техника для дома >> Установка и подключение техники,inshi,Експрес встановлення кондиціонера 24,,10299,1,https://comfy.ua/ekspres-vstanovlennja-kondicionera-24-standart.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
994037668,6824522,GORENJE,Льдогенератор GORENJE IMD1200W,5599,1832168,Техника для кухни >> Крупная техника >> Льдогенераторы >> Льдогенераторы Gorenje,gorenje,Льдогенератор Gorenje IMD1200W,,4599,1,https://comfy.ua/l-dogenerator-gorenje-imd1200w.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
994037968,6738490,TEFAL,Утюг с парогенератором TEFAL PRO EXPRESS VISION GV9820E0,15999,1845060,Техника для дома >> Мелкая техника >> Утюги >> Утюги Tefal,tefal,Праска з парогенератором Tefal GV9820E0,,15999,1,https://comfy.ua/utjug-s-parogeneratorom-tefal-gv9820e0.html,20999,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
994038830,,,,,1834648,Бытовая химия >> Средства для чистки техники,powerplant,Засіб для чищення екранів PowerPlant 100 шт. (FL940653),,99,1,https://comfy.ua/chistjaschie-salfetki-dlja-jekranov-powerplant-100-sht-fl940653.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
994038887,6895376,FRANKE,Смеситель Franke Lina Black (115.0626.053),4589,1847881,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Franke",franke,Кухонний змішувач Franke Lina Чорний Матовий (115.0626.053),,4589,1,https://comfy.ua/smesitel-kuhonnyj-franke-lina-chornij-matovij-115-0626-053.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
994038901,6987409,BRABANTIA,Пакеты для мусора BRABANTIA G 23/30 л 40 шт (375668),769,1075290,Бытовая химия >> Для кухни и мытья посуды >> Пакеты для мусора >> Пакеты для мусора Brabantia,brabantia,Пакет для сміття Brabantia в диспен.G  375668,,769,1,https://comfy.ua/paket-musornyj-brabantia-v-dispen-g-375668.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
994038923,7066172,GROHE,Смеситель GROHE Vento Dual Spray Chrome (30438000),10995,1825811,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Grohe",grohe,Кухонний змішувач Grohe Vento Ohm C Dual Spray Хром (30438000),,11219,1,https://comfy.ua/smesitel-kuhonnyj-grohe-vento-ohm-c-dual-spray-hrom-30438000.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
994038961,6984246,BRABANTIA,Бак для мусора BRABANTIA Bo Touch Bin 11+23 л White (313547),14025,1828310,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары Brabantia,brabantia,Бак для сміття Brabantia Touch Bin Bo 11 и 23 л 313547,,16499,1,https://comfy.ua/bak-dlja-musora-brabantia-touch-bin-bo-11-i-23-l-313547.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
994053454,,,,,1788208,OUTLET,liberton,Уцінка - Бутербродниця Liberton LSM-8031 #,,1079,1,https://comfy.ua/buterbrodnica-liberton-lsm-8031-ucenka-1-1.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
994056027,,,,,1840877,OUTLET,shark,Уцінка - Пилосос ручний для дому Shark WV200EU #,,5599,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-shark-wv200eu-ucenka-1-1.html,9099,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
994056072,,,,,1826406,OUTLET,philips,Уцінка - Соковитискач відцентровий Philips HR1855/70,,3919,1,https://comfy.ua/sokovyzhimalka-centrobezhnaja-philips-hr1855-70-ucenka-1-1.html,4689,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
994056442,,,,,1078661,OUTLET,gembird,Уцінка - Зарядний пристрій для ноутбука Gembird NPA-AC3 #,,422,1,https://comfy.ua/z-ustrojstvo-dlja-noutbuka-gembird-npa-ac3-ucenka-1-1.html,454,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
994056541,,,,,1840872,OUTLET,gorenje,Уцінка - Варильна поверхня газова Gorenje GW 641 EXB #,,10029,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gw-641-exb-ucenka-1-1.html,10624,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
994056647,6655919,RAZER,Клавиатура RAZER BlackWidow V3 TKL RU (RZ03-03490700-R3R1),4799,1839128,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Razer",razer,Уцінка - Клавіатура дротова ігрова Razer BlackWidow V3 TKL RU (RZ03-03490700-R3R1) #,,3599,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-razer-blackwidow-v3-tkl-ru-rz03-03490700-r3r1-ucenka-1-1.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
994056667,,,,,1828066,OUTLET,samsung,Уцінка - Мікрохвильова піч (НВЧ) вбудовувана Samsung MS20A7013AB/UA #,,8909,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-samsung-ms20a7013ab-ua-ucenka-1-1.html,9629,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
