861612680,6702144,baseus,_baseus_encok_h06__ngh0601,335,1796013,________baseus,baseus,__baseus_encok_h06_black_ngh0601,column,335,1,httpscomfyuanaushnikivkladyshibesprovodnyetwsbaseusencokh06blackngh0601html,column,05112025_1821,column,__42,Фастів,0
878462616,,,,,.1800753,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson Universal Electra 100ml Yellow (EU/Y-2),,92,1,https://comfy.ua/chernila-wwm-epson-universal-electra-100ml-yellow-eu-y-2.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
878462619,,,,,1798576,Смартфоны и телефоны >> Аксессуары для смартфонов,griffin,Автомобільний зарядний пристрій Griffin 3-Port 4.8A USB Black (GP-008-BLK),,349,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-griffin-3-port-4-8a-usb-black-gp-008-blk.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
878462916,,,,,1800888,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,"Чорнило Colorway для Epson L-100/200, 200 мл Cyan (CW-EW101C02)",,159,1,https://comfy.ua/catalog/product/view/id/2397143,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
878462917,,,,,1800709,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson Universal Electra black (EU/B),,145,1,https://comfy.ua/chernila-wwm-epson-universal-electra-black-eu-b.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
878462918,,,,,.1800710,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson Universal Electra Cyan (EU/C),,145,1,https://comfy.ua/chernila-wwm-epson-universal-electra-cyan-eu-c.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
878462919,,,,,.1800711,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson Universal Electra Magenta (EU/M),,145,1,https://comfy.ua/chernila-wwm-epson-universal-electra-magenta-eu-m.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
878462920,,,,,.1800712,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson Universal Electra Yellow (EU/Y),,145,1,https://comfy.ua/chernila-wwm-epson-universal-electra-yellow-eu-y.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
878462936,,,,,1800887,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway для Epson L100/L200 (4х200 мл) BK/С/M/Y (CW-EW101SET02),,569,1,https://comfy.ua/catalog/product/view/id/2397033,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
878462938,,,,,1800728,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson CX3700/TX119/TX419/TX209 B/C/M/Y SET (E73SET-2),,359,1,https://comfy.ua/chernila-wwm-epson-cx3700-tx119-tx419-tx209-b-c-m-y-set-e73set-2.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
878462939,,,,,1800741,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson L110/L210/L355 B/C/M/Y (E64SET4-2),,359,1,https://comfy.ua/chernila-wwm-epson-l110-l210-l355-b-c-m-y-e64set4-2.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
878462942,,,,,1798581,Смартфоны и телефоны >> Аксессуары для смартфонов,griffin,Автомобільний зарядний пристрій Griffin Single Port 15W USB-C Car Charger with USB-C Cable Black (GP-088-BLK),,899,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-griffin-single-port-15w-usb-c-car-charger-with-usb-c-cable-black-gp-088-blk.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
878463349,,,,,1800886,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway для Epson SC 67/87/79/91/T26 (4х200 мл) BK/С/M/Y (CW-EW400SET02),,519,1,https://comfy.ua/catalog/product/view/id/2396963,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
878463351,,,,,1800762,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,"Чорнило WWM Epson L3100/3110/3150, 4х140г B/C/M/Y (E103SET4)",,829,1,https://comfy.ua/chernila-wwm-epson-l3100-3110-3150-4h140g-b-c-m-y-e103set4.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
