1686559470,column,column,column,column,2837268,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_matte_for_tecno_spark_20_pro_kj6_arm74390,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartmattefortecnospark20prokj6arm74390html,column,05112025_2022,column,__42,Фастів,0
1686564599,,,,,.2941451,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 3050 6GB NM 3210 (i713700FRTX30506GBNM3210),,45091,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-3050-6gb-nm-3210-i713700frtx30506gbnm3210.html,51829,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1686564600,,,,,.2941425,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 3050 6GB NM 1641Win (i712700FRTX30506GBNM1641Win),,45784,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-3050-6gb-nm-1641win-i712700frtx30506gbnm1641win.html,52625,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1686564601,,,,,.2941192,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RX 6600 8GB NM 3242Win (i514400FRX66008GBNM3242Win),,47649,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rx-6600-8gb-nm-3242win-i514400frx66008gbnm3242win.html,54769,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1686564602,,,,,.2941150,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4060 8GB NM 3242 (i514400FRTX40608GBNM3242),,46262,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4060-8gb-nm-3242-i514400frtx40608gbnm3242.html,53175,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1686565066,,,,,.2940335,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 8GB NM 3242Win (Ryzen75700XRTX40608GBNM3242Win),,48089,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-8gb-nm-3242win-ryzen75700xrtx40608gbnm3242win.html,55275,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1686565067,,,,,.2940254,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RX 6600 8GB NM 641010 (Ryzen57500FRX66008GBNM641010),,53205,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rx-6600-8gb-nm-641010-ryzen57500frx66008gbnm641010.html,61155,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1686565068,,,,,.2941673,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 6GB NM 1641 (i714700FRTX30506GBNM1641),,45566,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-6gb-nm-1641-i714700frtx30506gbnm1641.html,52375,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1686567153,,,,,.2926748,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 3050 8GB NM 64102 (Ryzen57500FRTX30508GBNM64102),,50169,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-3050-8gb-nm-64102-ryzen57500frtx30508gbnm64102.html,57665,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1686567154,,,,,.2941682,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 8GB NM 164 (i714700FRTX30508GBNM164),,43482,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-8gb-nm-164-i714700frtx30508gbnm164.html,49979,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1686567155,,,,,.2941453,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 3050 6GB NM 3241 (i713700FRTX30506GBNM3241),,46480,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-3050-6gb-nm-3241-i713700frtx30506gbnm3241.html,53425,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1686567157,,,,,.2941432,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 4060 8GB NM 1641 (i712700FRTX40608GBNM1641),,47393,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-4060-8gb-nm-1641-i712700frtx40608gbnm1641.html,54475,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1686567775,,,,,.2940348,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 Ti 8GB NM 32102 (Ryzen75700XRTX4060Ti8GBNM32102),,48563,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-ti-8gb-nm-32102-ryzen75700xrtx4060ti8gbnm32102.html,55819,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1686567776,,,,,.2941135,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 8GB NM 3242Win (i514400FRTX30508GBNM3242Win),,45091,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-8gb-nm-3242win-i514400frtx30508gbnm3242win.html,51829,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1686567777,,,,,.2941137,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3060 12GB NM 1641Win (i514400FRTX306012GBNM1641Win),,46697,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3060-12gb-nm-1641win-i514400frtx306012gbnm1641win.html,53675,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1686567784,,,,,.2941678,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 6GB NM 324 (i714700FRTX30506GBNM324),,45091,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-6gb-nm-324-i714700frtx30506gbnm324.html,51829,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1686567785,,,,,.2941675,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 6GB NM 1642 (i714700FRTX30506GBNM1642),,45784,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-6gb-nm-1642-i714700frtx30506gbnm1642.html,52625,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1686567786,,,,,.2941148,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4060 8GB NM 32102 (i514400FRTX40608GBNM32102),,48089,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4060-8gb-nm-32102-i514400frtx40608gbnm32102.html,55275,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1686567798,,,,,.2941454,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 3050 6GB NM 3242 (i713700FRTX30506GBNM3242),,46697,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-3050-6gb-nm-3242-i713700frtx30506gbnm3242.html,53675,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1686567799,,,,,.2940336,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 Ti 16GB NM 1641 (Ryzen75700XRTX4060Ti16GBNM1641),,48563,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-ti-16gb-nm-1641-ryzen75700xrtx4060ti16gbnm1641.html,55819,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1686567800,,,,,.2941434,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 4060 8GB NM 1642 (i712700FRTX40608GBNM1642),,47649,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-4060-8gb-nm-1642-i712700frtx40608gbnm1642.html,54769,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1686567801,,,,,.2941762,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RX 6600 8GB NM 1641 (i714700FRX66008GBNM1641),,49255,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rx-6600-8gb-nm-1641-i714700frx66008gbnm1641.html,56615,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1686567803,,,,,.2940345,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 Ti 8GB NM 1641Win (Ryzen75700XRTX4060Ti8GBNM1641Win),,49734,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-ti-8gb-nm-1641win-ryzen75700xrtx4060ti8gbnm1641win.html,57165,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1686567804,,,,,.2940338,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4060 Ti 16GB NM 1642 (Ryzen75700XRTX4060Ti16GBNM1642),,48780,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4060-ti-16gb-nm-1642-ryzen75700xrtx4060ti16gbnm1642.html,56069,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1686567805,,,,,.2941676,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 6GB NM 3210 (i714700FRTX30506GBNM3210),,46953,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-6gb-nm-3210-i714700frtx30506gbnm3210.html,53969,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1686567806,,,,,.2941764,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RX 6600 8GB NM 1642 (i714700FRX66008GBNM1642),,49476,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rx-6600-8gb-nm-1642-i714700frx66008gbnm1642.html,56869,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1686567807,,,,,.2941683,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 8GB NM 1641 (i714700FRTX30508GBNM1641),,46697,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-8gb-nm-1641-i714700frtx30508gbnm1641.html,53675,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1686567808,,,,,.2941452,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 3050 6GB NM 32102 (i713700FRTX30506GBNM32102),,48563,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-3050-6gb-nm-32102-i713700frtx30506gbnm32102.html,55819,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1686567834,,,,,.2941435,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 4060 8GB NM 3210 (i712700FRTX40608GBNM3210),,48780,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-4060-8gb-nm-3210-i712700frtx40608gbnm3210.html,56069,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1686567843,,,,,.2941679,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 6GB NM 3241 (i714700FRTX30506GBNM3241),,48089,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-6gb-nm-3241-i714700frtx30506gbnm3241.html,55275,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1686567890,,,,,.2940216,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 Ti 8GB NM 3242 (Ryzen57500FRTX4060Ti8GBNM3242),,53205,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-ti-8gb-nm-3242-ryzen57500frtx4060ti8gbnm3242.html,61155,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1686567891,,,,,.2940257,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 8GB NM 3210 (Ryzen57600XRTX40608GBNM3210),,49734,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-8gb-nm-3210-ryzen57600xrtx40608gbnm3210.html,57165,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1686567905,,,,,.2940260,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 8GB NM 3242 (Ryzen57600XRTX40608GBNM3242),,51338,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-8gb-nm-3242-ryzen57600xrtx40608gbnm3242.html,59009,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1686567906,,,,,.2941685,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 8GB NM 1642 (i714700FRTX30508GBNM1642),,46953,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-8gb-nm-1642-i714700frtx30508gbnm1642.html,53969,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1686567907,,,,,.2941688,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 3050 8GB NM 324 (i714700FRTX30508GBNM324),,46005,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-3050-8gb-nm-324-i714700frtx30508gbnm324.html,52879,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1686567908,,,,,.2941437,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700F RTX 4060 8GB NM 3241 (i712700FRTX40608GBNM3241),,49951,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700f-rtx-4060-8gb-nm-3241-i712700frtx40608gbnm3241.html,57415,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
