1656313956,,,,,2868235,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов Saturn,saturn,Сушарка для фруктів та овочів Saturn ST-FP0115-10 Grey,,829,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-saturn-st-fp0115-10-grey.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1656314461,6966248,ZELMER,Мясорубка ZELMER ZMM3512B,3599,2869148,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Zelmer,zelmer,М'ясорубка Zelmer ZMM3512B,,3599,1,https://comfy.ua/mjasorubka-zelmer-zmm3512b.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1656316110,,,,,2814037,Техника для кухни >> Крупная техника,ventolux,Варильна поверхня газова Ventolux HG430 M7G CEST (BK),,5799,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg430-m7g-cest-bk.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1656324563,6895494,DEANTE,Держатель для туалетной бумаги Deante Easy-fix (ANH_004K),434,2834356,Бытовая химия >> Для ванной комнаты >> Держатели для туалетной бумаги >> Держатели для туалетной бумаги Deante,deante,Тримач для туалетного паперу Deante Easy-fix (ANH_004K),,579,1,https://comfy.ua/derzhatel-dlja-tualetnoj-bumagi-deante-easy-fix-anh-004k.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1656335075,6947829,2E,Химическая грелка для тела 2E размер XL 192x130мм до 12 часов (2E-BW12XL),49,2819724,Дом и отдых >> Отдых и путешествия >> Туристические грелки >> Туристические грелки 2E,2e,Хімічна грілка для тіла 2E XL (2E-BW12XL),,60,1,https://comfy.ua/himicheskaja-grelka-dlja-tela-2e-xl-2e-bw12xl.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1656336195,6973835,GRUNHELM,Медиаплеер GRUNHELM GX-88 PRO 13 (132281),1599,2868862,Телевизоры и мультимедиа >> Мультимедиа и звук >> Медиаплееры >> Медиаплееры Grunhelm,grunhelm,Стаціонарний медіаплеєр Grunhelm GX-88 PRO 13,,1599,1,https://comfy.ua/stacionarnyj-mediapleer-grunhelm-gx-88-pro-13.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1656338782,6966244,ZELMER,Бутербродница ZELMER ZSM7700,999,2869149,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Zelmer,zelmer,Бутербродниця Zelmer ZSM7700,,999,1,https://comfy.ua/buterbrodnica-zelmer-zsm7700.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1656339468,,,,,.2857958,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Точка доступу Aruba AP-503 (R8M98A),,29459,1,https://comfy.ua/tochka-dostupa-aruba-ap-503-r8m98a.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1656357705,6919658,OSRAM,Набор лампочек OSRAM BASE PAR16 GU10 3 шт (4058075818415),139,2824296,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED PAR16 4.3W 350Lm 4000К GU10 3 шт. (4058075818415),,139,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-par16-4-3w-350lm-4000k-gu10-3-sht-4058075818415.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1656358309,7185875,BOSCH,Триммер BOSCH EasyGrassCut 18V-230 PBA 18V (0.600.8C1.A03),4680,2822043,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Bosch",bosch,Тример садовий Bosch EasyGrassCut 18V-230 (0.600.8C1.A03),,4679,1,https://comfy.ua/trimmer-sadovyj-bosch-easygrasscut-18v-230-0-600-8c1-a03.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
