1659296326,7068287,ASUS,Ноутбук ASUS TUF Gaming A15 FA506NC-HN012 Graphite Black (90NR0JF7-M002V0),36081,2886401,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Asus >> Серия Asus TUF",asus,Ноутбук ігровий Asus TUF Gaming A15 FA506NC-HN012 Graphite Black,,36999,1,https://comfy.ua/noutbuk-igrovoj-asus-tuf-gaming-a15-fa506nc-hn012-graphite-black.html,43999,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
1659296347,7001484,ASUS,Ноутбук ASUS A15 FA506NF-HN009 Graphite Black (90NR0JE7-M00310),30999,2886400,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",asus,Ноутбук ігровий Asus TUF Gaming A15 FA506NF-HN009 Graphite Black,,29999,1,https://comfy.ua/noutbuk-igrovoj-asus-tuf-gaming-a15-fa506nf-hn009-graphite-black.html,35999,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1659305212,,,,,2860853,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки GamePro",gamepro,Підставка під ноутбук охолоджуюча GamePro CP485 Black,,799,1,https://comfy.ua/podstavka-pod-noutbuk-gamepro-cp485-black.html,999,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1659324081,,,,,2893138,Техника для кухни >> Крупная техника,grifon,Холодильник Grifon DFV-85W,,6199,1,https://comfy.ua/holodil-nik-grifon-dfv-85w.html,6899,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1659324421,6966635,VENTOLUX,Варочная поверхность VENTOLUX HG320 S (X) 7,3129,2836417,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня Domino Ventolux HG320 S (X) 7,,3129,1,https://comfy.ua/varochnaja-panel-domino-ventolux-hg320-s-x-7.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1659324662,6966636,VENTOLUX,Варочная поверхность VENTOLUX HG320G CEST (BK) 7,4399,2836416,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG320G CEST (BK) 7,,4399,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg320g-cest-bk-7.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1659325770,6966637,VENTOLUX,Варочная поверхность VENTOLUX HG622 B9G CS (X),9399,2834527,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG622 B9G CS (X),,7399,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg622-b9g-cs-x.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1659325770,7120234,VENTOLUX,Варочная поверхность VENTOLUX HG622 B9G CS (X),7399,2834527,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG622 B9G CS (X),,7399,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg622-b9g-cs-x.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1659331385,6965400,POLY,Гарнитура POLY BlackWire C3310-M USB-A HS Mono (767F6AA),2449,2842632,"Аудио, фото и видео >> Наушники >> Наушники Poly",poly,Гарнітура дротова Poly BlackWire C3310-M USB-A HS Mono (767F6AA),,2449,1,https://comfy.ua/garnitura-provodnaja-poly-blackwire-c3310-m-usb-a-hs-mono-767f6aa.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1659338176,6970503,EPSON,Принтер струйный EPSON EcoTank L8050 (C11CK37403),16727,2848519,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Epson",epson,Принтер для кольорового друку Epson EcoTank L8050 (C11CK37403) з WI-FI,,16729,1,https://comfy.ua/printer-dlja-cvetnoj-pechati-epson-ecotank-l8050-c11ck37403-c-wi-fi.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
