1645657622,column,column,column,column,2795058,Техника для кухни >> Крупная техника,scandilux,__scandilux_fbh5265x2,column,2222,1,httpscomfyuavytjazhkavstraivaemajascandiluxfbh5265x2html,3999,05112025_1753,column,__42,Фастів,0
1645710733,6943302,MIKROTIK,Wi-Fi роутер MIKROTIK L009UiGS-2HaxD-IN,5665,2796659,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет MikroTik",mikrotik,Маршрутизатор інтернет WiFi6 MikroTik L009UiGS-2HaxD-IN,,4959,1,https://comfy.ua/marshrutizator-internet-wifi6-mikrotik-l009uigs-2haxd-in.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1645711265,6943303,MIKROTIK,Маршрутизатор MIKROTIK RB5009UPr+S+IN,14190,2796660,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет MikroTik",mikrotik,Маршрутизатор інтернет LAN MikroTik RouterBOARD (RB5009UPR+S+IN),,11455,1,https://comfy.ua/marshrutizator-internet-lan-mikrotik-routerboard-rb5009upr-s-in.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1645711398,7168287,BOSCH,Аккумулятор BOSCH 5Ач (BHZUB1850),3999,2787957,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Bosch,bosch,Акумулятор для ручного пилососа Bosch BHZUB1850,,3999,1,https://comfy.ua/akkumuljator-dlja-ruchnogo-pylesosa-bosch-bhzub1850.html,4899,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1645740753,,,,,2754867,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Gorenje,gorenje,Холодильник Gorenje NRK6192AS4,,21799,1,https://comfy.ua/holodil-nik-gorenje-nrk6192as4.html,25499,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1645743122,,,,,.2728252,Смарт-часы и гаджеты >> Аксессуары,creality,Гумовий фотополімер Creality LCD 8K High Precision Beige  (3302190001),,1349,1,https://comfy.ua/rezinovyj-fotopolimer-creality-lcd-8k-high-precision-beige-3302190001.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1645758867,,,,,2719970,"Дом, отдых и зоотовары >> Мебель",razer,Захисний килимок під крісло Razer Team Floor Rug Quartz (RC81-03920300-R3M1),,3999,1,https://comfy.ua/zaschitnyj-kovrik-pod-kreslo-razer-team-floor-rug-quartz-rc81-03920300-r3m1.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1645760533,6996087,EISEN,Миксер EISEN EHM-415W,499,2797466,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры EISEN,eisen,Міксер EISEN EHM-415W,,499,1,https://comfy.ua/mikser-eisen-ehm-415w.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1645762189,,,,,2147631,Игровые консоли и гейминг >> Комплектующие для игровых ПК,orico,Звукова карта Orico USB SKT3-BK-BP (SKT3-BK-BP),,699,1,https://comfy.ua/zvukovaja-karta-orico-usb-skt3-bk-bp-skt3-bk-bp.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1645762239,,,,,2147630,Игровые консоли и гейминг >> Комплектующие для игровых ПК,orico,Звукова карта Orico USB SKT2-BK (CA911455),,549,1,https://comfy.ua/zvukovaja-karta-orico-usb-skt2-bk-ca911455.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1645763030,,,,,.2719853,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design North Chalk White TG Clear Tin (FD-C-NOR1C-04) без БЖ,,8809,1,https://comfy.ua/korpus-fractal-design-north-chalk-white-tg-clear-tin-fd-c-nor1c-04-bez-bp.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
