1649994875,column,column,column,column,2818538,Посуда >> Для приготовления,gusto,_gusto_gt110722_force_22__47_,column,928,1,httpscomfyuakastrjuljagustogt110722force22sm47lhtml,column,05112025_2019,column,__42,Фастів,0
1649994871,,,,,.2818531,Посуда >> Для приготовления,gusto,Каструля Gusto GT-T-120-LN Пелюстки ночі 20 см 4 л,,850,1,https://comfy.ua/kastrjulja-gusto-gt-t-120-ln-lepestki-nochi-20-sm-4-l.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1649994875,,,,,.2818538,Посуда >> Для приготовления,gusto,"Каструля Gusto GT-1107-22 Force 22 см 4,7 л",,928,1,https://comfy.ua/kastrjulja-gusto-gt-1107-22-force-22-sm-4-7-l.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1649995037,,,,,.2818532,Посуда >> Для приготовления,gusto,Каструля Gusto GT-T-124-LN Пелюстки ночі 24 см 5.7 л,,1049,1,https://comfy.ua/kastrjulja-gusto-gt-t-124-ln-lepestki-nochi-24-sm-5-7-l.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1649995038,,,,,2818539,Посуда >> Для приготовления,gusto,"Каструля Gusto GT-1107-24 Force 24 см 6,1 л",,1069,1,https://comfy.ua/kastrjulja-gusto-gt-1107-24-force-24-sm-6-1-l.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1649995508,,,,,.2818534,Посуда >> Для приготовления,gusto,Каструля Gusto GT-T-222-PM Пряжене молоко Premium 22 см 5.1 л,,1572,1,https://comfy.ua/kastrjulja-gusto-gt-t-222-pm-prjazhenoe-moloko-premium-22-sm-5-1-l.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1650011102,6965917,KARCHER,Пылесос KARCHER CVH 2-4 (1.198-450.0),2499,2821931,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Karcher,karcher,Автомобільний пилосос Karcher CVH 2-4 (1.198-450.0),,2499,1,https://comfy.ua/pylesos-ruchnoj-dlja-avtomobilja-karcher-cvh-2-4-1-198-450-0.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1650019198,,,,,.2780509,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Prestigio Q Pro 8 4G (ARM70418),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-prestigio-q-pro-8-4g-arm70418.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1650019199,,,,,2780511,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Sigma mobile Tab A1010 Neo (ARM70421),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-sigma-mobile-tab-a1010-neo-arm70421.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
1650019200,,,,,.2781015,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Thomson TEO 10 LTE (ARM70904),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-thomson-teo-10-lte-arm70904.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1650019201,,,,,2781018,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Oukitel RT6 (ARM72551),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-oukitel-rt6-arm72551.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1650019203,,,,,.2780510,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Sigma mobile Tab A802 LTE (ARM70420),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-sigma-mobile-tab-a802-lte-arm70420.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
