943271346,column,column,column,column,1822773,"Аудио, фото и видео >> Наушники",soundmag,___soundmag_standart__s_size_4_mm_1_,column,159,1,httpscomfyuacatalogproductviewid2710153,column,05112025_1907,column,__42,Фастів,0
943271346,,,,,1822773,"Аудио, фото и видео >> Наушники",soundmag,Амбушюр для навушників Soundmag Standart пінні S size 4 mm (1 пара),,159,1,https://comfy.ua/catalog/product/view/id/2710153,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
943271506,,,,,1822766,"Аудио, фото и видео >> Наушники >> Наушники Soundmag",soundmag,Амбушюр для навушників Soundmag Premium пінні M size 4.1 mm (1 пара),,199,1,https://comfy.ua/ambushjur-dlja-naushnikov-soundmag-premium-pennye-m-size-4-1-mm-1-para.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
943271508,,,,,1822765,"Аудио, фото и видео >> Наушники",soundmag,Амбушюр для навушників Soundmag Premium пінні M size 3mm (1 пара),,199,1,https://comfy.ua/catalog/product/view/id/2710873,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
943347044,6809814,PERFELLI,Вытяжка PERFELLI DN 6272 D 700 BL LED,3999,1824487,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DN 6272 D 700 BL LED,,3999,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dn-6272-d-700-bl-led.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
943347270,6809815,PERFELLI,Вытяжка PERFELLI DN 6272 D 700 WH LED,4199,1824482,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DN 6272 D 700 WH LED,,4199,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dn-6272-d-700-wh-led.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
943347550,6824054,PERFELLI,Вытяжка PERFELLI DN 6472 D 850 BL LED,4499,1824486,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DN 6472 D 850 BL LED,,4499,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dn-6472-d-850-bl-led.html,4999,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
943347551,6809817,PERFELLI,Вытяжка PERFELLI DNS 6272 D 700 BL LED,4199,1824488,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DNS 6272 D 700 BL LED,,4199,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dns-6272-d-700-bl-led.html,4699,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
943347581,6809816,PERFELLI,Вытяжка PERFELLI DNS 5272 D 700 WH LED,4399,1824481,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DNS 5272 D 700 WH LED,,4399,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dns-5272-d-700-wh-led.html,4999,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
943347799,6824059,PERFELLI,Вытяжка PERFELLI DNS 6472 D 850 BL LED,4799,1824484,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DNS 6472 D 850 BL LED,,4799,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dns-6472-d-850-bl-led.html,6099,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
943908722,6735091,STARK,Дрель-миксер Stark HM-1350 Profi (120070040),3189,1720231,Инструменты и автотовары >> Электроинструменты >> Строительные миксеры >> Строительные миксеры Stark,stark,Дриль-мiксер Stark HM-1350 Pro (120070040),,3189,1,https://comfy.ua/drel-mikser-stark-hm-1350-pro-120070040.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
943954294,,,,,1822772,"Аудио, фото и видео >> Наушники >> Наушники Soundmag",soundmag,Амбушюр для навушників Soundmag Standart пінні M size 4 mm (1 пара),,159,1,https://comfy.ua/ambushjur-dlja-naushnikov-soundmag-standart-pennye-m-size-4-mm-1-para.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
943954296,,,,,1822773,"Аудио, фото и видео >> Наушники >> Наушники Soundmag",soundmag,Амбушюр для навушників Soundmag Standart пінні S size 4 mm (1 пара),,159,1,https://comfy.ua/ambushjur-dlja-naushnikov-soundmag-standart-pennye-s-size-4-mm-1-para.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
943954788,,,,,1822765,"Аудио, фото и видео >> Наушники >> Наушники Soundmag",soundmag,Амбушюр для навушників Soundmag Premium пінні M size 3mm (1 пара),,199,1,https://comfy.ua/ambushjur-dlja-naushnikov-soundmag-premium-pennye-m-size-3mm-1-para.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
944158090,,,,,.1832023,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway for HP LJ M15/M16/M28 CF244X (CW-H244MX),,999,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-colorway-for-hp-lj-m15-m16-m28-cf244x-cw-h244mx.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
944158107,,,,,.992760,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway Samsung ML-1910/2520/SCX-4600 (D105S) (CW-S1910M),,759,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-colorway-samsung-ml-1910-2520-scx-4600-d105s-cw-s1910m.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
944158113,,,,,1832389,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Картридж для лазерних принтерів/БФП G&G Canon 052 LBP212dw/214dw/LBP215x/MF421dw/MF426dw/MF428x/MF429x Black 3100 ст. (G&G-052),,825,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-canon-052-lbp212dw-214dw-lbp215x-mf421dw-mf426dw-mf428x-mf429x-black-3100-st-g-g-052.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
944158117,,,,,1832390,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Картридж для кольорових лазерних принтерів G&G Xerox WC3335/3345/PH3330 106R03621 Black 8500 ст. (G&G-106R03621),,3055,1,https://comfy.ua/kartridzh-dlja-cvetnyh-lazernyh-printerov-g-g-xerox-wc3335-3345-ph3330-106r03621-black-8500-st-g-g-106r03621.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
944158159,,,,,1834990,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway Canon 047 LBP112/MFP112/113 (CW-C047M),,699,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-colorway-canon-047-lbp112-mfp112-113-cw-c047m.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
944206990,,,,,1830264,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Rondo New Black,,3499,1,https://comfy.ua/mojka-kuhonnaja-interline-rondo-new-black.html,4299,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
944206993,,,,,1830267,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Rondo New Grigio,,3499,1,https://comfy.ua/mojka-kuhonnaja-interline-rondo-new-grigio.html,4299,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
944207007,,,,,1830271,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Rondo New White,,3299,1,https://comfy.ua/mojka-kuhonnaja-interline-rondo-new-white.html,4299,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
944207438,,,,,.1827260,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Air for Nokia 3.4 Transparent (ARM59440),,105,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-air-for-nokia-3-4-transparent-arm59440.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
944388990,,,,,1092602,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway EPSON TX650 (Cyan) (CW-EW650C02) 200мл,,159,1,https://comfy.ua/catalog/product/view/id/2709463,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
944388992,,,,,1092614,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway EPSON TX650 (Yellow) (CW-EW650Y02) 200мл,,159,1,https://comfy.ua/catalog/product/view/id/2709413,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
945164463,6767769,ELECTROLUX,Стирально-сушильная машина ELECTROLUX EW9W161BUC,61499,1835111,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Electrolux,electrolux,Прально-сушильна машина Electrolux EW9W161BUC,,61499,1,https://comfy.ua/stiral-no-sushil-naja-mashina-electrolux-ew9w161buc.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
945178566,,,,,.1836027,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",asus,Маршрутизатор інтернет WiFi4 Asus RT-N12E/C1,,749,1,https://comfy.ua/marshrutizator-internet-wifi4-asus-rt-n12e-c1.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
945195489,,,,,1835994,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель живлення Cablexpert PC-186-ML12-1M CEE7/7-C5  1 м VDE,,99,1,https://comfy.ua/catalog/product/view/id/2719973,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
