1659560534,,,,,.2627499,Детские товары >> Игрушки,banbao,"""Пластиковий конструктор Banbao """"Модний пляж"""" (565 елм.) Вілла (6122)""",,1429,1,https://comfy.ua/plastikovyj-konstruktor-banbao-modnyj-pljazh-565-jelm-villa-6122.html,,05.11.2025 23:13,,"вул. Соборна, 42",Фастів,0
1659560535,7031229,BANBAO,Конструктор BANBAO Mech 3 Самурай 567 ел (ET710),1399,2886326,Детские товары >> Игрушки >> Конструкторы >> Конструкторы BanBao,banbao,"""Пластиковий конструктор Banbao """"Mech 2"""" Самурай (567 елм.) (ET710)""",,1549,1,https://comfy.ua/plastikovyj-konstruktor-banbao-mech-2-samuraj-567-jelm-et710.html,,05.11.2025 23:09,,"вул. Соборна, 42",Фастів,0
1659560536,7031230,BANBAO,Конструктор BANBAO Mech 3 Воин 618 эл (ET711),1299,2886325,Детские товары >> Игрушки >> Конструкторы >> Конструкторы BanBao,banbao,"""Пластиковий конструктор Banbao """"Mech 2"""" Воїн (618 елм.) (ET711)""",,1449,1,https://comfy.ua/plastikovyj-konstruktor-banbao-mech-2-voin-618-jelm-et711.html,,05.11.2025 23:10,,"вул. Соборна, 42",Фастів,0
1659560541,,,,,.2886319,Детские товары >> Игрушки,banbao,"""Пластиковий конструктор Banbao """"Поліція"""" Поліцейський відділ (718 елм.) (8341)""",,1695,1,https://comfy.ua/plastikovyj-konstruktor-banbao-policija-policejskij-otdel-718-jelm-8341.html,,05.11.2025 22:34,,"вул. Соборна, 42",Фастів,0
1659560542,7031191,BANBAO,Конструктор BANBAO CITY Команда пожарников 1081 элемент (7130),2499,2627473,Детские товары >> Игрушки >> Конструкторы >> Конструкторы BanBao,banbao,"""Пластиковий конструктор Banbao """"БанБао CITY"""" (1081 елм.) Команда пожежників (7130)""",,2799,1,https://comfy.ua/plastikovyj-konstruktor-banbao-banbao-city-1081-jelm-komanda-pozharnyh-7130.html,,05.11.2025 23:41,,"вул. Соборна, 42",Фастів,0
1659560543,7031225,BANBAO,Конструктор BANBAO Конструктор Наука Робот-футболист 192 эл (6925),2599,2627502,Детские товары >> Игрушки >> Конструкторы >> Конструкторы BanBao,banbao,"""Пластиковий конструктор Banbao """"Наука"""" Робот-футболіст з дистанційним керуванням (192 елм.) (6925)""",,2999,1,https://comfy.ua/plastikovyj-konstruktor-banbao-nauka-robot-futbolist-s-distancionnym-upravleniem-192-jelm-6925.html,,05.11.2025 23:22,,"вул. Соборна, 42",Фастів,0
1659560544,7031223,BANBAO,Конструктор BANBAO Наука: Набор 48 моделей техники 177 эл (6530),2799,2627500,Детские товары >> Игрушки >> Конструкторы >> Конструкторы BanBao,banbao,"""Пластиковий конструктор Banbao """"Наука"""" Набір 48 моделей техніки (177 елм.)  (6530)""",,3009,1,https://comfy.ua/plastikovyj-konstruktor-banbao-nauka-nabor-48-modelej-tehniki-177-jelm-6530.html,,06.11.2025 0:03,,"вул. Соборна, 42",Фастів,0
1659560545,7031210,BANBAO,Конструктор BANBAO Флот Ракетный крейсер №47 1357 элементов (6262),3399,2627496,Детские товары >> Игрушки >> Конструкторы >> Конструкторы BanBao,banbao,"""Пластиковий конструктор Banbao """"Флот""""  (1357 елм.) Ракетний крейсер №47 (6262)""",,3549,1,https://comfy.ua/plastikovyj-konstruktor-banbao-flot-1357-jelm-raketnyj-krejser-47-6262.html,,05.11.2025 23:41,,"вул. Соборна, 42",Фастів,0
1659560546,7031209,BANBAO,Конструктор BANBAO Флот Ракетній крейсер 1182 эл (6261),3399,2627487,Детские товары >> Игрушки >> Конструкторы >> Конструкторы BanBao,banbao,"""Пластиковий конструктор Banbao """"Флот""""  (1182 елм.) Ракетний крейсер (6261)""",,3549,1,https://comfy.ua/plastikovyj-konstruktor-banbao-flot-1182-jelm-raketnyj-krejser-6261.html,,05.11.2025 23:41,,"вул. Соборна, 42",Фастів,0
1659560547,7031224,BANBAO,Конструктор BANBAO Наука Набор строительной техники 93 эл (6539),3999,2627501,Детские товары >> Игрушки >> Конструкторы >> Конструкторы BanBao,banbao,"""Пластиковий конструктор Banbao """"Наука"""" Набір будівельної техніки 8в1 (93 елм.)  (6539)""",,4235,1,https://comfy.ua/plastikovyj-konstruktor-banbao-nauka-nabor-stroitel-noj-tehniki-8v1-93-jelm-6539.html,,06.11.2025 0:41,,"вул. Соборна, 42",Фастів,0
1659560685,,,,,2888826,Детские товары >> Игрушки,turbo,Бластер багатозарядний Turbo з м'якими набоями 6 шт. (ВТ306),,285,1,https://comfy.ua/blaster-mnogozarjadnyj-turbo-s-mjagkimi-patronami-6-sht-vt306.html,,05.11.2025 22:13,,"вул. Соборна, 42",Фастів,0
1659562809,6933964,SENCOR,Плитка SENCOR SCP2803BK,4699,2512262,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Sencor,sencor,Плита електрична настільна Sencor SCP2803BK,,4699,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-sencor-scp2803bk.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1659563610,,,,,2389634,Техника для кухни >> Крупная техника,eleyus,Плита електрична ELEYUS IMPULS 5008 V IS,,18399,1,https://comfy.ua/plita-jelektricheskaja-eleyus-impuls-5008-v-is.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1659570905,6989689,LIEBHERR,Холодильник LIEBHERR CTe 2931,18249,2895421,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Liebherr,liebherr,Холодильник Liebherr CTe 2931,,18249,1,https://comfy.ua/holodil-nik-liebherr-cte-2931.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1659578948,6967752,FLORINA,"Чайник FLORINA Acero 1,9л (5C0773)",449,2806343,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические FLORINA,florina,"Чайник металевий FLORINA 5C0773 ACERO 1,9 л",,449,1,https://comfy.ua/chajnik-metallicheskij-florina-5c0773-acero-1-9-l.html,519,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1659579201,,,,,2812823,"Техника для дома >> Умный дом >> Датчики температуры, влажности >> Датчики температуры, влажности Ajax",ajax,Бездротовий датчик температури Ajax FireProtect 2 RB Heat CO (000034664),,3599,1,https://comfy.ua/besprovodnoj-datchik-temperatury-ajax-fireprotect-2-rb-heat-co-000034664.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1659587000,,,,,.2839478,Игровые консоли и гейминг >> Комплектующие для игровых ПК,pccooler,Корпусний вентилятор PCCooler FX 120 ARGB BK,,299,1,https://comfy.ua/korpusnyj-ventiljator-pccooler-fx-120-argb-bk.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1659587017,,,,,.2839479,Игровые консоли и гейминг >> Комплектующие для игровых ПК,pccooler,Корпусний вентилятор PCCooler FX 120 ARGB BK 3in1,,749,1,https://comfy.ua/korpusnyj-ventiljator-pccooler-fx-120-argb-bk-3in1.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1659587039,,,,,.2850651,Игровые консоли и гейминг >> Комплектующие для игровых ПК,be-quiet,Процесорний кулер Be quiet! Dark Rock PRO 5 (BK036),,4829,1,https://comfy.ua/processornyj-kuler-be-quiet-dark-rock-pro-5-bk036.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1659587040,,,,,.2850652,Игровые консоли и гейминг >> Комплектующие для игровых ПК,be-quiet,Процесорний кулер Be quiet! Dark Rock ELITE (BK037),,5129,1,https://comfy.ua/processornyj-kuler-be-quiet-dark-rock-elite-bk037.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1659961571,,,,,2876823,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Armorstandart,armorstandart,Чохол для смартфону Armorstandart Air for Xiaomi 13T 5G Camera cover Clear (ARM69591),,229,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-air-for-xiaomi-13t-5g-camera-cover-clear-arm69591.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1660039776,,,,,2850300,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Armorstandart,armorstandart,Чохол для смартфону Armorstandart Shade for Samsung A05 (A055) Blue (ARM73415),,249,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-shade-for-samsung-a05-a055-blue-arm73415.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
