697979363,column,column,column,column,1635781,Техника для кухни >> Крупная техника,faber,__faber_inka_plus_hc_x_a52,column,6399,1,httpscomfyuacatalogproductviewid1189533,column,05112025_1908,column,__42,Фастів,0
697980451,,,,,1648114,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Krauff,krauff,Френч-прес Krauff 800 мл (26-293-003),,533,1,https://comfy.ua/french-press-krauff-800-ml-26-293-003.html,710,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
697980511,,,,,1648113,Посуда >> Нарезка и измельчение >> Подставки для ножей >> Подставки для ножей Krauff,krauff,Підставка для ножів Krauff 26-288-006,,999,1,https://comfy.ua/podstavka-dlja-nozhej-krauff-26-288-006.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
697994535,6633724,ARDESTO,Набор чайных ложек ARDESTO Black Mars Ether 6 пр. (AR0706ET),165,1647430,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір чайних ложок Ardesto Black Mars Ether 6 пр. (AR0706ET),,165,1,https://comfy.ua/nabor-chajnyh-lozhek-ardesto-black-mars-ether-6-pr-ar0706et.html,245,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
697994536,6633725,ARDESTO,Набор чайных ложек ARDESTO Gemini Como 6 пр (AR1906CT),206,1647437,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір чайних ложок Ardesto Gemini Como 6 пр. (AR1906CT),,229,1,https://comfy.ua/nabor-chajnyh-lozhek-ardesto-gemini-como-6-pr-ar1906ct.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
697994539,6633713,ARDESTO,Набор столовых вилок ARDESTO Gemini Como 6 пр (AR1906CF),274,1647434,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір виделок столових Ardesto Gemini Como 6 пр. (AR1906CF),,305,1,https://comfy.ua/nabor-vilok-stolovyh-ardesto-gemini-como-6-pr-ar1906cf.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
697994542,6633716,ARDESTO,Набор столовых ложек ARDESTO Gemini Como 6 пр. (AR1906CS),252,1647436,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір ложок столових Ardesto Gemini Como 6 пр. (AR1906CS),,305,1,https://comfy.ua/nabor-lozhek-stolovyh-ardesto-gemini-como-6-pr-ar1906cs.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
698003061,6633719,ARDESTO,Набор столовых ножей ARDESTO Gemini Como 6 пр (AR1906CK),395,1647435,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір ножів столових Ardesto Gemini Como 6 пр (AR1906CK),,439,1,https://comfy.ua/nabor-nozhej-stolovyh-ardesto-gemini-como-6-pr-ar1906ck.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
698003064,6633718,ARDESTO,Набор столовых ножей ARDESTO Black Mars Ether 6 пр (AR0706EK),399,1647428,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір ножів столових Ardesto Black Mars Ether 6 пр (AR0706EK),,399,1,https://comfy.ua/nabor-nozhej-stolovyh-ardesto-black-mars-ether-6-pr-ar0706ek.html,515,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
698145046,7165798,SOLA,Вилка SOLA Fleurie 24.2см (11FLEU206),249,1635814,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Виделка столова Sola сервировочная 24.2 см 11FLEU206,,249,1,https://comfy.ua/vilka-stolovaja-sola-servirovochnaja-24-2-sm-11fleu206.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
698399872,,,,,1649680,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Sodasan,sodasan,Гель для прання Sodasan Color 1.5 л (4019886015066),,596,1,https://comfy.ua/gel-dlja-stirki-sodasan-color-1-5-l-4019886015066.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
