935765326,column,column,column,column,1828216,Детские товары >> Игрушки для малышей,babyteam,___baby_team___9050___,column,539,1,httpscomfyuacatalogproductviewid2648133,column,05112025_2034,column,__42,Фастів,0
935931658,6729547,BOSCH,Кусторез BOSCH EasyHedgeCut 55 (0.600.847.C02),3550,1822086,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Bosch,bosch,Кущоріз Bosch EasyHedgeCut 55 (0.600.847.C02),,3549,1,https://comfy.ua/kustorez-bosch-easyhedgecut-55-0-600-847-c02.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
935931659,6726047,EINHELL,Секатор аккумуляторный EINHELL GE-LS 18 Li - Solo (3408300),4284,1816095,Инструменты и автотовары >> Садовые инструменты,einhell,Секатор акумуляторний Einhell GE-LS 18 Li-Solo без АКБ та ЗП (3408300),,4285,1,https://comfy.ua/catalog/product/view/id/2602573,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
935933421,,,,,1828217,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Baby Team,baby-team,Іграшка для ванної Baby Team Сачок з іграшками (9027),,515,1,https://comfy.ua/igrushka-rybalka-dlja-vannoj-baby-team-sachok-s-igrushkami-9027.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
935933438,6701335,INDESIT,Холодильник INDESIT LI6S1EW,14999,1828977,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Indesit,indesit,Холодильник Indesit LI6 S1E W,,14999,1,https://comfy.ua/holodil-nik-indesit-li6-s1e-w.html,17199,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,1
935933743,,,,,.1828216,Детские товары >> Игрушки для малышей,baby-team,"""Іграшка для ванної Baby Team Набір """"Звірята-кубики"""" (9050_набор з каченям)""",,539,1,https://comfy.ua/bazovaja-igrushka-dlja-vannoj-baby-team-nabor-zverjata-kubiki-9050-nabor-s-utenkom.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
935934055,6690841,SAMSUNG,Встраиваемая микроволновая печь SAMSUNG MG22M8054AK/UA,11499,1792139,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Samsung,samsung,Мікрохвильова піч (НВЧ) вбудовувана Samsung MG22M8054AK/UA,,11499,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-samsung-mg22m8054ak-ua.html,12399,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
935937700,6528912,TOPEX,Набор плашек и метчиков TOPEX M3 - M12 20 шт (14A425),1043,1823201,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов TOPEX,topex,"Набір інструментів TOPEX M3 - M12, 20 шт. (14A425)",,1139,1,https://comfy.ua/nabor-instrumentov-topex-m3-m12-20-sht-14a425.html,,05.11.2025 22:18,,"вул. Соборна, 42",Фастів,0
935976825,7060259,BRABANTIA,Чехол BRABANTIA 124x45см (132681),841,1827516,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Чехлы для гладильных досок >> Чехлы для гладильных досок Brabantia",brabantia,Чохол для прасувальної дошки Brabantia 132681 124x45 см,,841,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-brabantia-132681-124x45-sm.html,989,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
935976867,7060638,BRABANTIA,Чехол BRABANTIA 135x45см (134043),1099,1827531,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Чехлы для гладильных досок >> Чехлы для гладильных досок Brabantia",brabantia,Чохол для прасувальної дошки Brabantia 134043 135x45 см,,1099,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-brabantia-134043-135x45-sm.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
935976895,6987360,BRABANTIA,Чехол BRABANTIA Ironing Table Covers B 124 x 38 см (130885),1199,1827509,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Чехлы для гладильных досок >> Чехлы для гладильных досок Brabantia",brabantia,Чохол для прасувальної дошки Brabantia 130885 124x38 см,,1319,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-brabantia-130885-124x38-sm.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
