1651079152,column,column,column,column,2821714,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,__asus_proart_b760creator_wifi_ddr5,column,9399,1,httpscomfyuamaterinskajaplataasusproartb760creatorwifiddr5html,column,05112025_1905,column,__42,Фастів,0
1651079151,,,,,.2821112,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PROART B760-CREATOR DDR5,,8899,1,https://comfy.ua/materinskaja-plata-asus-proart-b760-creator-ddr5.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1651079152,,,,,.2821714,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PROART B760-CREATOR WIFI DDR5,,9399,1,https://comfy.ua/materinskaja-plata-asus-proart-b760-creator-wifi-ddr5.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1651079153,,,,,2821351,Игровые консоли и гейминг >> Комплектующие для игровых ПК,msi,Материнська плата MSI Z790 GAMING PLUS WIFI DDR5,,11855,1,https://comfy.ua/materinskaja-plata-msi-z790-gaming-plus-wifi-ddr5.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1651086041,6951553,KARCHER,Пылесос KARCHER WV 6 Plus (1.633-741.0),3919,2832327,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Karcher,karcher,Пилосос віконний Karcher WV 6 Plus (1.633-741.0),,3999,1,https://comfy.ua/pylesos-okonnyj-karcher-wv-6-plus-1-633-741-0.html,5799,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1651090419,6951556,KARCHER,Пылесос KARCHER VC 4 Cordless myHome (1.198-630.0),7999,2832315,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Karcher,karcher,Пилосос ручний для дому Karcher VC 4 Cordless myHome (1.198-630.0),,8499,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-karcher-vc-4-cordless-myhome-1-198-630-0.html,13999,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1651090420,6951551,KARCHER,Электрошвабра KARCHER FC 7 Cordless (1.055-701.0),15999,2834303,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Karcher,karcher,Пилосос ручний миючий Karcher FC 7 Cordless (1.055-701.0),,15999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-karcher-fc-7-cordless-1-055-701-0.html,19999,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1651091158,6951557,KARCHER,Пылесос KARCHER VC 6 Cordless ourFamily (1.198-670.0),13999,2832316,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Karcher,karcher,Пилосос ручний для дому Karcher VC 6 Cordless ourFamily (1.198-670.0),,13999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-karcher-vc-6-cordless-ourfamily-1-198-670-0.html,19999,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1651198394,7045643,DEPEND,Впитывающее нижнее белье DEPEND Male 500 L/XL 9 шт (5029053539744),281,2830573,Детские товары >> Подгузники и пеленание,depend,Одноразові підгузки-трусики Depend для чоловіків Розмір L/XL (5029053539744),,213,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-depend-dlja-muzhchin-razmer-l-xl-5029053539744.html,245,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1651198395,7045642,DEPEND,Впитывающее нижнее белье DEPEND Fem L 9 шт (5029053565316),281,2830572,Детские товары >> Подгузники и пеленание,depend,Одноразові підгузки-трусики Depend для жінок Розмір L (5029053565316),,214,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-depend-dlja-zhenschin-razmer-l-5029053565316.html,246,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1651198396,7045641,DEPEND,Впитывающее нижнее белье DEPEND Fem S/M 10 шт. (5029053565309),281,2830571,Детские товары >> Подгузники и пеленание,depend,Одноразові підгузки-трусики Depend для жінок Розмір S/M (5029053565309),,213,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-depend-dlja-zhenschin-razmer-s-m-5029053565309.html,245,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
