817205444,6733265,REAL EL,Гарнитура REAL EL GD-012 black (EL124100049),269,1776476,"Аудио, фото и видео >> Наушники >> Наушники REAL-EL",real-el,Гарнітура дротова REAL-EL GD-012 Black (EL124100049),,259,1,https://comfy.ua/garnitura-provodnaja-real-el-gd-012-black-el124100049.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
817225310,6876100,GEMBIRD,Микрофон GEMBIRD MIC-D-04,229,1777727,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Gembird",gembird,Мікрофон до комп'ютера Gembird MIC-D-04 (1604993),,149,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-gembird-mic-d-04-1604993.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
817228042,,,,,1771265,Смартфоны и телефоны >> Аксессуары для смартфонов,razer,Бездротовий зарядний пристрій Razer Chroma Charging Pad 10W Fast WL Charger RGB Black (RC21-01600100-R371),,1499,1,https://comfy.ua/catalog/product/view/id/2217193,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
817238286,6689087,WETAIR,Очиститель воздуха WETAIR WAP-25,3499,1779750,Техника для дома >> Климатическая техника >> Очистители воздуха >> Очистители воздуха WetAir,wetair,Очищувач повітря WetAir WAP-25,,3499,1,https://comfy.ua/ochistitel-vozduha-wetair-wap-25.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
817238287,6689088,WETAIR,Очиститель воздуха WETAIR WAP-40,3999,1779753,Техника для дома >> Климатическая техника >> Очистители воздуха >> Очистители воздуха WetAir,wetair,Очищувач повітря WetAir WAP-40,,3999,1,https://comfy.ua/ochistitel-vozduha-wetair-wap-40.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
817238405,6803478,KERMI,Радиатор KERMI Profil-K FK0 11 300 х 700 мм (FK0110307W02),3726,1779326,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Profil-K FK0 11 300х700 мм (FK0110307W02),,3775,1,https://comfy.ua/radiator-otoplenija-kermi-profil-k-fk0-11-300h700-mm-fk0110307w02.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
817238413,6803480,KERMI,Радиатор KERMI Profil-K FK0 11 300х900 мм (FK0110309W02),4510,1779327,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Profil-K FK0 11 300х900 мм (FK0110309W02),,4565,1,https://comfy.ua/radiator-otoplenija-kermi-profil-k-fk0-11-300h900-mm-fk0110309w02.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
817238417,,,,,1759898,Техника для дома >> Климатическая техника,roda,Радіатор опалення Roda 22 R 600х900 (0302010119-000025462),,3799,1,https://comfy.ua/radiator-otoplenija-roda-22-r-600h900-0302010119-000025462.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
817238433,6642114,KERMI,Радиатор KERMI Profil-V FTV 11 500 x 800 мм (FTV110500801R2K),7254,1725193,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Profil-V FTV 11 500X800 мм, 735 Вт (FTV110500801R2K)",,7345,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-11-500x800-mm-735-vt-ftv110500801r2k.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
817238441,6803487,KERMI,Радиатор KERMI Profil-V FTV 11 300 х 1400 мм (FTV110301401R2K),9606,1779329,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Profil-V FTV 11 300х1400 мм (FTV110301401R2K),,9725,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-11-300h1400-mm-ftv110301401r2k.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
817238444,,,,,1738145,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Roda,roda,Радіатор опалення Roda 22 R 600х2000 мм (0302010119-000025469),,7899,1,https://comfy.ua/radiator-otoplenija-roda-22-r-600h2000-mm-0302010119-000025469.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
817239135,,,,,1711545,Техника для дома >> Климатическая техника,kermi,"Радіатор опалення Kermi Profil-K FK0 11 500x500 мм, 459 Вт (FK0110505W02)",,4135,1,https://comfy.ua/radiator-otoplenija-kermi-profil-k-fk0-11-500x500-mm-459-vt-fk0110505w02.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
817239140,6642144,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 300/500 (FK0220305W02),5097,1711555,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 300x500 мм, 511 Вт (FK0220305W02)",,5159,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-300x500-mm-511-vt-fk0220305w02.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
