1013071103,column,column,column,column,1855782,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,____printpro_hp_lj_101010151022__q2612a_pphq2612,column,409,1,httpscomfyuakartridzhdljalazernyhprinterovmfuprintprohplj101010151022analogq2612apphq2612html,column,05112025_1745,column,__42,Фастів,0
1013071103,,,,,1855782,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для лазерних принтерів/БФП PrintPro HP LJ 1010/1015/1022 (аналог Q2612A) (PP-HQ2612),,409,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-printpro-hp-lj-1010-1015-1022-analog-q2612a-pp-hq2612.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1013080231,6792768,VIMAR,Хлебопечка VIMAR VBM-744,3139,1837933,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи Vimar,vimar,Хлібопічка Vimar VBM 744,,3139,1,https://comfy.ua/hlebopech-vimar-vbm-744.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1013392099,6781153,EPSON,Проектор EPSON EB-L630SU (V11HA29040),285744,1849488,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Epson,epson,Проектор Epson EB-L630SU (V11HA29040),,279435,1,https://comfy.ua/proektor-epson-eb-l630su-v11ha29040.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1013392275,6837347,MAKITA,Многофункциональный инструмент MAKITA M9800 (M9800),4439,1854493,Инструменты и автотовары >> Электроинструменты >> Многофункциональные инструменты >> Многофункциональные инструменты Makita,makita,Багатофоункціональний інструмент Makita M9800,,4439,1,https://comfy.ua/mul-titul-makita-m9800.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
1013394009,,,,,1853192,Инструменты и автотовары >> Автотовары >> Видеорегистраторы >> Видеорегистраторы Aspiring,aspiring,"Відеореєстратор Aspiring ALIBI 9 GPS, 3 CAMERAS, SPEEDCAM",,4249,1,https://comfy.ua/videoregistrator-aspiring-alibi-9-gps-3-cameras-speedcam.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1013397932,6901770,CANON,Объектив CANON RF 14-35mm f/4 L IS USM (4857C005),73999,1852855,"Аудио, фото и видео >> Фотокамеры >> Объективы >> Объективы Canon",canon,Об'єктив до фотокамери Canon RF 14-35mm f/4 L IS USM (4857C005),,73999,1,https://comfy.ua/ob-ektiv-k-fotokamere-canon-rf-14-35mm-f-4-l-is-usm-4857c005.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1013441879,6743386,BOSCH,Зубило BOSCH ECO SDS-max плоское 25 x 400 мм (2.608.690.239),301,1800870,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Bosch,bosch,Зубило Bosch Eco SDS-max 25x400 мм (2.608.690.239),,299,1,https://comfy.ua/zubilo-bosch-eco-sds-max-25x400-mm-2-608-690-239.html,,05.11.2025 22:10,,"вул. Соборна, 42",Фастів,0
1013455800,6716182,POWERWALKER,ИБП PowerWalker VFI 1500 ICR IoT (10122197),27456,1851743,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания PowerWalker",powerwalker,Джерело безперебійного живлення PowerWalker VFI 1500 ICR IoT (10122197),,26249,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powerwalker-vfi-1500-icr-iot-10122197.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1013486244,7083391,CUBIC FUN,3D CubicFun City Line Бавария (MC267h) (6944588202675),479,1593087,Детские товары >> Игрушки >> Пазлы >> Пазлы Cubic Fun,cubic-fun,"""3D пазли Cubic Fun City Line """"Баварія"""" (MC267h)""",,525,1,https://comfy.ua/pazl-cubic-fun-trehmernaja-golovolomka-konstruktor-city-line-bavaria-mc267h.html,,06.11.2025 0:30,,"вул. Соборна, 42",Фастів,0
1013486734,7083398,CUBIC FUN,3D пазл CubicFun Корабль Санта Мария (T4008h),519,1593046,Детские товары >> Игрушки >> Пазлы >> Пазлы Cubic Fun,cubic-fun,"""3D пазли Cubic Fun """"Корабель Санта Марія"""" (T4008h)""",,649,1,https://comfy.ua/pazl-cubic-fun-trehmernaja-golovolomka-konstruktor-korabl-santa-marija-t4008h.html,,06.11.2025 0:35,,"вул. Соборна, 42",Фастів,0
