1661461556,column,column,column,column,2832269,_________ronix,ronix,__ronix_8655,column,7999,1,httpscomfyuagajkovertakkumuljatornyjronix8655html,column,05112025_2108,column,__42,Фастів,0
1661475452,,,,,.2892873,Техника для кухни >> Мелкая техника,eta,Блендер заглибний ETA Tasso 3056 90000 White,,1399,1,https://comfy.ua/blender-pogruzhnoj-eta-tasso-3056-90000-white.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1661475453,,,,,.2892875,Техника для кухни >> Мелкая техника,eta,Блендер заглибний ETA Dritto 3061 90000 White,,1499,1,https://comfy.ua/blender-pogruzhnoj-eta-dritto-3061-90000-white.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1661475469,,,,,.2892877,Техника для кухни >> Мелкая техника,eta,Блендер стаціонарний ETA Vital Blend Mini 2100 90000,,3345,1,https://comfy.ua/blender-stacionarnyj-eta-vital-blend-mini-2100-90000.html,3935,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1661477345,6971565,GAMEPRO,Геймпад GAMEPRO MG450W White-Black,549,2894784,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули GamePro",gamepro,Геймпад GamePro MG450W,,549,1,https://comfy.ua/gejmpad-gamepro-mg450w.html,699,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1661477437,6974992,ACER,Монитор ACER QG241YEBII (UM.QQ1EE.E01),4199,2899422,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Acer",acer,Монітор Acer Nitro QG241YEBII (UM.QQ1EE.E01),,4199,1,https://comfy.ua/monitor-acer-nitro-qg241yebii-um-qq1ee-e01.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1661477437,7065559,ACER,"""Мон/TFT ACER 23.8"""" Nitro QG241YEbii (UM.QQ1EE.E01) 16:9 IPS 100Hz VGA 2*HDMI Black""",3769,2899422,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Acer",acer,Монітор Acer Nitro QG241YEBII (UM.QQ1EE.E01),,4199,1,https://comfy.ua/monitor-acer-nitro-qg241yebii-um-qq1ee-e01.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1661481584,,,,,.2893158,Красота и здоровье >> Уход за волосами,eta,Фен ETA Fenitе 6320 90020,,529,1,https://comfy.ua/fen-eta-fenite-6320-90020.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1661481662,,,,,2893159,Красота и здоровье >> Уход за волосами,eta,Фен ETA Fenite 7320 90000,,979,1,https://comfy.ua/fen-eta-fenite-7320-90000.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1661481676,,,,,.2893156,Красота и здоровье >> Уход за волосами,eta,Фен-щітка ETA Fenite Black edition 9322 90000,,1099,1,https://comfy.ua/fen-schetka-eta-fenite-black-edition-9322-90000.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1661481677,,,,,.2893160,Красота и здоровье >> Уход за волосами,eta,Фен ETA Fenite 7320 90010,,1299,1,https://comfy.ua/fen-eta-fenite-7320-90010.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1661481678,,,,,.2893161,Красота и здоровье >> Уход за волосами,eta,Фен ETA Fenite 7320 90020,,1349,1,https://comfy.ua/fen-eta-fenite-7320-90020.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1661483886,,,,,2897992,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели WHP,whp,Водонагрівач WHP Bob 80,,5599,1,https://comfy.ua/vodonagrevatel-whp-bob-80.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1661483887,,,,,2897994,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели WHP,whp,Водонагрівач WHP Max 80,,5299,1,https://comfy.ua/vodonagrevatel-whp-max-80.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1661483921,,,,,2897990,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели WHP,whp,Водонагрівач WHP Bob 100,,6299,1,https://comfy.ua/vodonagrevatel-whp-bob-100.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1661483923,7075816,WHP,Бойлер WHP Jack 80,6099,2897991,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели WHP,whp,Водонагрівач WHP Jack 80,,6099,1,https://comfy.ua/vodonagrevatel-whp-jack-80.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1661483980,7075814,WHP,Бойлер WHP Jack 100,7199,2897989,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели WHP,whp,Водонагрівач WHP Jack 100,,7199,1,https://comfy.ua/vodonagrevatel-whp-jack-100.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1661484132,6890718,EWT CLIMA,Бойлер EWT CLIMA Kubus AWH/M 80,7989,2898026,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели EWT,ewt,Водонагрівач EWT Clima Kubus AWH/M 80,,7989,1,https://comfy.ua/vodonagrevatel-ewt-clima-kubus-awh-m-80.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1661484256,6890720,EWT CLIMA,Бойлер EWT CLIMA Kubus Dry AWH/M 50,8249,2898015,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели EWT,ewt,Водонагрівач EWT Clima Kubus Dry AWH/M 50,,8249,1,https://comfy.ua/vodonagrevatel-ewt-clima-kubus-dry-awh-m-50.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1661484257,6890721,EWT CLIMA,Бойлер EWT CLIMA Kubus Dry AWH/M 80,8899,2898027,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели EWT,ewt,Водонагрівач EWT Clima Kubus Dry AWH/M 80,,8899,1,https://comfy.ua/vodonagrevatel-ewt-clima-kubus-dry-awh-m-80.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1661484372,6890722,EWT CLIMA,Бойлер EWT CLIMA Kubus Dry AWH/M 100,12439,2898028,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели EWT,ewt,Водонагрівач EWT Clima Kubus Dry AWH/M 100,,12439,1,https://comfy.ua/vodonagrevatel-ewt-clima-kubus-dry-awh-m-100.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1661492966,6973464,PHILIPS,Электробритва PHILIPS X5006/00 серии 5000X,3499,2893190,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Philips,philips,Бритва Philips X5006/00 серии 5000X,,3499,1,https://comfy.ua/britva-philips-x5006-00-serii-5000x.html,4999,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,2
1661494256,,,,,.2893177,Техника для дома >> Мелкая техника,eta,Робот-пилосос миючий ETA Aron 3512 90000,,7199,1,https://comfy.ua/robot-pylesos-mojuschij-eta-aron-3512-90000.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1661495053,,,,,2900392,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Мережевий зарядний пристрій Colorway GaN PD Port USB PPS (Type-C PD + USB QC3.0) (33W) White (CW-CHS043PD-WT),,649,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-gan-pd-port-usb-pps-type-c-pd-usb-qc3-0-33w-white-cw-chs043pd-wt.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1661495086,,,,,2900389,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Автомобільний зарядний пристрій Colorway Power Delivery PPS USB (USB-A + USB-C) (100W) Black (CW-CHA044PD-BK),,999,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-colorway-power-delivery-pps-usb-usb-a-usb-c-100w-black-cw-cha044pd-bk.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1661496116,6912919,PHILIPS,Выпрямитель PHILIPS BHS752/00 серии 7000,3799,2893191,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Philips,philips,Вирівнювач волосся Philips BHS752/00 серии 7000,,3799,1,https://comfy.ua/vyprjamitel-volos-philips-bhs752-00-serii-7000.html,4599,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1661498320,6963884,TALKO,Сковорода с крышкой TALKO Веста-Light 24 см Grey (AS40243),749,2864321,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo АS40243,,749,1,https://comfy.ua/skovoroda-universal-naja-talko-as40243.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1661498346,6976064,TALKO,Сковорода TALKO 28 см (D50280),819,2864314,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo D50280,,819,1,https://comfy.ua/skovoroda-universal-naja-talko-d50280.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1661498346,6963879,TALKO,Сковорода TALKO с антипригарным покрытием 28 см (D50280),729,2864314,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo D50280,,819,1,https://comfy.ua/skovoroda-universal-naja-talko-d50280.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1661498673,,,,,2863111,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo АА50240,,881,1,https://comfy.ua/skovoroda-universal-naja-talko-aa50240.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1661498679,6963887,TALKO,Сотейник с крышкой TALKO Веста 22 см Light Grey (AA50221),1039,2863844,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo АА50221,,1039,1,https://comfy.ua/skovoroda-universal-naja-talko-aa50221.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1661498693,6963903,TALKO,Сковорода TALKO Веста 28 см Dark Grey (AD50280),984,2863842,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo АD50280,,984,1,https://comfy.ua/skovoroda-universal-naja-talko-ad50280.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1661498694,6963889,TALKO,Сотейник с крышкой TALKO Веста 24 см Light Grey (AA50241),1010,2863845,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo АА50241,,1010,1,https://comfy.ua/skovoroda-universal-naja-talko-aa50241.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1661498695,6963893,TALKO,Сотейник с крышкой TALKO Веста 26 см Light Grey (AA50263),1239,2864316,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo АА50263,,1239,1,https://comfy.ua/skovoroda-universal-naja-talko-aa50263.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1661498696,6963892,TALKO,Сотейник с крышкой TALKO Веста 26 см Light Grey (AA50261),1123,2863846,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo АА50261,,1123,1,https://comfy.ua/skovoroda-universal-naja-talko-aa50261.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
