893650211,column,column,column,column,1800366,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",sharp,____sharp_20k_mx237gt,column,2999,1,httpscomfyuacatalogproductviewid2440973,column,05112025_1802,column,__42,Фастів,0
893843493,,,,,.1802495,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для лазерних принтерів/БФП PrintPro для Canon (728) MF4410/LBP6200 Dual Pack (PP-C728DP),,799,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-printpro-dlja-canon-728-mf4410-lbp6200-dual-pack-pp-c728dp.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
893845430,,,,,.1789033,"Аудио, фото и видео >> Наушники",sennheiser,Навушники вкладиші бездротові Sennheiser IE 100 PRO Wireless Red,,7449,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-sennheiser-ie-100-pro-wireless-red.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
893845434,,,,,1807817,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Gigabyte",gigabyte,Монітор ігровий Gigabyte M28U,,15499,1,https://comfy.ua/monitor-igrovoj-gigabyte-m28u.html,20999,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
893845785,,,,,.1813077,"Детские товары >> Уход, купание и гигиена",oromed,Ваги для дітей Oromed Oro-Baby-Scale,,3265,1,https://comfy.ua/vesy-dlja-detej-oromed-oro-baby-scale.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
895530489,,,,,.1803121,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",xoko,"Хаб USB XOKO USB - 2X USB, PD - Apple Lightning/MicroUSB/USB Type-C White (SC-3300WT)",,126,1,https://comfy.ua/hab-usb-xoko-usb-2x-usb-pd-apple-lightning-microusb-usb-type-c-white-sc-3300wt.html,269,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
897454059,,,,,.1812308,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",thule,Рюкзак для ноутбуку Thule Crossover 2 20L C2BP-114 Dark Blue (3203839),,10499,1,https://comfy.ua/rjukzak-dlja-noutbuka-thule-crossover-2-20l-c2bp-114-dark-blue-3203839.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
897629909,,,,,1771738,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров Brateck,brateck,Кріплення для телевізора Brateck LPA52-443WL,,1390,1,https://comfy.ua/kreplenie-dlja-televizora-brateck-lpa52-443wl.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
897877826,,,,,1035857,Телевизоры и мультимедиа >> Аксессуары для ТВ,itechmount,Кріплення для телевізора ITECHmount PLB-120,,2890,1,https://comfy.ua/catalog/product/view/id/2451173,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
897942176,,,,,1803717,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",lenovo,Килимок для миші ігровий Lenovo Legion Gaming XXL (GXH1C97869),,799,1,https://comfy.ua/catalog/product/view/id/2449893,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
899156236,,,,,1800629,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link AC750 (RE190),,899,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-ac750-re190.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
901019332,6688565,SEVERIN,Йогуртница SEVERIN JG 3518,1515,1780264,Техника для кухни >> Мелкая техника >> Йогуртницы >> Йогуртницы Severin,severin,Йогуртниця Severin JG 3518,,1779,1,https://comfy.ua/jogurtnica-severin-jg-3518.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
