807254670,column,column,column,column,1745256,comfy_kids_____________canpol_babies,canpolbabies,___canpol_babies___120__42202,column,209,1,httpscomfyuabutylochkadljakormlenijacanpolbabiessrisunkom120ml42202html,column,05112025_2146,column,__42,Фастів,0
807254670,,,,,1745256,"Comfy KIDS >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies з малюнком, 120 мл. (42/202)",,209,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-s-risunkom-120-ml-42-202.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254672,,,,,1745250,"Comfy KIDS >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies (BPA 0%), 330 мл. (59/205)",,239,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-bpa-0-330-ml-59-205.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254674,,,,,1745252,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,"Пляшка для годування Lovi DIAMOND GLASS Botanic DIAMOND GLASS Botanic, 150 мл. (74/105)",,499,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-diamond-glass-botanic-150-ml-74-105.html,594,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807254675,,,,,1745248,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"""Пляшка для годування Canpol babies Антиколікова з широким горлом EasyStart - """"Іграшки"""" синя машинка, 300 мл. (35/222_blu)""",,255,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-easystart-igrushki-sinjaja-mashinka-300-ml-35-222-blu.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
807254677,7121607,CANPOL BABIES,Бутылочка CANPOL BABIES Easystart Цветные зверьки 300 мл Turquoise (35/204),200,1745247,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies Антиколікова з широкою шийкою Easy Start Різнокольорові звірі, 300 мл. (35/204)",,269,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlyshkom-easy-start-raznocvetnye-zveri-300-ml-35-204.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
807254678,,,,,1745213,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,"Пляшка для годування Canpol babies антиколікова з широким горлом PP Easy Start Royal baby - синя, 120 мл. (35/233_blu)",,279,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-antikolikovaja-s-shirokim-gorlom-pp-easy-start-royal-baby-sinjaja-120-ml-35-233-blu.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
807254680,,,,,1745254,Детские товары >> Кормление,canpol-babies,"Пляшка для годування Canpol babies з малюнком, 240 мл. (42/201)",,209,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-s-risunkom-240-ml-42-201.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254683,,,,,1745230,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,"Пляшка для годування Lovi Самостерилизующаяся (super vent), 250 мл. (21/570)",,364,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-samosterilizujuschajasja-super-vent-250-ml-21-570.html,429,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
807254685,,,,,1745229,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Lovi,lovi,Пляшка для годування Lovi Набор сохраняющий сосательный рефлекс_250 мл. + пустышка BB (0205exp),,435,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-nabor-sohranjajuschij-sosatel-nyj-refleks-250-ml-pustyshka-bb-0205exp.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
807254688,,,,,1745242,"Comfy KIDS >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Пляшка для годування Canpol babies 120 мл .. (42/102),,189,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-120-ml-42-102.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
