1353919978,column,column,column,column,2082817,"Дом, отдых и зоотовары >> Текстиль",ekopups,______premium__70140255___70140,column,955,1,httpscomfyuanamatrasnikdetskijjekopupsnepromokaemyjcheholpremiumrazmer70h140h255smbelyjpnamch70140bhtml,column,05112025_1939,column,__42,Фастів,0
1354754620,,,,,2079720,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки Promate",promate,Портативна акустика Promate Capsule-2.Black,,799,1,https://comfy.ua/portativnaja-akustika-promate-capsule-2-black.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1354754754,6820495,BENQ,Монитор BENQ PD3205U (9H.LKGLA.TBE),27489,2086817,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор BenQ PD3205U (9H.LKGLA.TBE) Dark Grey,,27489,1,https://comfy.ua/monitor-benq-pd3205u-9h-lkgla-tbe-dark-grey.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1354754758,6848514,BENQ,Монитор BENQ PD2705U Dark Grey (9H.LKDLA.TBE),18569,2086816,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор BenQ PD2705U (9H.LKDLA.TBE) Dark Grey,,18569,1,https://comfy.ua/monitor-benq-pd2705u-9h-lkdla-tbe-dark-grey.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1354763839,6788497,EMOS,"Удлинитель EMOS 4 розетки 1,5м 16A 3x1.5мм2 White (P1421R)",299,1997704,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители EMOS",emos,"Подовжувач 220В EMOS P1421R, 4 розетки, 1,5 м.",,325,1,https://comfy.ua/setevoj-fil-tr-emos-p1421r.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1354763840,,,,,.1997703,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",emos,"Подовжувач 220В EMOS P1622, 6 розеток, 2 м.",,375,1,https://comfy.ua/setevoj-fil-tr-emos-p1622.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1354767918,6784914,NIVONA,Кофемашина NIVONA CafeRomatica NICR 790,29999,1998515,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Nivona,nivona,Кавомашина Nivona NICR 790,,29999,1,https://comfy.ua/kofemashina-nivona-nicr-790.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1354768270,6812140,NIVONA,Кофемашина NIVONA CafeRomatica NICR 796,33999,2077456,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Nivona,nivona,Кавомашина Nivona NICR796,,33999,1,https://comfy.ua/kofemashina-nivona-nicr796.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1354769927,6814065,TEFAL,Мультипечь TEFAL Easy Fry&Grill EY501815,3999,2082186,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили Tefal,tefal,Мультипіч Tefal Easy Fry&Grill EY501815,,3999,1,https://comfy.ua/mul-tipech-tefal-ey501815.html,6999,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1354799206,,,,,.2085570,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verico,Флеш USB Verico MiniCube 32Gb Gold (1UDOV-M7GD33-NN),,225,1,https://comfy.ua/flesh-usb-verico-minicube-32gb-gold-1udov-m7gd33-nn.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1354800009,,,,,2086541,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Genius",genius,Клавіатура+миша Genius C-126 SlimStar USB Black Ukr,,449,1,https://comfy.ua/klaviatura-mysh-genius-c-126-slimstar-usb-black-ukr.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1354810958,6863974,ACER,Проектор ACER Predator GD711 (MR.JUW11.001),63308,2080526,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Acer,acer,Проектор Acer Predator GD711 (MR.JUW11.001),,63309,1,https://comfy.ua/proektor-acer-predator-gd711-mr-juw11-001.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1354810961,6881280,ACER,Проектор ACER PV11a (MR.JUE11.001),7830,2085536,Телевизоры и мультимедиа >> Проекторы и экраны,aopen,Проектор AOPEN PV11a (MR.JUE11.001),,5999,1,https://comfy.ua/proektor-aopen-pv11a-mr-jue11-001.html,15999,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1354810962,6881289,ACER,Проектор ACER P1257i (MR.JUR11.001),22445,2085538,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Acer,acer,Проектор Acer P1257i (MR.JUR11.001),,22445,1,https://comfy.ua/proektor-acer-p1257i-mr-jur11-001.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1354810963,6802277,ACER,Проектор ACER M311 (MR.JUT11.00M),22499,1983434,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Acer,acer,Проектор Acer M311 (MR.JUT11.00M),,22499,1,https://comfy.ua/proektor-acer-m311-mr-jut11-00m.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1354811825,6863973,ACER,Проектор ACER M511 (MR.JUU11.00M),32565,2085539,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Acer,acer,Проектор Acer M511 (MR.JUU11.00M),,32565,1,https://comfy.ua/proektor-acer-m511-mr-juu11-00m.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1354811826,6781137,ACER,Проектор ACER H6815BD (MR.JTA11.001),39039,1774447,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Acer,acer,Проектор Acer H6815BD (MR.JTA11.001),,39039,1,https://comfy.ua/proektor-acer-h6815bd-mr-jta11-001.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1354819429,6808477,POWERPLANT,Powerbank POWERPLANT TPB21 10000mAh White (PB930296),699,2022948,Смартфоны и телефоны >> Аксессуары для смартфонов >> Мобильные батареи >> Мобильные батареи PowerPlant,powerplant,Батарея мобільна PowerPlant TPB21 10000mAh White (PB930296),,399,1,https://comfy.ua/batareja-mobil-naja-powerplant-tpb21-10000mah-white-pb930296.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1354819431,6861409,POWERPLANT,Powerbank POWERPLANT 20000mAh TPB22 (PB930531),1199,2088873,Смартфоны и телефоны >> Аксессуары для смартфонов >> Мобильные батареи >> Мобильные батареи PowerPlant,powerplant,Батарея мобільна PowerPlant TPB22 20000 mAh (PB930531),,735,1,https://comfy.ua/batareja-mobil-naja-powerplant-tpb22-20000-mah-pb930531.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1354820021,,,,,.2084500,"Аудио, фото и видео >> Аксессуары для фото, видео",kingston,Карта пам'яті Kingston 64GB SDXC C10 UHS-II U3 R(SDR2/64GB),,2299,1,https://comfy.ua/karta-pamjati-kingston-64gb-sdxc-c10-uhs-ii-u3-r-sdr2-64gb.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1354820043,6812317,ECG,Гриль ECG S 3070 Panini Power,1865,2073373,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю ECG,ecg,Гриль-барбекю електричний ECG S 3070 Panini Power,,1865,1,https://comfy.ua/gril-barbekju-jelektricheskij-ecg-s-3070-panini-power.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1354820053,,,,,2088767,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Точка доступу TP-Link EAP610,,4399,1,https://comfy.ua/tochka-dostupa-tp-link-eap610.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1354833751,,,,,2085853,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры Vertux",vertux,Гарнітура дротова ігрова Vertux Tokyo Blue,,799,1,https://comfy.ua/garnitura-provodnaja-igrovaja-vertux-tokyo-blue.html,999,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1354834529,,,,,.2085862,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",promate,Хаб USB Promate Litehub-4 Grey,,499,1,https://comfy.ua/hab-usb-promate-litehub-4-grey.html,699,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1354834530,,,,,.2000512,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",digitus,Хаб USB Digitus USB-C - USB 3.0 3 Port Hub+Gigabit Ethernet (DA-70255),,1605,1,https://comfy.ua/hab-usb-digitus-usb-c-usb-3-0-3-port-hub-gigabit-ethernet-da-70255.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
