719194754,column,column,column,column,1668664,________________mikrotik,mikrotik,___switch_mikrotik_crs3181fi15fr2sout,column,6409,1,httpscomfyuakommutatorlokalnojsetiswitchmikrotikcrs3181fi15fr2southtml,column,05112025_1810,column,__42,Фастів,0
719194754,,,,,1668664,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети MikroTik",mikrotik,Коммутатор локальної мережі (Switch) MikroTik CRS318-1FI-15FR-2SOUT,,6409,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-mikrotik-crs318-1fi-15fr-2sout.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
719195796,,,,,1668670,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети MikroTik",mikrotik,Коммутатор локальної мережі (Switch) MikroTik CRS326-24G-2S+IN,,7859,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-mikrotik-crs326-24g-2s-in.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
719195797,,,,,1669139,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG1428PE,,10799,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg1428pe.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
719198682,6671426,AVIONAUT,Автокресло AVIONAUT PIXEL Iso-Fix Beige Melange (AV-304.P-U.02),10999,1664785,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Avionaut,avionaut,Автокрісло Avionaut Pixel Iso-Fix Beige Melange (AV-304.P-U.02),,10259,1,https://comfy.ua/avtokreslo-avionaut-pixel-iso-fix-beige-melange-av-304-p-u-02.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
719198683,6671427,AVIONAUT,Автокресло AVIONAUT PIXEL Iso-Fix Grey Melange (AV-304.P-U.01),10999,1664784,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Avionaut,avionaut,Автокрісло Avionaut Pixel Iso-Fix Grey Melange (AV-304.P-U.01),,10259,1,https://comfy.ua/avtokreslo-avionaut-pixel-iso-fix-grey-melange-av-304-p-u-01.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
719203983,,,,,1648792,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Berghoff,berghoff,Набір столових приборів Berghoff 3950130,,529,1,https://comfy.ua/nabor-stolovyh-priborov-berghoff-3950130.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
719208761,,,,,.1668241,Посуда >> Для хранения,noveen,Ланч-бокс з підігрівом Noveen LB310 Grey,,759,1,https://comfy.ua/lanch-boks-s-podogrevom-noveen-lb310-grey.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
719208763,,,,,1668239,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Noveen,noveen,Ланч-бокс з підігрівом Noveen LB330 Mint,,759,1,https://comfy.ua/lanch-boks-s-podogrevom-noveen-lb330-mint.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
719208909,,,,,1669148,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Маршрутизатор інтернет WiFi5 TP-Link Archer C24,,999,1,https://comfy.ua/catalog/product/view/id/1267393,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
719214279,6619156,ROWENTA,Фен ROWENTA CV5940F0,1399,1669605,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rowenta,rowenta,Фен Rowenta CV5940F0,,1399,1,https://comfy.ua/fen-rowenta-cv5940f0.html,1599,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
