985442167,column,column,column,column,1840424,____________ajax,ajax,___ajax_white_000023586,column,8199,1,httpscomfyuabesprovodnojdatchikdvizhenijaajaxwhite000023586html,column,05112025_1748,column,__42,Фастів,0
985442167,,,,,1840424,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности Ajax,ajax,Бездротовий датчик руху Ajax White (000023586),,8199,1,https://comfy.ua/besprovodnoj-datchik-dvizhenija-ajax-white-000023586.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
985442619,,,,,1831382,Техника для дома >> Умный дом >> Станции управления приборами >> Станции управления приборами Ajax,ajax,Пульт для управління приладами Ajax Keypad Plus White (000023070),,3899,1,https://comfy.ua/pul-t-dlja-upravlenija-priborami-ajax-keypad-plus-white-000023070.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
985442620,,,,,1831381,Техника для дома >> Умный дом >> Станции управления приборами >> Станции управления приборами Ajax,ajax,Пульт для управління приладами Ajax Keypad Plus Black (000023069),,3899,1,https://comfy.ua/pul-t-dlja-upravlenija-priborami-ajax-keypad-plus-black-000023069.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
985443098,6501281,POWERPLANT,Удлинитель POWERPLANT JY-3024/20 1 розетка 20м 10А 3х1.5мм2 Orange (PPCA10M20S1L),645,1807704,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители PowerPlant",powerplant,Подовжувач 220В PowerPlant 20 m Orange (PPCA10M20S1L),,679,1,https://comfy.ua/udlinitel-220v-powerplant-20-m-orange-ppca10m20s1l.html,799,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
985448459,6707673,EPSON,МФУ струйное EPSON EcoTank L11160 WI-FI Black (C11CJ04404),49399,1840161,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Epson",epson,Принтер для кольорового друку Epson L11160 (C11CJ04404),,49399,1,https://comfy.ua/printer-dlja-cvetnoj-pechati-epson-l11160-c11cj04404.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
985465911,,,,,1840074,Дом и отдых >> Освещение >> Фонари >> Фонари Stark,stark,Ліхтар акумуляторний Stark L-2-01 Li 5W COB (243000201),,649,1,https://comfy.ua/fonar-akkumuljatornyj-stark-l-2-01-li-5w-cob-243000201.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
985465913,,,,,1840073,Дом и отдых >> Освещение >> Фонари >> Фонари Stark,stark,Ліхтар акумуляторний Stark L-1-01 Li 5W Osram LED + 3W COB (243000101),,995,1,https://comfy.ua/fonar-akkumuljatornyj-stark-l-1-01-li-5w-osram-led-3w-cob-243000101.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
985473091,6974928,METABO,Дисковая пила METABO KS 55 FS (600955500),8312,1842250,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Metabo,metabo,Пила дискова Metabo KS 55 FS (600955500),,8315,1,https://comfy.ua/pila-diskovaja-metabo-ks-55-fs-600955500.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
985501042,,,,,1824808,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Maxus",maxus,Настільна лампа Maxus DL 10W 3CCT WH RGB (1-MDL-10W-WHRGB),,1500,1,https://comfy.ua/nastol-naja-lampa-maxus-dl-10w-3cct-wh-rgb-1-mdl-10w-whrgb.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
985501044,,,,,1824806,Дом и отдых >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Maxus,maxus,Настільна лампа Maxus DL 10W 3CCT BL RGB (1-MDL-10W-BLRGB),,1500,1,https://comfy.ua/nastol-naja-lampa-maxus-dl-10w-3cct-bl-rgb-1-mdl-10w-blrgb.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
985501046,,,,,1824810,"Дом, отдых и зоотовары >> Освещение",maxus,Настільна лампа Maxus DL 13W 4100K WH Wireless charger (1-MDL-13W-WHQi),,1399,1,https://comfy.ua/nastol-naja-lampa-maxus-dl-13w-4100k-wh-wireless-charger-1-mdl-13w-whqi.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
985510444,,,,,.1842685,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hp,"""Рюкзак для ноутбуку HP Prelude 15.6"""" (2Z8P3AA)""",,1199,1,https://comfy.ua/rjukzak-dlja-noutbuka-hp-prelude-15-6-2z8p3aa.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
