1644490527,6152379,SENCOR,Пылесос SENCOR SVC 730 RD,3299,2788053,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Sencor,sencor,Пилосос для сухого прибирання без мішка Sencor SVC730RD-EUE2,,3299,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-sencor-svc730rd-eue2.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1644492779,,,,,2734687,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Promate,promate,Мережевий зарядний пристрій Promate powerport-25ac.white,,699,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-promate-powerport-25ac-white.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1644492781,,,,,2682148,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Baseus,baseus,Мережевий зарядний пристрій Baseus Compact Quick Charger 30W QC+ PD White (CCXJ-E02),,689,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-baseus-compact-quick-charger-30w-qc-pd-white-ccxj-e02.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1644492782,,,,,2764014,Смартфоны и телефоны >> Аксессуары для смартфонов,essager,Мережевий зарядний пристрій Essager PoleStar GaN 33W Travel Phone Charger USB A + Type C EU (ECTAC-JXB02-Z),,599,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-essager-polestar-gan-33w-travel-phone-charger-usb-a-type-c-eu-ectac-jxb02-z.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1644493502,,,,,.2776017,Техника для дома >> Мелкая техника,suitu,Автомобільний пилосос Suitu ST-113 CG,,2479,1,https://comfy.ua/pylesos-ruchnoj-dlja-avtomobilja-suitu-st-113-cg.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1644494058,,,,,2682143,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Baseus,baseus,Мережевий зарядний пристрій Baseus GaN5 Pro 100W Type-C + USB + Кабель Type-C - Type-C White (CCGP090202),,2599,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-baseus-gan5-pro-100w-type-c-usb-kabel-type-c-type-c-white-ccgp090202.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1644494193,6942596,SENCOR,Пылесос SENCOR SVC7522WH,6219,2788054,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Sencor,sencor,Пилосос ручний для дому Sencor SVC7522WH,,6219,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-sencor-svc7522wh.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1644494547,6977520,SUITU,Автомобильный пылесос SUITU ST-6101 EG,2235,2776018,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Suitu,suitu,Автомобільний пилосос Suitu ST-6101 EG,,2235,1,https://comfy.ua/pylesos-ruchnoj-dlja-avtomobilja-suitu-st-6101-eg.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1644494983,,,,,2734645,Смартфоны и телефоны >> Аксессуары для смартфонов,essager,Мережевий зарядний пристрій Essager Advance 140W GaN Travel Charger 2C+A EU (ECT2CA-ZCB01-Z),,2999,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-essager-advance-140w-gan-travel-charger-2c-a-eu-ect2ca-zcb01-z.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1644511832,6941984,ZELMER,Вафельница ZELMER ZWM0012,2339,2786180,Техника для кухни >> Мелкая техника >> Вафельницы >> Вафельницы Zelmer,zelmer,Вафельниця Zelmer ZWM0012,,2339,1,https://comfy.ua/vafel-nica-zelmer-zwm0012.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1644530859,,,,,.2765473,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Тримач для мобільного пристрою XO C60 Suction cup outlet Car holder Black (6920680872596),,239,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xo-c60-suction-cup-outlet-car-holder-black-6920680872596.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1644541671,,,,,2309232,"Аудио, фото и видео >> Наушники",huawei,Навушники вкладиші бездротові TWS Huawei FreeBuds 5i Ceramic White,,1699,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-huawei-freebuds-5i-ceramic-white-harakteristiki.html,2499,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,1
1644549388,6943450,LENOVO,Монитор LENOVO S24i-30 (63DEKAT3EU),3980,2788014,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Lenovo",lenovo,Монітор Lenovo ThinkVision S24i-30 (63DEKAT3EU),,3835,1,https://comfy.ua/monitor-lenovo-thinkvision-s24i-30-63dekat3eu.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1644550085,,,,,2790026,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",msi,Монітор ігровий MSI G24C4 E2,,5199,1,https://comfy.ua/monitor-igrovoj-msi-g24c4-e2.html,6199,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1644561974,6931335,SENCOR,Кофеварка SENCOR SES 4020SS,4499,2784040,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Sencor,sencor,Кавоварка ріжкова Sencor SES 4020SS,,4499,1,https://comfy.ua/kofevarka-rozhkovaja-sencor-ses-4020ss.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1644562591,,,,,2784963,Смарт-часы и гаджеты >> Смарт-часы,gelius,Смарт-годинник Gelius Amazwatch GT3 GP-SW010 Incredible series Black,,2099,1,https://comfy.ua/smart-chasy-gelius-amazwatch-gt3-gp-sw010-incredible-series-black.html,2999,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1644562593,,,,,2786627,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы GARMIX,garmix,Дитячий годинник GARMIX PointPRO-300 4G BLACK,,5199,1,https://comfy.ua/detskie-chasy-garmix-pointpro-300-4g-black.html,5599,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1644562594,,,,,2786628,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы GARMIX,garmix,Дитячий годинник GARMIX PointPRO-300 4G PINK,,5199,1,https://comfy.ua/detskie-chasy-garmix-pointpro-300-4g-pink.html,5599,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1644562595,,,,,2786629,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы GARMIX,garmix,Дитячий годинник GARMIX PointPRO-300 4G PURPLE,,5199,1,https://comfy.ua/detskie-chasy-garmix-pointpro-300-4g-purple.html,5599,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1644563091,,,,,2768145,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов Armorstandart,armorstandart,Ремінець для смарт-годинника Armorstandart Silicone 20mm для Garmin Fenix 5S/6S/7S/7S Pro Dark Blue (ARM60810),,499,1,https://comfy.ua/remeshok-dlja-smart-chasov-armorstandart-silicone-20mm-for-garmin-fenix-5s-6s-dark-blue-arm60810.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1644563092,,,,,2768144,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов Armorstandart,armorstandart,Ремінець для смарт-годинника Armorstandart Silicone 26mm for Garmin Fenix 5x/6x Grey (ARM60805),,499,1,https://comfy.ua/remeshok-dlja-smart-chasov-armorstandart-silicone-26mm-for-garmin-fenix-5x-6x-grey-arm60805.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1644563094,,,,,.2767283,Смарт-часы и гаджеты >> Аксессуары,armorstandart,Ремінець для смарт-годинника Armorstandart Silicone 20mm for Garmin Fenix 5S/6S/7S/7S Pro Black (ARM60799),,499,1,https://comfy.ua/remeshok-dlja-smart-chasov-armorstandart-silicone-20mm-for-garmin-fenix-5s-6s-black-arm60799.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1644566533,6947600,VENTOLUX,Вытяжка VENTOLUX GARDA 60 IVG (900) LED,4599,2772356,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Ventolux,ventolux,Витяжка вбудована Ventolux GARDA 60 IVG (900) LED,,4599,1,https://comfy.ua/vytjazhka-vstraivaemaja-ventolux-garda-60-ivg-900-led.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1644566534,6947601,VENTOLUX,Вытяжка VENTOLUX GARDA 60 WG (900) LED,4599,2772355,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Ventolux,ventolux,Витяжка вбудована Ventolux GARDA 60 WG (900) LED,,4599,1,https://comfy.ua/vytjazhka-vstraivaemaja-ventolux-garda-60-wg-900-led.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1644567292,7061036,PEUGEOT,Мельница для соли PEUGEOT Line 18 см Серый (39950),3110,2717754,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot 18 см 39950,,3110,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-18-sm-39950.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1644568450,,,,,2717749,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot 15 см 43148,,4749,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-15-sm-43148.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1644580393,,,,,2784936,"Техника для дома >> Умный дом >> Датчики температуры, влажности >> Датчики температуры, влажности Ajax",ajax,Бездротовий датчик температури Ajax FireProtect 2 RB Heat (000034666),,2399,1,https://comfy.ua/besprovodnoj-datchik-temperatury-ajax-fireprotect-2-rb-heat-000034666.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1644580395,,,,,2784934,"Техника для дома >> Умный дом >> Датчики температуры, влажности >> Датчики температуры, влажности Ajax",ajax,Бездротовий датчик температури Ajax FireProtect 2 SB Heat (000035057),,2859,1,https://comfy.ua/besprovodnoj-datchik-temperatury-ajax-fireprotect-2-sb-heat-000035057.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1644580396,,,,,2784935,"Техника для дома >> Умный дом >> Датчики температуры, влажности >> Датчики температуры, влажности Ajax",ajax,Бездротовий датчик температури Ajax FireProtect 2 SB Heat (000035058),,2859,1,https://comfy.ua/besprovodnoj-datchik-temperatury-ajax-fireprotect-2-sb-heat-000035058.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1644648075,,,,,2769466,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Milwaukee,milwaukee,Пила торцева Milwaukee CHS 355 (4933411760),,15705,1,https://comfy.ua/pila-torcevaja-milwaukee-chs-355-4933411760.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1644652901,6933973,SENCOR,Вспениватель молока SENCOR SMF2030WH,1599,2721773,Техника для кухни >> Мир кофе >> Капучинаторы >> Капучинаторы Sencor,sencor,Модуль для збивання молока Sencor SMF2030WH,,1599,1,https://comfy.ua/modul-dlja-vzbivanija-moloka-sencor-smf2030wh.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1644652902,6933974,SENCOR,Вспениватель молока SENCOR SMF2031BK,1595,2721774,Техника для кухни >> Мир кофе >> Капучинаторы >> Капучинаторы Sencor,sencor,Модуль для збивання молока Sencor SMF2031BK,,1595,1,https://comfy.ua/modul-dlja-vzbivanija-moloka-sencor-smf2031bk.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1644661923,,,,,.2504691,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4070 12GB NM 641010 (Ryzen57600XRTX407012GBNM641010),,74468,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4070-12gb-nm-641010-ryzen57600xrtx407012gbnm641010.html,85595,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1644674758,7110733,MILWAUKEE,Органайзер MILWAUKEE Packout Organiser (4932464082),3199,2696525,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Milwaukee,milwaukee,Органайзер для інструментів Milwaukee Packout Organiser (4932464082),,3275,1,https://comfy.ua/organajzer-dlja-instrumentov-milwaukee-packout-organiser-4932464082.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
1644719502,,,,,2764018,Смартфоны и телефоны >> Аксессуары для смартфонов,essager,Мережевий зарядний пристрій Essager Fangbo QC3.0 3U (QC+Dual 2.4A) Charging Head EU Black (ECTQC3-FBB01),,239,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-essager-fangbo-qc3-0-3u-qc-dual-2-4a-charging-head-eu-black-ectqc3-fbb01.html,299,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1644719580,,,,,2786625,Телевизоры и мультимедиа >> Аксессуары для ТВ,unibracket,Кріплення для телевізора UniBracket BZ27-21,,599,1,https://comfy.ua/kreplenie-dlja-televizora-unibracket-bz27-21.html,999,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1644719638,,,,,2764015,Смартфоны и телефоны >> Аксессуары для смартфонов,essager,Мережевий зарядний пристрій Essager Square Brick 33W Gallium Nitride Travel Charger A+C  EU White (ECTCA-FZB02),,549,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-essager-square-brick-33w-gallium-nitride-travel-charger-a-c-eu-white-ectca-fzb02.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1644719853,6935188,BRAUN,Гриль BRAUN MultiGrill 9 Pro CG9167 (0X17900008),15299,2764044,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Braun,braun,Гриль-барбекю електричний Braun CG9167,,15299,1,https://comfy.ua/gril-barbekju-jelektricheskij-braun-cg9167.html,21099,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1644720094,6943564,TECNO,Смартфон TECNO Spark 20C BG7N 8/128GB Dual Sim Mystery White (4894947011788),4999,2786717,Смартфоны и телефоны >> Смартфоны,tecno,Смартфон Tecno Spark 20C 8/128Gb Mystery White,,5699,1,https://comfy.ua/smartfon-tecno-spark-20c-8-128gb-mystery-white.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1644720180,,,,,.2704120,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte B650M D3HP,,5199,1,https://comfy.ua/materinskaja-plata-gigabyte-b650m-d3hp.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1644720385,,,,,2781248,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",asus,"""Клавіатура бездротова ігрова Asus ROG Azoth 81key",,,,,,,,,,
"White""",,9999,1,https://comfy.ua/klaviatura-besprovodnaja-igrovaja-asus-rog-azoth-81key-white.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1644720696,,,,,.2781242,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",asus,Килимок для миші ігровий Asus ROG Moonstone Ace L Black,,4499,1,https://comfy.ua/kovrik-dlja-myshi-asus-rog-moonstone-ace-l-black.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1644720697,,,,,2781243,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Asus",asus,Килимок для миші ігровий Asus ROG Moonstone Ace L White,,3899,1,https://comfy.ua/kovrik-dlja-myshi-asus-rog-moonstone-ace-l-white.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
