1398653731,6425363,BORMIOLI ROCCO,Тарелка закусочная BORMIOLI ROCCO Toledo 20 см (400812FN9321990),49,2124530,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Тарілка десертна Bormioli Rocco Тoledo 20 см (400812FN9321990),,49,1,https://comfy.ua/tarelka-desertnaja-bormioli-rocco-toledo-20-sm-400812fn9321990.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1398653732,6820368,BORMIOLI ROCCO,Тарелка столовая глубокая BORMIOLI ROCCO EBRO 23.5 см White (402811FN9321990),61,2124535,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Тарілка супова Bormioli Rocco Ebro 24 см (402811FN9321990),,69,1,https://comfy.ua/tarelka-supovaja-bormioli-rocco-ebro-23-5-sm-402811fn9321990.html,99,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1398653733,6820362,BORMIOLI ROCCO,Тарелка десертная Bormioli Rocco Ebro 20 см (402812fn9321990),51,2124536,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Тарілка десертна Bormioli Rocco Ebro 20 см (402812FN9321990),,56,1,https://comfy.ua/tarelka-desertnaja-bormioli-rocco-ebro-20-sm-402812fn9321990.html,80,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1398653736,6869489,BORMIOLI ROCCO,Тарелка столовая мелкая BORMIOLI ROCCO EBRO 25.5 см (402810FN9321990),65,2124534,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Тарілка обідня Bormioli Rocco Ebro 25.5 см (402810FN9321990),,74,1,https://comfy.ua/tarelka-obedennaja-bormioli-rocco-ebro-25-5-sm-402810fn9321990.html,105,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1398653751,,,,,.2124572,Посуда >> Для сервировки,vittora,Салатник Vittora V-175Bs Овочевий етюд Wave 175 мм,,95,1,https://comfy.ua/salatnik-vittora-v-175bs-ovoschnoj-jetjud-wave-175-mm.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1398653752,,,,,.2124540,Посуда >> Для сервировки,bormioli-rocco,"Салатник Bormioli Rocco Ebro 12 см, 250 мл, опал. скло",,100,1,https://comfy.ua/salatnik-bormioli-rocco-ebro-12-sm-250-ml-opal-sklo.html,143,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1398653760,,,,,.2124561,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V-240Sgb Сірі бульбашки Square 240 мм,,108,1,https://comfy.ua/tarelka-obedennaja-vittora-v-240sgb-serye-puzyri-square-240-mm.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1398653783,6820240,BORMIOLI ROCCO,Блюдо Bormioli Rocco Toledo 22 х 14 см (400856FS7121990),75,2124532,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Блюдо Bormioli Rocco Тoledo 22х14 см (400856FS7121990),,109,1,https://comfy.ua/bljudo-bormioli-rocco-toledo-22h14-sm-400856fs7121990.html,167,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1398653784,,,,,.2124568,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora VT-P-1190TP Тропічний персик 190 мм,,111,1,https://comfy.ua/tarelka-desertnaja-vittora-vt-p-1190tp-tropicheskij-persik-190-mm.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1398653788,6820239,BORMIOLI ROCCO,Блюдо Bormioli Rocco Toledo 29.5 см White (400850FAM121990),170,2124531,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Блюдо Bormioli Rocco Тoledo 29.5 см (400850FAM121990),,131,1,https://comfy.ua/bljudo-bormioli-rocco-toledo-29-5-sm-400850fam121990.html,202,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1398653789,,,,,.2124569,Посуда >> Для сервировки,vittora,Тарілка супова Vittora Тропічний персик 650 мл 200 мм (VT-P-2200TP),,130,1,https://comfy.ua/tarelka-supovaja-vittora-tropicheskij-persik-650-ml-200-mm-vt-p-2200tp.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1398653906,,,,,.2124570,Посуда >> Для сервировки,vittora,Бульйонниця Vittora VT-P-2155TP Тропічний персик 570 мл 155 мм,,149,1,https://comfy.ua/bul-onnica-vittora-vt-p-2155tp-tropicheskij-persik-570-ml-155-mm.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1398653907,,,,,.2124567,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora VT-P-1265TP Тропічний персик 265 мм,,172,1,https://comfy.ua/tarelka-obedennaja-vittora-vt-p-1265tp-tropicheskij-persik-265-mm.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1398654059,6975168,CANDY,Стиральная машина CANDY Smart Pro CO4 1265TXE/1-S,11999,2126890,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Candy,candy,Пральна машина Candy CO4 1265TXE/1-S,,11999,1,https://comfy.ua/stiral-naja-mashina-candy-co4-1265txe-1-s.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1398654577,6425023,BORMIOLI ROCCO,Блюдо BORMIOLI ROCCO Ebro 36 см (402852F26321990),177,2124538,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Блюдо Bormioli Rocco Ebro 36х26 см (402852F26321990),,200,1,https://comfy.ua/bljudo-bormioli-rocco-ebro-36h26-sm-402852f26321990.html,285,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1398654613,,,,,.2124564,Посуда >> Для сервировки,vittora,Фуршетна стійка Vittora VT-422B Blanco Buongiorno,,461,1,https://comfy.ua/furshetnaja-stojka-vittora-vt-422b-blanco-buongiorno.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1398654629,,,,,2124989,Техника для дома >> Крупная техника,vestfrost,Пральна машина Vestfrost MWM106T3IAMY,,11999,1,https://comfy.ua/stiral-naja-mashina-vestfrost-mwm106t3iamy.html,15399,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,1
1398660653,,,,,.2124563,Посуда >> Для сервировки,vittora,Фуршетна стійка Vittora VT-421AP Піони Aura,,531,1,https://comfy.ua/furshetnaja-stojka-vittora-vt-421ap-piony-aura.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1399050192,,,,,2122228,Техника для кухни >> Крупная техника,interlux,Холодильник INTERLUX ILR-0050W,,3333,1,https://comfy.ua/holodil-nik-interlux-ilr-0050w.html,4999,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,1
1399051162,6638042,OSCAR,Сковорода Oscar Master 28 см (OSR-1102-28),775,2042401,Посуда >> Для приготовления,oscar,Сковорода універсальна OSCAR Master 28 см (OSR-1102-28),,899,1,https://comfy.ua/skovoroda-universal-naja-oscar-master-28-sm-osr-1102-28.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1399051163,6638039,OSCAR,Сковорода Oscar Master 20 см (OSR-1102-20),373,2043604,Посуда >> Для приготовления >> Сковороды >> Сковороды OSCAR,oscar,Сковорода універсальна OSCAR Master 20 см (OSR-1102-20),,469,1,https://comfy.ua/skovoroda-universal-naja-oscar-master-20-sm-osr-1102-20.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1399051164,6673310,OSCAR,Сковорода-гриль OSCAR Master 28x28 см Black (OSR-8102-28),889,2043606,Посуда >> Для приготовления >> Сковороды >> Сковороды OSCAR,oscar,Сковорода гриль OSCAR Master 28 см (OSR-8102-28),,880,1,https://comfy.ua/skovoroda-gril-oscar-master-28-sm-osr-8102-28.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1399053749,6829503,TEFAL,Сковорода TEFAL Simply&Clean 26 см Black (B5670553),669,2103894,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal B5670553 Simply Clean  26 см,,669,1,https://comfy.ua/skovoroda-universal-naja-tefal-b5670553-simply-clean-26-sm.html,929,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,3
1399054618,6820340,ARDESTO,Сковорода ARDESTO Gemini Foggia 24 см Brown (AR1924PG),819,2126368,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini 24 см (AR1924PG),,475,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-24-sm-ar1924pg.html,859,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1399056088,6820342,ARDESTO,Сковорода ARDESTO Gemini Foggia 26 см Brown (AR1926PG),919,2126369,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini 26 см (AR1926PG),,481,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-26-sm-ar1926pg.html,969,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1399056094,6820345,ARDESTO,Сковорода ARDESTO Gemini Foggia 28 см Brown (AR1928PG),1049,2126370,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini 28 см (AR1928PG),,519,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-28-sm-ar1928pg.html,1049,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1399061716,6883446,TEFAL,Набор сковородок TEFAL Intuition 20 см+26 см (B817S255),1699,2102176,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Набір сковорідок Tefal B817S255 INTUITION 20 см/26 см,,1699,1,https://comfy.ua/nabor-skovorod-tefal-b817s255-intuition-20-sm-26-sm.html,3331,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,5
1399123853,6869481,BORMIOLI ROCCO,Салатник Bormioli Rocco Parma 12 см 250 мл (498999FTL121990),62,2124550,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Салатник Bormioli Rocco Parma 12x12 см 250 мл (498999FTL121990),,62,1,https://comfy.ua/salatnik-bormioli-rocco-parma-12x12-sm-250-ml-498999ftl121990.html,88,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1399123855,6238382,BORMIOLI ROCCO,Тарелка столовая глубокая BORMIOLI ROCCO 22.5 x 22.5 см Parma (498870F27321990),74,2124545,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Тарілка супова Bormioli Rocco Parma 23x23 см (498870F27321990),,74,1,https://comfy.ua/tarelka-supovaja-bormioli-rocco-parma-23x23-sm-498870f27321990.html,105,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1399123857,6425210,BORMIOLI ROCCO,Салатник BORMIOLI ROCCO Parma 24.5 см (498910M91321990),139,2124548,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Салатник Bormioli Rocco Parma 24x24 см 1700 мл (498910M91321990),,236,1,https://comfy.ua/salatnik-bormioli-rocco-parma-24x24-sm-1700-ml-498910m91321990.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1399123859,6869482,BORMIOLI ROCCO,Салатник Bormioli Rocco Parma 14 см 300 мл (498920M93321990),71,2124549,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Салатник Bormioli Rocco Parma 14x14 см 300 мл (498920M93321990),,71,1,https://comfy.ua/salatnik-bormioli-rocco-parma-14x14-sm-300-ml-498920m93321990.html,102,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1399186215,6425361,BORMIOLI ROCCO,Тарелка столовая мелкая BORMIOLI ROCCO Toledo 25 см (400810FN9321990),64,2124529,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Тарілка обідня Bormioli Rocco Тoledo 25 см (400810FN9321990),,69,1,https://comfy.ua/tarelka-obedennaja-bormioli-rocco-toledo-25-sm-400810fn9321990.html,106,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1399187578,,,,,.2124560,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora V-215Sgb Сірі бульбашки Square 215 мм,,85,1,https://comfy.ua/tarelka-desertnaja-vittora-v-215sgb-serye-puzyri-square-215-mm.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1399197671,,,,,2124558,Посуда >> Для сервировки,vittora,Тарілка супова Vittora V-230Stl Тендітна лілія Square 230 мм,,115,1,https://comfy.ua/tarelka-supovaja-vittora-v-230stl-hrupkaja-lilija-square-230-mm.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1399229196,6848546,MPM,Плитка MPM MKE-20,1999,2126899,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты MPM,mpm,Плита електрична настільна MPM MKE-20,,1999,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-mpm-mke-20.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1399281353,6811443,GORENJE,Встраиваемая микроволновая печь GORENJE BM201AG1X (AG820A3DF),11599,2126357,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Gorenje,gorenje,Мікрохвильова піч (НВЧ) вбудовувана Gorenje BM201AG1X,,11599,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-gorenje-bm201ag1x.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1399513452,6810182,TEFAL,Набор посуды TEFAL G712S855 Daily Cook 8 пр,4299,2073382,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Tefal,tefal,Набір посуду Tefal G712S855 Daily Cook 8 пр.,,4299,1,https://comfy.ua/nabor-posudy-tefal-g712s855-daily-cook-8-pr.html,7799,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1399534097,,,,,.1998031,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисне скло для планшета Armorstandart for Apple iPad Pro 12.9 (2021) (ARM55909),,499,1,https://comfy.ua/zaschitnoe-steklo-dlja-plansheta-armorstandart-for-apple-ipad-pro-12-9-2021-arm55909.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1399910667,6815669,PYRAMIDA,Вытяжка PYRAMIDA ABH 52 PBA (1150) BL,7439,2126912,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Pyramida,pyramida,Витяжка вбудована Pyramida ABH 52 PBA (1150) BL,,5949,1,https://comfy.ua/vytjazhka-vstraivaemaja-pyramida-abh-52-pba-1150-bl.html,7439,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
