882265710,column,column,column,column,1092645,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,_colorway_epson_l800_magenta_cweu800m01_100,column,159,1,httpscomfyuacatalogproductviewid2427183,column,05112025_1759,column,__42,Фастів,0
883046386,,,,,1802448,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson L3100/3110/3150 Cyan 70 мл (G&G-C13T00S24A),,79,1,https://comfy.ua/chernila-g-g-epson-l3100-3110-3150-cyan-70-ml-g-g-c13t00s24a.html,169,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
883046387,,,,,1802449,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Чорнило G&G Epson L3100/3110/3150 Magenta 70 мл (G&G-C13T00S34A),,175,1,https://comfy.ua/chernila-g-g-epson-l3100-3110-3150-magenta-70-ml-g-g-c13t00s34a.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
883046388,,,,,.1802450,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson L3100/3110/3150 Yellow 70 мл (G&G-C13T00S44A),,175,1,https://comfy.ua/chernila-g-g-epson-l3100-3110-3150-yellow-70-ml-g-g-c13t00s44a.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
883046390,,,,,1801180,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Чорнило G&G для Epson L4150/L4160 Magenta контейнер 70 мл (G&G-C13T03V34A),,135,1,https://comfy.ua/chernila-g-g-dlja-epson-l4150-l4160-magenta-kontejner-70-ml-g-g-c13t03v34a.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
883046393,,,,,1801184,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,"Чорнило G&G для Canon GI-490 Magenta, контейнер 70ml (G&G-0665C001)",,90,1,https://comfy.ua/chernila-g-g-dlja-canon-gi-490-magenta-kontejner-70ml-g-g-0665c001.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
883049034,,,,,1801177,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,"Чорнило G&G для Epson L4150/L4160 Black, контейнер 127 мл (G&G-C13T03V14A)",,259,1,https://comfy.ua/chernila-g-g-dlja-epson-l4150-l4160-black-kontejner-127-ml-g-g-c13t03v14a.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
883049035,,,,,1800799,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Canon PG510BP/CL511C/M/Y Комплект (C10/11SET4-2),,339,1,https://comfy.ua/chernila-wwm-canon-pg510bp-cl511c-m-y-komplekt-c10-11set4-2.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
893307984,,,,,1807641,Техника для дома >> Климатическая техника,ecg,Вентилятор підлоговий ECG FS 40a Black,,1299,1,https://comfy.ua/catalog/product/view/id/2410323,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
893307985,,,,,1807639,Техника для дома >> Климатическая техника,ecg,Вентилятор підлоговий ECG FS 40a,,1229,1,https://comfy.ua/catalog/product/view/id/2410103,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
893307988,,,,,1807646,Техника для дома >> Климатическая техника,ecg,Вентилятор підлоговий ECG FS 91 T,,5565,1,https://comfy.ua/catalog/product/view/id/2410523,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
893601568,6940833,VILGRAND,Плитка VILGRAND VGS-1012,1049,1807810,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты ViLgrand,vilgrand,Плита газова настільна ViLgrand VGS-1012,,1049,1,https://comfy.ua/plita-gazovaja-nastol-naja-vilgrand-vgs-1012.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
893601582,6878554,TESY,Бойлер TESY GCH 804430 B12 TSR,7559,1810618,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Tesy,tesy,Водонагрівач Tesy GCH 503520 B12 TSR,,7559,1,https://comfy.ua/vodonagrevatel-tesy-gch-503520-b12-tsr.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
893601582,6600413,TESY,Бойлер TESY GCH 503520 B12 TSR,7559,1810618,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Tesy,tesy,Водонагрівач Tesy GCH 503520 B12 TSR,,7559,1,https://comfy.ua/vodonagrevatel-tesy-gch-503520-b12-tsr.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
893608314,,,,,1787812,Смарт-часы и гаджеты >> Аксессуары,airon,Монопод для екшн-камери AIRON и смартфона X-263-1,,999,1,https://comfy.ua/catalog/product/view/id/2406403,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
893608335,,,,,1800316,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",rivacase,Сумка для ноутбуку RIVACASE 8257 Black,,1599,1,https://comfy.ua/catalog/product/view/id/2381563,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
893608503,,,,,962644,Бытовая химия >> Средства для посудомоечных машин,finish,Сіль для посудомийної машини Finish 1.5 KG/2736,,105,1,https://comfy.ua/dishwasher-salt/brand__finish/,136,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,5
893610238,,,,,1800380,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-107 Black (6705B001AA),,4865,1,https://comfy.ua/catalog/product/view/id/2440883,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
893610240,,,,,1803163,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Чорнило Canon PFI-120 130 мл Cyan (2886C001AA),,4865,1,https://comfy.ua/catalog/product/view/id/2440093,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
893610241,,,,,1800379,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-107 Cyan (6706B001AA),,4865,1,https://comfy.ua/catalog/product/view/id/2439593,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
893610301,,,,,1803451,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Тонер для заправки картриджа Canon C-EXV59 Black (3760C002AA),,4259,1,https://comfy.ua/catalog/product/view/id/2441283,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
893610434,6707794,PRIME TECHNICS,Мясорубка PRIME TECHNICS PG 2003 W,3199,1810622,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Prime Technics,prime-technics,М'ясорубка Prime Technics PG 2003 W,,3199,1,https://comfy.ua/mjasorubka-prime-technics-pg-2003-w.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
893630211,,,,,1803463,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Тонер для заправки картриджа Canon C-EXV53 Black (0473C002),,4969,1,https://comfy.ua/toner-dlja-zapravki-kartridzha-canon-c-exv53-black-0473c002.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
893646261,,,,,1810701,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Duralex,duralex,Салатник Duralex Rivage Creole 1250 мл 18 см (2002CF03),,249,1,https://comfy.ua/salatnik-duralex-rivage-creole-1250-ml-18-sm-2002cf03.html,355,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
