1644728925,column,column,column,column,2580150,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_matte_for_motorola_e20_arm62556,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartmatteformotorolae20arm62556html,column,05112025_2030,column,__42,Фастів,0
1644729839,,,,,.2525469,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Redmi Note 10s (ARM59489),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-redmi-note-10s-arm59489.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1644729840,,,,,.2527239,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Samsung S21 FE (ARM61150),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-samsung-s21-fe-arm61150.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1644729841,,,,,.2525489,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Samsung A03s (A037) (ARM60118),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-samsung-a03s-a037-arm60118.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1644729843,,,,,.2525486,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart for Samsung A22 4G / M22 (ARM60115),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-samsung-a22-4g-m22-arm60115.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1644729852,,,,,.2626717,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Honor X6a (ARM71063),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-honor-x6a-arm71063.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1644730173,,,,,.2606913,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Motorola G14 (ARM70479),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-motorola-g14-arm70479.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1644730174,,,,,2584777,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Redmi 12 4G (ARM66575),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-redmi-12-4g-arm66575.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1644730794,6935564,LENOVO,Ноутбук Lenovo V15 G4 AMN Business Black (82YU00Y8RA),18565,2747579,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Lenovo >> Серия Lenovo V",lenovo,Ноутбук Lenovo V15 G4 AMN (82YU00Y8RA) Business Black,,18499,1,https://comfy.ua/noutbuk-lenovo-v15-g4-amn-82yu00y8ra-business-black.html,19999,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1644730796,6938200,LENOVO,Ноутбук Lenovo V15 G4 AMN Business Black (82YU00Y7RA),19499,2786125,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Lenovo >> Серия Lenovo V",lenovo,Ноутбук Lenovo V15 G4 AMN (82YU00Y7RA) Business Black,,19499,1,https://comfy.ua/noutbuk-lenovo-v15-g4-amn-82yu00y7ra-business-black.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1644731165,,,,,.2737834,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Tecno Pova 4 Pro (ARM65714),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-tecno-pova-4-pro-arm65714.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
