773330831,,,,,1718005,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник XOKO AC-150 2 в 1 USB 3.0 - MicroUSB & USB Type-C з кабелем Black (AC-150-BK),,119,1,https://comfy.ua/perehodnik-xoko-ac-150-2-v-1-usb-3-0-microusb-usb-type-c-s-kabelem-black-ac-150-bk.html,,05.11.2025 22:09,,"вул. Соборна, 42",Фастів,0
773330836,6458301,СТАЛЬ,Отвертка СТАЛЬ 11 в 1 (49046) 58193,72,1720423,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка зі змінними бітами Сталь Т-образная с комплектом бит 11 в 1 (49046),,119,1,https://comfy.ua/otvertka-so-smennymi-bitami-stal-t-obraznaja-s-komplektom-bit-11-v-1-49046.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
773330838,6559312,СТАЛЬ,Отвертка СТАЛЬ 6 в 1 (49048),111,1720424,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Набір викруток Сталь с комплектом насадок 6 в 1 (49048),,155,1,https://comfy.ua/nabor-otvertok-stal-s-komplektom-nasadok-6-v-1-49048.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
773330840,6559313,СТАЛЬ,Отвертка СТАЛЬ 7 в 1 (49050),131,1720425,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка зі змінними бітами Сталь 7в1 (49050),,215,1,https://comfy.ua/otvertka-so-smennymi-bitami-stal-7v1-49050.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
773330841,6458302,СТАЛЬ,Отвертка СТАЛЬ 21 в 1 (49045) 58192,132,1720422,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка зі змінними бітами Сталь Т-образная с комплектом насадок 21 в 1 (49045),,179,1,https://comfy.ua/otvertka-so-smennymi-bitami-stal-t-obraznaja-s-komplektom-nasadok-21-v-1-49045.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
773330854,,,,,1720418,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Набір викруток Сталь 4 шт. (49041),,219,1,https://comfy.ua/nabor-otvertok-stal-4-sht-49041.html,,05.11.2025 22:35,,"вул. Соборна, 42",Фастів,0
773330891,6654070,TEFAL,Сковорода для блинов TEFAL XL Intense 25 см Black (C3841053),799,1729410,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода для млинців Tefal C3841053 XL INTENSE 25 см,,799,1,https://comfy.ua/skovoroda-dlja-blinov-tefal-c3841053-xl-intense-25-sm.html,999,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
773330893,6458306,СТАЛЬ,Набор отверток СТАЛЬ 7 предметов (49043),258,1720420,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Набір викруток Сталь 7 шт. (49043),,349,1,https://comfy.ua/nabor-otvertok-stal-7-sht-49043.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
773330894,,,,,1720426,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка зі змінними бітами Сталь 23в1 (49051),,285,1,https://comfy.ua/otvertka-so-smennymi-bitami-stal-23v1-49051.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
773330898,6365837,СТАЛЬ,Набор отверток СТАЛЬ (49044) 18 предметов,565,1720421,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Набір викруток Сталь 18 шт. (49044),,759,1,https://comfy.ua/nabor-otvertok-stal-18-sht-49044.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
773330913,6654085,TEFAL,Сковорода TEFAL XL Intense 24 см Bronze (C3840453),899,1731446,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal C3840453 XL INTENSE 24 см,,899,1,https://comfy.ua/skovoroda-universal-naja-tefal-c3840453-xl-intense-24-sm.html,1089,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
773330921,6705608,METABO,Пила ленточная Metabo BAS 261 Precision (619008000),15999,1723566,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Metabo,metabo,Станок Metabo BAS 261 Precision (619008000),,15999,1,https://comfy.ua/stanok-metabo-bas-261-precision-619008000.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
773330924,6654071,TEFAL,Сковорода TEFAL XL Intense 26 см Bronze (C3840553),1079,1731447,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal C3840553 XL INTENSE 26 см,,1079,1,https://comfy.ua/skovoroda-universal-naja-tefal-c3840553-xl-intense-26-sm.html,1239,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,3
773330925,,,,,1722938,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Stark",stark,Кусачки Stark 115 мм мини (501200125),,139,1,https://comfy.ua/kusachki-stark-115-mm-mini-501200125.html,,05.11.2025 22:32,,"вул. Соборна, 42",Фастів,0
773330926,6604809,TOPEX,Круглогубцы TOPEX 160 мм (32D109),192,1723562,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки TOPEX",topex,Плоскогубці TOPEX 32D109 160 мм,,229,1,https://comfy.ua/ploskogubcy-topex-32d109-160-mm.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
773330929,,,,,1720614,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Ryobi,ryobi,Дриль-шуруповерт Ryobi ONE+ R18DD3-0 (без АКБ и ЗУ),,3899,1,https://comfy.ua/drel-shurupovert-ryobi-one-r18dd3-0-bez-akb-i-zu.html,4249,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
773330930,6654081,TEFAL,Сковорода TEFAL XL Intense 28 см Bronze (C3840653),1199,1731448,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal C3840653 XL INTENSE 28 см,,1199,1,https://comfy.ua/skovoroda-universal-naja-tefal-c3840653-xl-intense-28-sm.html,1399,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,3
773330936,6709499,STARK,Шуруповерт STARK CD 18-2 Li-Ion (210018010),2897,1723520,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Stark,stark,Дриль-шуруповерт Stark CD 18-2 (210018010) Li-Ion,,2899,1,https://comfy.ua/drel-shurupovert-stark-cd-18-2-210018010-li-ion.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
773330938,6639343,NEO TOOLS,Бокорезы NEO Tools 160 мм (01-226),749,1723007,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Neo Tools",neo-tools,Кусачки Neo Tools 01-226 160 мм 1000 В CrV,,749,1,https://comfy.ua/kusachki-neo-tools-01-226-160-mm-1000-v-crv.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
773330952,,,,,1722937,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Stark",stark,Кусачки Stark 180 мм (501900180),,295,1,https://comfy.ua/kusachki-stark-180-mm-501900180.html,,05.11.2025 22:32,,"вул. Соборна, 42",Фастів,0
773330954,6634523,COLORWAY,Антисептик COLORWAY 100 мл Кокос (CW-3911),79,1722423,Красота и здоровье >> Здоровье >> Антисептики >> Антисептики Colorway,colorway,Дезінфікуючий засіб для рук Colorway 100 мл Кокос (CW-3911),,79,1,https://comfy.ua/dezinficirujuschee-sredstvo-dlja-ruk-colorway-100-ml-kokos-cw-3911.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
773330985,,,,,1725196,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",razer,Тримач для кабелю Razer Mouse Bungee V3 (RC21-01560100-R3M1),,1299,1,https://comfy.ua/derzhatel-dlja-kabelja-razer-mouse-bungee-v3-rc21-01560100-r3m1.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
773330991,,,,,1725198,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",razer,Тримач для кабелю Razer Mouse Bungee V3 Chroma (RC21-01520100-R3M1),,1999,1,https://comfy.ua/derzhatel-dlja-kabelja-razer-mouse-bungee-v3-chroma-rc21-01520100-r3m1.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
773330992,,,,,1718689,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",assmann,Кабель USB type A - USB type A Assmann HDMI High Speed с усилителем (AM/AM) 15m Black (AK-330105-150-S),,1789,1,https://comfy.ua/kabel-usb-type-a-usb-type-a-assmann-hdmi-high-speed-s-usilitelem-am-am-15m-black-ak-330105-150-s.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
773330999,,,,,.1727660,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",frime,Килимок для миші ігровий Frime GPF-MSF-XXXL-06 Moonsurfer XXL Red/Yellow,,399,1,https://comfy.ua/kovrik-dlja-myshi-frime-gpf-msf-xxxl-06-moonsurfer-xxl-red-yellow.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
773331001,,,,,1727662,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Frime",frime,Килимок для миші ігровий Frime GPF-MSF-XXXL-07 Moonsurfer XXL Dark Green/Grey,,599,1,https://comfy.ua/kovrik-dlja-myshi-frime-gpf-msf-xxxl-07-moonsurfer-xxl-dark-green-grey.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
773331062,,,,,1718882,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Перехідник Trust Dalyx USB-C to HDMI (23774_TRUST),,419,1,https://comfy.ua/perehodnik-trust-dalyx-usb-c-to-hdmi-23774-trust.html,899,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
773331096,,,,,1725468,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC G19 (BH39100) (DV00DV6143),,89,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-htc-g19-bh39100-dv00dv6143.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
773331105,6716950,POWERPLANT,rechar POWERPLANT HTC G17 (BG86100) 1750mAh (DV00DV6142),139,1725467,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC G17 (BG86100) (DV00DV6142),,169,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-htc-g17-bg86100-dv00dv6142.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
