931647926,column,column,column,column,1818156,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,____a4tech_fg1112_black,column,899,1,httpscomfyuacatalogproductviewid2576213,column,05112025_2213,column,__42,Фастів,0
935656430,,,,,1789872,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Jordan",jordan,"Зубна щітка мануальна дитяча Jordan Green Clean, 12+ років, середня жорсткість (1200483)",,189,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-jordan-green-clean-12-let-srednjaja-zhestkost-1200483.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
935656433,,,,,1789866,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Jordan",jordan,"Зубна щітка мануальна дитяча Jordan Green Clean Kids, 5-10 років, середня жорсткість (1200552)",,189,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-jordan-green-clean-kids-5-10-let-srednjaja-zhestkost-1200552.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
935656434,,,,,1789854,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Jordan",jordan,"Зубна щітка мануальна дитяча Jordan Clean Smile, 12+ років, середня жорсткість, 3 шт. (56106310)",,139,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-jordan-clean-smile-12-let-srednjaja-zhestkost-3-sht-56106310.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
935656435,,,,,1789867,"Comfy KIDS >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Jordan",jordan,"Зубна щітка мануальна дитяча Jordan м'яка Step1, 0-2 роки (6220100)",,129,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-jordan-mjagkaja-step1-0-2-goda-6220100.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
935656439,,,,,.1789864,"Детские товары >> Уход, купание и гигиена",jordan,"Зубна щітка мануальна дитяча Jordan м'яка з ковпачком для подорожей Step3, 6-9 років (6220320)",,205,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-jordan-mjagkaja-s-kolpachkom-dlja-puteshestvij-step3-6-9-let-6220320.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
935656450,,,,,1789863,"Детские товары >> Уход, купание и гигиена",jordan,"Зубна щітка мануальна дитяча Jordan м'яка з ковпачком для подорожей Step2, 3-5 років (6220220)",,165,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-jordan-mjagkaja-s-kolpachkom-dlja-puteshestvij-step2-3-5-let-6220220.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
935656451,,,,,1789870,"Детские товары >> Уход, купание и гигиена",jordan,"Зубна щітка мануальна дитяча Jordan Hello Smile, 9 + років, середня жорсткість (56200000)",,169,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-jordan-hello-smile-9-let-srednjaja-zhestkost-56200000.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
935656455,,,,,1789869,"Comfy KIDS >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Jordan",jordan,"Зубна щітка мануальна дитяча Jordan Clean Smile, 12+ років, середня жорсткість (56106010)",,89,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-jordan-clean-smile-12-let-srednjaja-zhestkost-56106010.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
935656461,,,,,1789868,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Jordan",jordan,"Зубна щітка мануальна дитяча Jordan для чутливих зубів і ясен Clean between, 12+ років, середня жорсткість (6558300)",,149,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-jordan-dlja-chuvstvitel-nyh-zubov-i-desen-clean-between-12-let-srednjaja-zhestkost-6558300.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
935656524,,,,,1827897,Посуда >> Нарезка и измельчение,vinzer,Ніж сантоку Vinzer 50315 17.8 см,,930,1,https://comfy.ua/nozh-santoku-vinzer-50315-17-8-sm.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
935656525,,,,,.1827899,Посуда >> Нарезка и измельчение,vinzer,Ніж кухаря Vinzer 50318 20.3 см,,763,1,https://comfy.ua/nozh-povara-vinzer-50318-20-3-sm.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
935664683,,,,,.1825564,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Корпус Xilence Xilent Blade RGB X512 White (XG221_X512.W.RGB) без БЖ,,2999,1,https://comfy.ua/korpus-xilence-xilent-blade-rgb-x512-white-xg221-x512-w-rgb-bez-bp.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
935678672,6734622,BOSCH,Дрель-шуруповерт BOSCH EasyDrill 1200 (0.603.9D3.006),2660,1822084,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Bosch,bosch,Дриль-шуруповерт Bosch EasyDrill 1200 (0.603.9D3.006),,2659,1,https://comfy.ua/drel-shurupovert-bosch-easydrill-1200-0-603-9d3-006.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
935678673,6734623,BOSCH,Дрель-шуруповерт BOSCH EasyDrill 1200 (0.603.9D3.007),3410,1822085,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Bosch,bosch,Дриль-шуруповерт Bosch EasyDrill 1200 (0.603.9D3.007),,3409,1,https://comfy.ua/drel-shurupovert-bosch-easydrill-1200-0-603-9d3-007.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
935684563,,,,,1785799,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powerplant,Мережевий фільтр PowerPlant (PPUA10M10S3) 1.0 м 3x1.5мм2 10А 3 розетки,,160,1,https://comfy.ua/catalog/product/view/id/2637053,189,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
935684564,,,,,1785800,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powerplant,Мережевий фільтр PowerPlant (PPUA10M20S5) 2.0 м 3x1.5мм2 10А 5 розеток,,194,1,https://comfy.ua/catalog/product/view/id/2637123,229,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
935695389,,,,,1827758,Смартфоны и телефоны >> Аксессуары для смартфонов,baseus,Мережевий зарядний пристрій Baseus 20W Super Si USB-C (TZCCSUP-B02) White,,599,1,https://comfy.ua/catalog/product/view/id/2636253,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
935699756,6709755,ELECTROLUX,Блендер ELECTROLUX E4HB1-6GG,1599,1822243,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Electrolux,electrolux,Блендер заглибний Electrolux E4HB1-6GG,,1599,1,https://comfy.ua/blender-pogruzhnoj-electrolux-electrolux-e4hb1-6gg.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
935737510,,,,,.1827896,Посуда >> Нарезка и измельчение,vinzer,Дошка обробна Vinzer 50224 35x26.5x1 см Marble Black,,730,1,https://comfy.ua/razdelochnaja-doska-vinzer-50224-35x6-5x1-sm-marble-black.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
935737522,,,,,.1827762,Посуда >> Для напитков,cristal-darques,Набір склянок Cristal d’Arques Rendez-Vous 6х320 мл (Q4354),,1789,1,https://comfy.ua/nabor-stakanov-cristal-d-arques-rendez-vous-6h320-ml-q4354.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
935737542,,,,,1807995,Техника для кухни >> Мелкая техника,grunhelm,Міксер Grunhelm GRM613,,479,1,https://comfy.ua/catalog/product/view/id/2605133,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
935737546,,,,,1807996,Техника для кухни >> Мелкая техника,grunhelm,Міксер Grunhelm GRM661,,709,1,https://comfy.ua/catalog/product/view/id/2605143,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
935737569,,,,,1823091,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",asus,Килимок для миші ігровий Asus TUF Gaming P1 Black,,499,1,https://comfy.ua/catalog/product/view/id/2598223,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
935737580,,,,,1807999,Техника для кухни >> Мелкая техника,grunhelm,Міксер з чашею Grunhelm GRM660,,1239,1,https://comfy.ua/catalog/product/view/id/2605153,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
935740951,,,,,1827904,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров KSL,ksl,Кріплення для телевізора KSL WMO-7346T,,1999,1,https://comfy.ua/kreplenie-dlja-televizora-ksl-wmo-7346t.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
935746610,6987363,BRABANTIA,Сушилка для белья BRABANTIA Drying 15 м Grey (403361),3675,1827603,Дом и отдых >> Хранение и уход за одеждой >> Сушилки для вещей >> Сушилки для вещей Brabantia,brabantia,Сушарка для білизни Brabantia 403361 15 м,,3675,1,https://comfy.ua/sushilka-dlja-bel-ja-brabantia-403361-15-m.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
935746612,6987365,BRABANTIA,Сушилка для белья BRABANTIA Drying 25 м Grey (403484),5499,1827607,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Сушилки для вещей >> Сушилки для вещей Brabantia",brabantia,Сушарка для білизни Brabantia 403484 25 м,,5499,1,https://comfy.ua/sushilka-dlja-bel-ja-brabantia-403484-25-m.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
935746613,6987366,BRABANTIA,Сушилка для белья BRABANTIA Drying 25 м Grey (403545),5629,1828064,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Сушилки для вещей >> Сушилки для вещей Brabantia",brabantia,Сушарка для білизни Brabantia 403545 25 м,,5629,1,https://comfy.ua/sushilka-dlja-bel-ja-brabantia-403545-25-m.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
935749528,,,,,1816025,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Dell 19.5V 4.62A 90W 4.5х3.0 мм + каб. (LDL90/19.5-4.5*3.0/19401),,499,1,https://comfy.ua/catalog/product/view/id/2598493,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
935752870,,,,,1820219,"Аудио, фото и видео >> Наушники",epos,Гарнітура бездротова Epos Adapt 260,,8999,1,https://comfy.ua/catalog/product/view/id/2602693,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
935753168,,,,,1827758,Смартфоны и телефоны >> Аксессуары для смартфонов,baseus,Мережевий зарядний пристрій Baseus 20W Super Si USB-C (TZCCSUP-B02) White,,599,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-baseus-20w-super-si-usb-c-tzccsup-b02-white.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
935753169,,,,,1827757,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Baseus,baseus,Мережевий зарядний пристрій Baseus 20W Super Si USB-C (TZCCSUP-B01) Black,,559,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-baseus-20w-super-si-usb-c-tzccsup-b01-black.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
935755122,,,,,1785799,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powerplant,Мережевий фільтр PowerPlant (PPUA10M10S3) 1.0 м 3x1.5мм2 10А 3 розетки,,160,1,https://comfy.ua/setevoj-fil-tr-powerplant-ppua10m10s3-1-0-m-3x1-5mm2-10a-3-rozetki.html,189,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
935755123,,,,,1785800,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powerplant,Мережевий фільтр PowerPlant (PPUA10M20S5) 2.0 м 3x1.5мм2 10А 5 розеток,,194,1,https://comfy.ua/setevoj-fil-tr-powerplant-ppua10m20s5-2-0-m-3x1-5mm2-10a-5-rozetok.html,229,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
935763677,,,,,1825548,Игровые консоли и гейминг >> Комплектующие для игровых ПК,zalman,Блок живлення для ПК Zalman ZM700-TXII 700W,,2289,1,https://comfy.ua/catalog/product/view/id/2641323,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
935763805,,,,,1809241,"Аудио, фото и видео >> Аксессуары для фото, видео",liitokala,З/пристрій для акумуляторів AA/AAA LiitoKala Lii-PD4,,849,1,https://comfy.ua/catalog/product/view/id/2521463,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
935765004,,,,,.1827491,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Exclusive for Xiaomi Redmi 9C Black (706428),,299,1,https://comfy.ua/chehol-dlja-smartfona-becover-exclusive-for-xiaomi-redmi-9c-black-706428.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
935765060,6987329,BRABANTIA,"Шумовка BRABANTIA Profile 38,6 см (250583)",521,1828318,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Brabantia,brabantia,Шумовка Brabantia 38.6 см 250583,,639,1,https://comfy.ua/shumovka-brabantia-38-6-sm-250583.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
