1258393093,column,column,column,column,1966123,Инструменты и автотовары >> Ручные инструменты,knipex,_knipex_78_31_125,column,1149,1,httpscomfyuakusachkiknipex7831125html,column,05112025_2244,column,__42,Фастів,0
1258393135,,,,,.1973774,Инструменты и автотовары >> Ручные инструменты,king-tony,Кліщі KING TONY 164 мм (9BB31),,2005,1,https://comfy.ua/kleschi-king-tony-164-mm-9bb31.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1258393137,,,,,.1973809,Инструменты и автотовары >> Ручные инструменты,knipex,Кліщі KNIPEX Cobra (87 03 250),,1939,1,https://comfy.ua/kleschi-knipex-cobra-87-03-250.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1258393138,,,,,1973784,Инструменты и автотовары >> Ручные инструменты,knipex,Кліщі KNIPEX 31 25 160,,1959,1,https://comfy.ua/kleschi-knipex-31-25-160.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1258393143,,,,,.1966117,Инструменты и автотовары >> Ручные инструменты,knipex,Кусачки KNIPEX 77 11 115,,2035,1,https://comfy.ua/kusachki-knipex-77-11-115.html,,05.11.2025 22:03,,"вул. Соборна, 42",Фастів,0
1258393146,,,,,1973813,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки KNIPEX",knipex,Кліщі KNIPEX Cobra (87 21 300),,2065,1,https://comfy.ua/kleschi-knipex-cobra-87-21-300.html,,05.11.2025 22:41,,"вул. Соборна, 42",Фастів,0
1258393149,,,,,.1973811,Инструменты и автотовары >> Ручные инструменты,knipex,Кліщі KNIPEX Cobra (87 05 250),,2115,1,https://comfy.ua/kleschi-knipex-cobra-87-05-250.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1258393153,,,,,.1973775,Инструменты и автотовары >> Ручные инструменты,king-tony,Кліщі KING TONY 9BC124,,2335,1,https://comfy.ua/kleschi-king-tony-9bc124.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1258393156,,,,,.1965785,Инструменты и автотовары >> Ручные инструменты,knipex,Кусачки KNIPEX 14 26 160,,2305,1,https://comfy.ua/kusachki-knipex-14-26-160.html,,05.11.2025 22:04,,"вул. Соборна, 42",Фастів,0
1258393158,,,,,1973794,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки KNIPEX",knipex,Кліщі KNIPEX 180 мм  (86 01 180),,2455,1,https://comfy.ua/kleschi-knipex-180-mm-86-01-180.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1258393161,,,,,.1973783,Инструменты и автотовары >> Ручные инструменты,knipex,Кліщі KNIPEX 13 91 200,,2679,1,https://comfy.ua/kleschi-knipex-13-91-200.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1258393162,,,,,1973812,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки KNIPEX",knipex,Кліщі KNIPEX Cobra (87 05 300),,2735,1,https://comfy.ua/kleschi-knipex-cobra-87-05-300.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
