818722489,column,column,column,column,1787904,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,___colorway_power_delivery_port_pps_usb_typec_45w_black_cwchs034pdbk,column,749,1,httpscomfyuasetevoezarjadnoeustrojstvocolorwaypowerdeliveryportppsusbtypec45wblackcwchs034pdbkhtml,column,05112025_1732,column,__42,Фастів,0
818722489,,,,,1787904,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Мережевий зарядний пристрій Colorway Power Delivery Port PPS USB Type-C 45W Black (CW-CHS034PD-BK),,749,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-power-delivery-port-pps-usb-type-c-45w-black-cw-chs034pd-bk.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
818722511,6487713,KARCHER,"Аккумулятор KARCHER 36 V, 2.5 Ah (2.445-030.0)",6509,1784030,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Karcher,karcher,Акумулятор для електроінструментів Karcher 36 V  2.5 Ah (2.445-030.0),,6999,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-karcher-36-v-2-5-ah-2-445-030-0.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
818722512,6487712,KARCHER,Аккумулятор KARCHER 36V 5.0 Ah (2.445-031.0),8999,1784024,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Karcher,karcher,Акумулятор для електроінструментів Karcher 36 V 5.0 Ah (2.445-031.0),,8999,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-karcher-36-v-5-0-ah-2-445-031-0.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
818725963,6590622,GRUNHELM,Вытяжка GRUNHELM GVN 220 B,5899,1638763,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Grunhelm,grunhelm,Витяжка декоративна Grunhelm GVN 220 B,,5899,1,https://comfy.ua/vytjazhka-dekorativnaja-grunhelm-gvn-220-b.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
818726362,,,,,1783598,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура+миша A4tech F1512 (White),,699,1,https://comfy.ua/catalog/product/view/id/2215653,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
818726772,,,,,1788254,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Тримач для кабелю 2E Bungee Scorpio USB Silver (2E-MB001U),,499,1,https://comfy.ua/derzhatel-dlja-kabelja-2e-bungee-scorpio-usb-silver-2e-mb001u.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
818915432,,,,,1773626,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Gorenje,gorenje,Посудомийна машина вбудована Gorenje GV 520 E11,,15799,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-gorenje-gv-520-e11.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
819120038,,,,,1763685,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Gorenje,gorenje,Холодильник Gorenje NRK6202EXL4,,21499,1,https://comfy.ua/holodil-nik-gorenje-nrk6202exl4.html,26999,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,1
819120061,,,,,.1754809,Техника для дома >> Мелкая техника,holek,Прасувальний каток Holek ironette 103,,165019,1,https://comfy.ua/gladil-nyj-katok-holek-ironette-103.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
819120066,6687709,IROBOT,Робот-пылесос iRobot Roomba i3+,11999,1785735,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы iRobot,irobot,Робот-пилосос iRobot Roomba i3+,,11999,1,https://comfy.ua/robot-pylesos-irobot-roomba-i3.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
819229732,,,,,1789875,Детские товары >> Кормление,medela,"Молокозбірник Medela Milk Collection Shells, 30 мл., 2 шт. (008.0240)",,1109,1,https://comfy.ua/catalog/product/view/id/2261713,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
819245423,,,,,.1787408,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Xiaomi Redmi Note 10/10s Transparancy (706059),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-xiaomi-redmi-note-10-10s-transparancy-706059.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
819258526,,,,,1787924,Посуда >> Кухонные аксессуары,tescoma,Ложка кухарська tescoma 637614 Feelwood 30 см,,339,1,https://comfy.ua/lozhka-povarskaja-tescoma-637614-feelwood-30-sm.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
819259362,,,,,1789562,Детские товары >> Подгузники и пеленание,huggies,Вологі серветки для немовлят Huggies Pure 56 шт. (5029053550039),,92,1,https://comfy.ua/catalog/product/view/id/2262223,115,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
819284907,6987459,WUESTHOF,Ножницы кухонные WUESTHOF Classic White 20 см (1040294901),1449,1788458,Посуда >> Нарезка и измельчение >> Ножницы кухонные >> Ножницы кухонные Wuesthof,wuesthof,Ножиці кухонні Wuesthof 1040294901,,1449,1,https://comfy.ua/nozhnicy-kuhonnye-wuesthof-1040294901.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
819285086,,,,,1789900,Детские товары >> Детский транспорт,micro,"Шолом Micro ТЕМНО-СИНІЙ (48-53 см, S) (AC2082BX)",,1745,1,https://comfy.ua/catalog/product/view/id/2263213,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
819285087,,,,,1789899,Детские товары >> Детский транспорт,micro,"Шолом Micro МАЛИНОВИЙ (52-56 см, M) (AC2081BX)",,1745,1,https://comfy.ua/catalog/product/view/id/2263193,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
819285089,7111465,MICRO,Детский защитный шлем MICRO 48-53 см Crimson  (AC2080BX),1745,1789898,Детские товары >> Детский транспорт,micro,"Шолом Micro МАЛИНОВИЙ (48-53 см, S) (AC2080BX)",,1745,1,https://comfy.ua/catalog/product/view/id/2263153,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
819285229,,,,,1024825,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Корпусний вентилятор Chieftec Thermal Killer AF-0925S,,159,1,https://comfy.ua/korpusnyj-ventiljator-chieftec-thermal-killer-af-0925s.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
819285465,,,,,1787677,"Аудио, фото и видео >> Акустика",edifier,Комп'ютерна акустика звичайна 2.0 Edifier R33BTBlack,,3499,1,https://comfy.ua/catalog/product/view/id/2241533,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
819285470,6689354,EDIFIER,Колонки EDIFIER R2850DB Black 2.0 150W Bluetooth (R2850DBBlack),16999,1787683,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Edifier",edifier,Комп'ютерна акустика звичайна 2.0 Edifier R2850DBBlack,,16999,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-edifier-r2850dbblack.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
819285551,6688583,TEFAL,Бутербродница TEFAL SW701110,3999,1787557,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Tefal,tefal,Бутербродниця Tefal SW701110,,3999,1,https://comfy.ua/buterbrodnica-tefal-sw701110.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
819285565,,,,,1789902,Детские товары >> Детский транспорт,micro,"Шолом Micro ТЕМНО-СИНІЙ (52-56 см, M) (AC2083BX)",,1745,1,https://comfy.ua/catalog/product/view/id/2263273,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
819285577,,,,,.1780962,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",itechmount,Стіл для ноутбука ITECHmount TS-6,,2989,1,https://comfy.ua/stol-dlja-noutbuka-itechmount-ts-6.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
819293881,6987460,WUESTHOF,Мусат WUESTHOF Classic White 230 мм (3040285023),1699,1788456,Посуда >> Нарезка и измельчение >> Точила для ножей >> Точила для ножей Wuesthof,wuesthof,Мусат Wuesthof 23 см 3040285023,,1699,1,https://comfy.ua/musat-wuesthof-23-sm-3040285023.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
819293892,,,,,1788012,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Menalux,menalux,Мішок для пилососа багаторазовий Menalux 1800 T,,429,1,https://comfy.ua/meshok-dlja-pylesosa-mnogorazovyj-menalux-1800-t.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
