1258278497,,,,,.1969471,Посуда >> Для напитков,simax,"Чайник заварювальний Simax Marta 1,5 л (s3243/F)",,390,1,https://comfy.ua/chajnik-zavarochnyj-simax-marta-1-5-l-s3243-f.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1258281937,6797052,PHILIPS,Выпрямитель PHILIPS BHS520/00 серии 5000,2299,1974535,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Philips,philips,Вирівнювач волосся Philips BHS520/00,,2299,1,https://comfy.ua/vyprjamitel-volos-philips-bhs520-00.html,3299,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1258281939,6797053,PHILIPS,Выпрямитель PHILIPS BHS530/00 серии 5000,2999,1974536,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Philips,philips,Вирівнювач волосся Philips BHS530/00,,2999,1,https://comfy.ua/vyprjamitel-volos-philips-bhs530-00.html,3699,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1258282013,6803827,BAMIX,Блендер Bamix Baking M200 кремовый (1051.023),17542,1980236,Техника для кухни >> Мелкая техника,bamix,Блендер заглибний Bamix Baking M200 Cream (1051.023),,23389,1,https://comfy.ua/catalog/product/view/id/3759603,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1258282218,,,,,1962764,Посуда >> Для приготовления >> Сковороды >> Сковороды Lessner,lessner,Сковорода для млинців Lessner Chocolate Line 22 см (88364-22P),,395,1,https://comfy.ua/skovoroda-dlja-blinov-lessner-chocolate-line-22-sm-88364-22p.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1258282219,,,,,1962765,Посуда >> Для приготовления >> Сковороды >> Сковороды Lessner,lessner,Сковорода для млинців Lessner Chocolate Line 24 см (88364-24P),,430,1,https://comfy.ua/skovoroda-dlja-blinov-lessner-chocolate-line-24-sm-88364-24p.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1258283750,,,,,1976430,Детские товары >> Творчество и развитие,viga-toys,Доска Viga Toys Календар магнітний (50377),,1695,1,https://comfy.ua/catalog/product/view/id/3760723,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1258283914,,,,,1977345,Детские товары >> Игрушки,funko,"""Колекційна фігурка FUNKO """"Гаррі Поттер"""" - ДАМБЛДОР З ГОҐВОРТСОМ (57369)""",,2335,1,https://comfy.ua/catalog/product/view/id/3760223,,06.11.2025 1:16,,"вул. Соборна, 42",Фастів,0
1258284524,,,,,1977325,Детские товары >> Игрушки,funko,"""Колекційна фігурка FUNKO """"DC Comics"""" - Batman (1989) (37248)""",,755,1,https://comfy.ua/catalog/product/view/id/3761193,,06.11.2025 1:44,,"вул. Соборна, 42",Фастів,0
1258316502,,,,,1960462,"Аудио, фото и видео >> Наушники",gelius,Навушники вкладиші бездротові TWS Gelius Pro Reddots TWS Earbuds GP-TWS010 Black (00000082297),,499,1,https://comfy.ua/catalog/product/view/id/3761403,699,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1258328251,,,,,1773534,Техника для кухни >> Крупная техника,liebherr,Холодильник вбудований Liebherr ICNSf 5103,,48649,1,https://comfy.ua/catalog/product/view/id/3762013,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1258344998,,,,,1969501,Инструменты и автотовары >> Расходные материалы,irwin,Свердло IRWIN та склу 10 мм (10507909),,88,1,https://comfy.ua/sverlo-irwin-i-steklu-10-mm-10507909.html,195,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1258345041,,,,,1969503,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры IRWIN,irwin,Свердло IRWIN 10х160 мм (IW2039416),,415,1,https://comfy.ua/sverlo-irwin-10h160-mm-iw2039416.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1258345042,,,,,1969209,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры IRWIN,irwin,Бур IRWIN SDS Plus 8 х 210 мм Quad SpeedHammer (IW2039413),,485,1,https://comfy.ua/bur-irwin-sds-plus-8-h-210-mm-quad-speedhammer-iw2039413.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1258345043,,,,,.1969210,Инструменты и автотовары >> Расходные материалы,irwin,Бур IRWIN SDS Plus 8.0x260 мм Quad SpeedHammer (IW2039414),,565,1,https://comfy.ua/bur-irwin-sds-plus-8-0x260-mm-quad-speedhammer-iw2039414.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1258345045,,,,,1969213,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры IRWIN,irwin,Бур IRWIN SDS Plus 10.0x310 мм Quad SpeedHammer (IW2039419),,659,1,https://comfy.ua/bur-irwin-sds-plus-10-0x310-mm-quad-speedhammer-iw2039419.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
1258345709,,,,,.1971669,Инструменты и автотовары >> Ручные инструменты,king-tony,Набір інструментів KING TONY 8 шт. (9-90109MN),,3419,1,https://comfy.ua/nabor-instrumentov-king-tony-8-sht-9-90109mn.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
1258345980,,,,,.1970902,Инструменты и автотовары >> Ручные инструменты,bmi,Рівень BMI Messda 60 см (620060P),,455,1,https://comfy.ua/uroven-bmi-messda-60-sm-620060p.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1258345981,,,,,.1970903,Инструменты и автотовары >> Ручные инструменты,bmi,Рівень BMI Messda 80 см (620080P),,529,1,https://comfy.ua/uroven-bmi-messda-80-sm-620080p.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
1258346026,,,,,.1970908,Инструменты и автотовары >> Ручные инструменты,bmi,Рівень BMI 40 см (690040E),,735,1,https://comfy.ua/uroven-bmi-40-sm-690040e.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
1258346028,,,,,.1970909,Инструменты и автотовары >> Ручные инструменты,bmi,Рівень BMI 60 см (690060E),,849,1,https://comfy.ua/uroven-bmi-60-sm-690060e.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1258346197,,,,,.1971673,Инструменты и автотовары >> Ручные инструменты,king-tony,Набір інструментів KING TONY 8 шт. (9-90408TQ),,3395,1,https://comfy.ua/nabor-instrumentov-king-tony-8-sht-9-90408tq.html,,05.11.2025 22:42,,"вул. Соборна, 42",Фастів,0
1258346215,,,,,.1971676,Инструменты и автотовары >> Ручные инструменты,king-tony,Набір інструментів KING TONY 90 шт. (9-91190CRV),,6419,1,https://comfy.ua/nabor-instrumentov-king-tony-90-sht-9-91190crv.html,,05.11.2025 22:42,,"вул. Соборна, 42",Фастів,0
1258346216,,,,,.1971674,Инструменты и автотовары >> Ручные инструменты,king-tony,Набір інструментів KING TONY 13 шт. (9-90413TQV),,5775,1,https://comfy.ua/nabor-instrumentov-king-tony-13-sht-9-90413tqv.html,,05.11.2025 22:42,,"вул. Соборна, 42",Фастів,0
1258346217,,,,,.1971672,Инструменты и автотовары >> Ручные инструменты,king-tony,Набір інструментів KING TONY 45 шт. (9-90145CRV),,6259,1,https://comfy.ua/nabor-instrumentov-king-tony-45-sht-9-90145crv.html,,05.11.2025 22:42,,"вул. Соборна, 42",Фастів,0
1258346218,,,,,.1971677,Инструменты и автотовары >> Ручные инструменты,king-tony,Набір інструментів KING TONY 17 шт. (9-91217MRV),,6309,1,https://comfy.ua/nabor-instrumentov-king-tony-17-sht-9-91217mrv.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1258346219,,,,,.1971675,Инструменты и автотовары >> Ручные инструменты,king-tony,Набір інструментів KING TONY 24 шт. (9-91124MRV),,11639,1,https://comfy.ua/nabor-instrumentov-king-tony-24-sht-9-91124mrv.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1258346419,,,,,.1970912,Инструменты и автотовары >> Ручные инструменты,bmi,Рівень BMI 80 см (690080E),,979,1,https://comfy.ua/uroven-bmi-80-sm-690080e.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
1258346423,,,,,.1970913,Инструменты и автотовары >> Ручные инструменты,bmi,Рівень BMI 100 см (690100E),,2069,1,https://comfy.ua/uroven-bmi-100-sm-690100e.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
1258346424,,,,,.1971414,Инструменты и автотовары >> Ручные инструменты,bmi,Рівень BMI 150 см (690150E),,2755,1,https://comfy.ua/uroven-bmi-150-sm-690150e.html,,05.11.2025 22:42,,"вул. Соборна, 42",Фастів,0
1258346502,,,,,.1971678,Инструменты и автотовары >> Ручные инструменты,king-tony,Набір інструментів KING TONY 30 шт. (9-99430MFV),,13779,1,https://comfy.ua/nabor-instrumentov-king-tony-30-sht-9-99430mfv.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1258346514,,,,,.1969715,Инструменты и автотовары >> Расходные материалы,irwin,Бур IRWIN SDS Plus 12.0x210 мм Quad SpeedHammer (IW2039422),,769,1,https://comfy.ua/bur-irwin-sds-plus-12-0x210-mm-quad-speedhammer-iw2039422.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1258346515,,,,,.1969716,Инструменты и автотовары >> Расходные материалы,irwin,Бур IRWIN SDS Plus 12.0x310 мм Quad SpeedHammer (IW2039424),,829,1,https://comfy.ua/bur-irwin-sds-plus-12-0x310-mm-quad-speedhammer-iw2039424.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1258346924,6945412,TOLSEN,Молоток TOLSEN 2.0 кг (25008),441,1884232,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Tolsen",tolsen,Молоток Tolsen 2.0 кг (25008),,545,1,https://comfy.ua/molotok-tolsen-2-0-kg-25008.html,,05.11.2025 22:54,,"вул. Соборна, 42",Фастів,0
